epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
0,116,18.588607788085938,-18.588607788085938,,,,
1,233,27.203838348388672,-27.203838348388672,,,,
2,350,40.042625427246094,-40.042625427246094,,,,
3,467,47.35108947753906,-47.35108947753906,,,,
4,584,52.04998779296875,-52.04998779296875,,,,
5,701,55.448917388916016,-55.448917388916016,,,,
6,818,58.34562301635742,-58.34562301635742,,,,
7,935,60.9587516784668,-60.9587516784668,,,,
8,1052,63.05772018432617,-63.05772018432617,,,,
9,1169,,,4.62302827835083,63.71867370605469,-63.71867370605469,63.71867370605469
9,1169,65.1133804321289,-65.1133804321289,,,,
10,1286,66.70966339111328,-66.70966339111328,,,,
11,1403,68.58470916748047,-68.58470916748047,,,,
12,1520,70.10588073730469,-70.10588073730469,,,,
13,1637,71.54547119140625,-71.54547119140625,,,,
14,1754,72.59107208251953,-72.59107208251953,,,,
15,1871,73.64520263671875,-73.64520263671875,,,,
16,1988,74.48173522949219,-74.48173522949219,,,,
17,2105,75.55686950683594,-75.55686950683594,,,,
18,2222,76.42899322509766,-76.42899322509766,,,,
19,2339,,,4.795564651489258,75.46824645996094,-75.46824645996094,75.46824645996094
19,2339,77.08863830566406,-77.08863830566406,,,,
20,2456,77.82079315185547,-77.82079315185547,,,,
21,2573,78.59785461425781,-78.59785461425781,,,,
22,2690,79.00931549072266,-79.00931549072266,,,,
23,2807,79.82789611816406,-79.82789611816406,,,,
24,2924,80.26505279541016,-80.26505279541016,,,,
25,3041,80.71907043457031,-80.71907043457031,,,,
26,3158,81.25593566894531,-81.25593566894531,,,,
27,3275,81.68928527832031,-81.68928527832031,,,,
28,3392,82.33743286132812,-82.33743286132812,,,,
29,3509,,,4.889332294464111,80.46918487548828,-80.46918487548828,80.46918487548828
29,3509,82.6951675415039,-82.6951675415039,,,,
30,3626,83.27951049804688,-83.27951049804688,,,,
31,3743,83.70762634277344,-83.70762634277344,,,,
32,3860,83.8779525756836,-83.8779525756836,,,,
33,3977,84.2858657836914,-84.2858657836914,,,,
34,4094,84.52505493164062,-84.52505493164062,,,,
35,4211,85.10742950439453,-85.10742950439453,,,,
36,4328,85.36624145507812,-85.36624145507812,,,,
37,4445,85.73516082763672,-85.73516082763672,,,,
38,4562,86.01356506347656,-86.01356506347656,,,,
39,4679,,,4.951956272125244,83.08930206298828,-83.08930206298828,83.08930206298828
39,4679,86.39789581298828,-86.39789581298828,,,,
40,4796,86.6344223022461,-86.6344223022461,,,,
41,4913,87.000732421875,-87.000732421875,,,,
42,5030,87.2704086303711,-87.2704086303711,,,,
43,5147,87.41553497314453,-87.41553497314453,,,,
44,5264,87.7784652709961,-87.7784652709961,,,,
45,5381,88.0704116821289,-88.0704116821289,,,,
46,5498,88.19320678710938,-88.19320678710938,,,,
47,5615,88.42596435546875,-88.42596435546875,,,,
48,5732,88.7586898803711,-88.7586898803711,,,,
49,5849,,,5.005720615386963,84.72077941894531,-84.72077941894531,84.72077941894531
49,5849,89.0868148803711,-89.0868148803711,,,,
50,5966,89.26898193359375,-89.26898193359375,,,,
51,6083,89.41727447509766,-89.41727447509766,,,,
52,6200,89.64505767822266,-89.64505767822266,,,,
53,6317,90.06692504882812,-90.06692504882812,,,,
54,6434,90.23001098632812,-90.23001098632812,,,,
55,6551,90.33235931396484,-90.33235931396484,,,,
56,6668,90.50821685791016,-90.50821685791016,,,,
57,6785,90.68106842041016,-90.68106842041016,,,,
58,6902,90.93316650390625,-90.93316650390625,,,,
59,7019,,,5.053399562835693,86.25016784667969,-86.25016784667969,86.25016784667969
59,7019,91.22779846191406,-91.22779846191406,,,,
60,7136,91.46842956542969,-91.46842956542969,,,,
61,7253,91.77236938476562,-91.77236938476562,,,,
62,7370,91.97789001464844,-91.97789001464844,,,,
63,7487,91.93184661865234,-91.93184661865234,,,,
64,7604,92.04595184326172,-92.04595184326172,,,,
65,7721,92.31617736816406,-92.31617736816406,,,,
66,7838,92.59439849853516,-92.59439849853516,,,,
67,7955,92.69625091552734,-92.69625091552734,,,,
68,8072,92.7686538696289,-92.7686538696289,,,,
