epoch,step,train/base_loss,train/closure_ratio,train/edge_trace_sum,train/loss,train/whitening,val/base_loss,val/closure_ratio,val/edge_trace_sum,val/loss,val/whitening,val_score
0,174,135.79177856445312,1.9865753650665283,56.42141342163086,124.53064727783203,0.023117762058973312,,,,,,
1,349,1.2955771684646606,3.863713026046753,59.83855438232422,-10.645319938659668,0.026813054457306862,,,,,,
2,524,0.23139116168022156,3.5584447383880615,72.06026458740234,-14.155326843261719,0.025336790829896927,,,,,,
3,699,0.25402313470840454,3.8578407764434814,77.0999526977539,-15.14180850982666,0.024162838235497475,,,,,,
4,874,0.19201979041099548,4.096885681152344,83.00926208496094,-16.385568618774414,0.024266567081212997,,,,,,
5,1049,0.13548213243484497,4.024270534515381,87.24581909179688,-17.288822174072266,0.02485312893986702,,,,,,
6,1224,0.11387285590171814,4.461043357849121,88.40648651123047,-17.540863037109375,0.026565615087747574,,,,,,
7,1399,0.11267449706792831,4.857202053070068,88.81655883789062,-17.62177276611328,0.02886773832142353,,,,,,
8,1574,0.09377159923315048,5.165821552276611,90.96040344238281,-18.06463050842285,0.033678922802209854,,,,,,
9,1749,,,,,,0.027587823569774628,5.546566486358643,93.73565673828125,-18.68008041381836,0.03946470469236374,18.68008041381836
9,1749,0.10884835571050644,5.235531806945801,92.84171295166016,-18.422067642211914,0.03742781654000282,,,,,,
10,1924,0.06853815168142319,5.642418384552002,91.91423797607422,-18.26889419555664,0.04541910067200661,,,,,,
11,2099,0.07922124117612839,6.391229152679443,91.94815826416016,-18.260225296020508,0.05019190534949303,,,,,,
12,2274,0.07195352017879486,6.42380428314209,93.9612808227539,-18.6666316986084,0.05367777869105339,,,,,,
13,2449,0.060269422829151154,6.229692459106445,94.58087921142578,-18.802688598632812,0.05322396382689476,,,,,,
14,2624,0.04910019412636757,6.016191482543945,93.54061889648438,-18.604084014892578,0.054942671209573746,,,,,,
15,2799,0.04711630567908287,6.170899868011475,93.59205627441406,-18.61434555053711,0.056948672980070114,,,,,,
16,2974,0.037783585488796234,6.121630668640137,94.87210845947266,-18.877208709716797,0.0594366230070591,,,,,,
17,3149,0.032761670649051666,6.350106716156006,96.61024475097656,-19.221824645996094,0.06745963543653488,,,,,,
18,3324,0.0372144877910614,6.543567180633545,96.3079605102539,-19.156286239624023,0.06808101385831833,,,,,,
19,3499,,,,,,0.012882409617304802,7.2923688888549805,94.1493911743164,-18.736642837524414,0.08035546541213989,18.736642837524414
19,3499,0.03113524056971073,6.868509292602539,95.2481689453125,-18.95151138305664,0.06698735058307648,,,,,,
20,3674,0.039941560477018356,7.005931377410889,95.48406219482422,-18.989858627319336,0.06701313704252243,,,,,,
21,3849,0.04686051607131958,6.834186553955078,96.11021423339844,-19.10346794128418,0.07171761244535446,,,,,,
22,4024,0.03813929855823517,6.981535911560059,96.01969909667969,-19.091581344604492,0.07422323524951935,,,,,,
23,4199,0.017349496483802795,6.6748857498168945,96.64710998535156,-19.24053955078125,0.07153299450874329,,,,,,
24,4374,0.015977948904037476,6.478411674499512,96.58930969238281,-19.22960662841797,0.07227819412946701,,,,,,
25,4549,0.02014240063726902,6.557912349700928,97.69688415527344,-19.44923210144043,0.07001060247421265,,,,,,
26,4724,0.018791547045111656,6.465010643005371,98.0368881225586,-19.517345428466797,0.07124161720275879,,,,,,
27,4899,0.019061502069234848,6.378218650817871,98.34596252441406,-19.57793617248535,0.0722041130065918,,,,,,
28,5074,0.014125597663223743,6.375184059143066,98.29756927490234,-19.57256317138672,0.07283195853233337,,,,,,
29,5249,,,,,,0.021846242249011993,6.956252574920654,99.86758422851562,-19.897226333618164,0.05444372445344925,19.897226333618164
29,5249,0.014987412840127945,6.525883674621582,98.73509216308594,-19.65960121154785,0.07243446260690689,,,,,,
30,5424,0.015276843681931496,6.450060844421387,98.81372833251953,-19.681182861328125,0.06629566848278046,,,,,,
31,5599,0.016334308311343193,6.569910526275635,98.49638366699219,-19.614789962768555,0.06815144419670105,,,,,,
32,5774,0.016212666407227516,6.663746356964111,99.0775146484375,-19.734378814697266,0.06491652131080627,,,,,,
33,5949,0.01641448214650154,6.5020270347595215,99.5297622680664,-19.82432746887207,0.06520700454711914,,,,,,
34,6124,0.015769248828291893,6.468867301940918,99.90306854248047,-19.90346908569336,0.06137657165527344,,,,,,
35,6299,0.019323911517858505,6.5054121017456055,99.31156158447266,-19.77992820739746,0.06305965781211853,,,,,,
36,6474,0.014084653928875923,6.542585849761963,98.12852478027344,-19.550127029418945,0.061493828892707825,,,,,,
37,6649,0.009923791512846947,6.5171051025390625,96.74493408203125,-19.278779983520508,0.06028592959046364,,,,,,
38,6824,0.010622107423841953,6.475795269012451,98.43098449707031,-19.617263793945312,0.05832042172551155,,,,,,
39,6999,,,,,,0.0054596648551523685,6.654146671295166,99.77936553955078,-19.90431785583496,0.04609858617186546,19.90431785583496
39,6999,0.01084335707128048,6.269014835357666,98.82904052734375,-19.702255249023438,0.052706338465213776,,,,,,
40,7174,0.010517101734876633,6.333609104156494,98.68104553222656,-19.669992446899414,0.05569469556212425,,,,,,
41,7349,0.013591752387583256,6.591222763061523,99.34187316894531,-19.79700469970703,0.05778222903609276,,,,,,
42,7524,0.01251683197915554,6.851883888244629,97.57675170898438,-19.447771072387695,0.055053580552339554,,,,,,
43,7699,0.010297506116330624,6.713184833526611,99.18274688720703,-19.774599075317383,0.05165961757302284,,,,,,
44,7874,0.0139493178576231,6.357427597045898,99.01142120361328,-19.73623275756836,0.05208868160843849,,,,,,
45,8049,0.00912848487496376,6.488631248474121,99.2076416015625,-19.781606674194336,0.050789881497621536,,,,,,
