epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.6854000091552734,0.8870192170143127,0.9757999777793884,0.6854000091552734
0,175,,,,0.6450666785240173,0.9944815039634705,0.9642000198364258,,,,
1,351,,,,,,,0.7027999758720398,0.8601897358894348,0.9751999974250793,0.7027999758720398
1,351,,,,0.6822888851165771,0.882060706615448,0.9770222306251526,,,,
2,527,,,,,,,0.6985999941825867,0.8510017395019531,0.9761999845504761,0.6985999941825867
2,527,,,,0.6890666484832764,0.8622215986251831,0.979200005531311,,,,
3,703,,,,,,,0.7092000246047974,0.840154767036438,0.9775999784469604,0.7092000246047974
3,703,,,,0.693755567073822,0.8505083918571472,0.9798444509506226,,,,
4,879,,,,,,,0.7062000036239624,0.8352488279342651,0.9771999716758728,0.7062000036239624
4,879,,,,0.6962444186210632,0.8446568846702576,0.9795555472373962,,,,
5,1055,,,,,,,0.7084000110626221,0.8365300893783569,0.9760000109672546,0.7084000110626221
5,1055,,,,0.698888897895813,0.8289427161216736,0.9808666706085205,,,,
6,1231,,,,,,,0.7131999731063843,0.8246943354606628,0.9783999919891357,0.7131999731063843
6,1231,,,,0.7037110924720764,0.8241136074066162,0.9806888699531555,,,,
7,1407,,,,,,,0.7080000042915344,0.8288747072219849,0.9747999906539917,0.7080000042915344
7,1407,,,,0.7044444680213928,0.819201648235321,0.9818888902664185,,,,
8,1583,,,,,,,0.7098000049591064,0.8260530233383179,0.9764000177383423,0.7098000049591064
8,1583,,,,0.7054444551467896,0.8188477158546448,0.9814444184303284,,,,
9,1759,,,,,,,0.7148000001907349,0.8089995384216309,0.9782000184059143,0.7148000001907349
9,1759,,,,0.7098666429519653,0.8078566193580627,0.9825999736785889,,,,
10,1935,,,,,,,0.7103999853134155,0.8119950294494629,0.9768000245094299,0.7103999853134155
10,1935,,,,0.7110888957977295,0.8035594820976257,0.982711136341095,,,,
