run_id,source_run,name,dataset,method,views,architecture,aggregation,protocol,seed,accuracy,source_duration_seconds,source_gpu_hours
20260807-035838_cifar10-5epoch-frozen-linear-probe,20260807-035405_cifar10-lightning-5epoch-smoke,cifar10-5epoch-frozen-linear-probe,cifar10,,,,,linear_probe,,0.5914000272750854,237.0,0.06583333333333333
20260807-041830_cifar10-gmean-frozen-probe,20260807-040406_cifar10-9view-gmean-5epoch-smoke,cifar10-gmean-frozen-probe,cifar10,,,,mean,linear_probe,,0.5296000242233276,762.0,0.21166666666666667
20260807-041830_cifar10-paper-concat-frozen-probe,20260807-040405_cifar10-paper-9view-concat-5epoch-smoke,cifar10-paper-concat-frozen-probe,cifar10,,,,concat,linear_probe,,0.48559999465942383,769.0,0.2136111111111111
20260807-041830_cifar10-raw-first-frozen-probe,20260807-040406_cifar10-9view-raw-first-5epoch-smoke,cifar10-raw-first-frozen-probe,cifar10,,,,first,linear_probe,,0.631600022315979,768.0,0.21333333333333335
20260807-042428_cifar100-5epoch-frozen-linear-probe,20260807-042005_cifar100-lightning-5epoch-smoke,cifar100-5epoch-frozen-linear-probe,cifar100,,,,,linear_probe,,0.2621999979019165,237.0,0.06583333333333333
20260807-042523_cifar100-5epoch-knn,20260807-042005_cifar100-lightning-5epoch-smoke,cifar100-5epoch-knn,cifar100,,,,,knn,,0.2231,237.0,0.06583333333333333
20260807-042600_cifar10-2view-5epoch-knn,20260807-035405_cifar10-lightning-5epoch-smoke,cifar10-2view-5epoch-knn,cifar10,,,,,knn,,0.5564,237.0,0.06583333333333333
20260807-044845_cifar100-20epoch-linear-probe,20260807-043435_cifar100-lightning-20epoch,cifar100-20epoch-linear-probe,cifar100,,,,,linear_probe,,0.36970001459121704,819.0,0.2275
20260807-045049_cifar100-20epoch-knn,20260807-043435_cifar100-lightning-20epoch,cifar100-20epoch-knn,cifar100,,,,,knn,,0.3039,819.0,0.2275
20260807-052128_cifar10-paper-concat-20epoch-linear-probe,20260807-042119_cifar10-paper-concat-20epoch,cifar10-paper-concat-20epoch-linear-probe,cifar10,,,,concat,linear_probe,,0.5708000063896179,2940.0,0.8166666666666667
20260807-052129_cifar10-gmean-matched-head-20epoch-linear-probe,20260807-042119_cifar10-gmean-matched-head-20epoch,cifar10-gmean-matched-head-20epoch-linear-probe,cifar10,,,,mean,linear_probe,,0.6740000247955322,2894.0,0.8038888888888889
20260807-052130_cifar10-raw-first-matched-head-20epoch-linear-probe,20260807-042119_cifar10-raw-first-matched-head-20epoch,cifar10-raw-first-matched-head-20epoch-linear-probe,cifar10,,,,first,linear_probe,,0.6676999926567078,2933.0,0.8147222222222222
20260807-052634_cifar10-paper-concat-20epoch-knn,20260807-042119_cifar10-paper-concat-20epoch,cifar10-paper-concat-20epoch-knn,cifar10,,,,concat,knn,,0.5826,2940.0,0.8166666666666667
20260807-052635_cifar10-gmean-matched-head-20epoch-knn,20260807-042119_cifar10-gmean-matched-head-20epoch,cifar10-gmean-matched-head-20epoch-knn,cifar10,,,,mean,knn,,0.6381,2894.0,0.8038888888888889
20260807-052636_cifar10-raw-first-matched-head-20epoch-knn,20260807-042119_cifar10-raw-first-matched-head-20epoch,cifar10-raw-first-matched-head-20epoch-knn,cifar10,,,,first,knn,,0.6444,2933.0,0.8147222222222222
20260807-053349_imagenet1k-32step-smoke-linear-probe,20260807-052202_imagenet1k-lightning-32step-smoke,imagenet1k-32step-smoke-linear-probe,imagenet1k,,,,,linear_probe,,0.00146484375,605.0,0.16805555555555557
20260807-053851_imagenet1k-32step-smoke-knn10k,20260807-052202_imagenet1k-lightning-32step-smoke,imagenet1k-32step-smoke-knn10k,imagenet1k,,,,,knn,,0.0029,605.0,0.16805555555555557
20260807-061336_cifar10-gmean-lowlabel-0p01,20260807-042119_cifar10-gmean-matched-head-20epoch,cifar10-gmean-lowlabel-0p01,cifar10,,,,mean,linear_probe,,0.5162000060081482,2894.0,0.8038888888888889
20260807-061337_cifar100-lowlabel-0p01,20260807-043435_cifar100-lightning-20epoch,cifar100-lowlabel-0p01,cifar100,,,,,linear_probe,,0.13109999895095825,819.0,0.2275
20260807-061719_cifar10-simclr-5epoch-linear-probe,20260807-053905_cifar10-simclr-5epoch-screening,cifar10-simclr-5epoch-linear-probe,cifar10,simclr,,,,linear_probe,,0.590399980545044,190.0,0.05277777777777778
20260807-061838_imagenet100-lowlabel-0p01-smoke,20260807-052850_imagenet100-lightning-32step-smoke,imagenet100-lowlabel-0p01-smoke,imagenet100,,,,,linear_probe,,0.01513671875,87.0,0.024166666666666666
20260807-061839_cifar10-gmean-lowlabel-0p1,20260807-042119_cifar10-gmean-matched-head-20epoch,cifar10-gmean-lowlabel-0p1,cifar10,,,,mean,linear_probe,,0.6190000176429749,2894.0,0.8038888888888889
20260807-062221_cifar10-barlow_twins-5epoch-linear-probe,20260807-055326_cifar10-barlow_twins-5epoch-screening,cifar10-barlow_twins-5epoch-linear-probe,cifar10,barlow_twins,,,,linear_probe,,0.5515000224113464,202.0,0.05611111111111111
20260807-062221_cifar10-vicreg-5epoch-linear-probe,20260807-055327_cifar10-vicreg-5epoch-screening,cifar10-vicreg-5epoch-linear-probe,cifar10,vicreg,,,,linear_probe,,0.542900025844574,192.0,0.05333333333333334
20260807-062222_cifar10-spectral_contrastive-5epoch-linear-probe,20260807-055327_cifar10-spectral_contrastive-5epoch-screening,cifar10-spectral_contrastive-5epoch-linear-probe,cifar10,spectral_contrastive,,,,linear_probe,,0.4652999937534332,193.0,0.05361111111111111
20260807-063226_cifar10-fastsiam-5epoch-linear-probe,20260807-055829_cifar10-fastsiam-5epoch-screening,cifar10-fastsiam-5epoch-linear-probe,cifar10,fastsiam,,,,linear_probe,,0.3508000075817108,201.0,0.05583333333333333
20260807-064230_cifar10-byol-5epoch-linear-probe,20260807-055830_cifar10-byol-5epoch-screening,cifar10-byol-5epoch-linear-probe,cifar10,byol,,,,linear_probe,,0.3653999865055084,276.0,0.07666666666666666
20260807-064231_cifar10-moco_v2-5epoch-linear-probe,20260807-060309_cifar10-moco_v2-5epoch-screening,cifar10-moco_v2-5epoch-linear-probe,cifar10,moco_v2,2,,,linear_probe,,0.5388000011444092,131.0,0.03638888888888889
20260807-064733_cifar10-dino-5epoch-linear-probe,20260807-060716_cifar10-dino-5epoch-screening,cifar10-dino-5epoch-linear-probe,cifar10,dino,,,,linear_probe,,0.43939998745918274,250.0,0.06944444444444445
20260807-073908_cifar100-lowlabel-0p1,20260807-043435_cifar100-lightning-20epoch,cifar100-lowlabel-0p1,cifar100,,,,,linear_probe,,0.2655999958515167,819.0,0.2275
20260807-074410_imagenet100-lowlabel-0p1-smoke,20260807-052850_imagenet100-lightning-32step-smoke,imagenet100-lowlabel-0p1-smoke,imagenet100,,,,,linear_probe,,0.02099609375,87.0,0.024166666666666666
20260807-080416_cifar10-gmean-lowlabel-1p0,20260807-042119_cifar10-gmean-matched-head-20epoch,cifar10-gmean-lowlabel-1p0,cifar10,,,,mean,linear_probe,,0.6736000180244446,2894.0,0.8038888888888889
20260807-104424_cifar100-lowlabel-1p0,20260807-043435_cifar100-lightning-20epoch,cifar100-lowlabel-1p0,cifar100,,,,,linear_probe,,0.36570000648498535,819.0,0.2275
20260807-105425_imagenet100-lowlabel-1p0-smoke,20260807-052850_imagenet100-lightning-32step-smoke,imagenet100-lowlabel-1p0-smoke,imagenet100,,,,,linear_probe,,0.01708984375,87.0,0.024166666666666666
