dataset,method,views,architecture,aggregation,protocol,runs,successful_metrics,accuracy_mean,accuracy_std,accuracy_ci95_half_width,source_gpu_hours_mean
cifar10,,,,,knn,1,1,0.5564,0.0,0.0,0.06583333333333333
cifar10,,,,,linear_probe,1,1,0.5914000272750854,0.0,0.0,0.06583333333333333
cifar10,,,,concat,knn,1,1,0.5826,0.0,0.0,0.8166666666666667
cifar10,,,,concat,linear_probe,2,2,0.5282000005245209,0.060245506051593636,0.0834960114955902,0.5151388888888889
cifar10,,,,first,knn,1,1,0.6444,0.0,0.0,0.8147222222222222
cifar10,,,,first,linear_probe,2,2,0.6496500074863434,0.025526533828562546,0.03537797093391418,0.5140277777777778
cifar10,,,,mean,knn,1,1,0.6381,0.0,0.0,0.8038888888888889
cifar10,,,,mean,linear_probe,5,5,0.6024800181388855,0.07616070201540254,0.06675779871285376,0.6854444444444445
cifar10,barlow_twins,,,,linear_probe,1,1,0.5515000224113464,0.0,0.0,0.05611111111111111
cifar10,byol,,,,linear_probe,1,1,0.3653999865055084,0.0,0.0,0.07666666666666666
cifar10,dino,,,,linear_probe,1,1,0.43939998745918274,0.0,0.0,0.06944444444444445
cifar10,fastsiam,,,,linear_probe,1,1,0.3508000075817108,0.0,0.0,0.05583333333333333
cifar10,moco_v2,2,,,linear_probe,1,1,0.5388000011444092,0.0,0.0,0.03638888888888889
cifar10,simclr,,,,linear_probe,1,1,0.590399980545044,0.0,0.0,0.05277777777777778
cifar10,spectral_contrastive,,,,linear_probe,1,1,0.4652999937534332,0.0,0.0,0.05361111111111111
cifar10,vicreg,,,,linear_probe,1,1,0.542900025844574,0.0,0.0,0.05333333333333334
cifar100,,,,,knn,2,2,0.2635,0.05713422791987305,0.079184,0.14666666666666667
cifar100,,,,,linear_probe,5,5,0.2788600027561188,0.0975698419943165,0.08552373730725649,0.19516666666666665
imagenet100,,,,,linear_probe,3,3,0.017740885416666668,0.0029834477180702085,0.0033760889125563787,0.024166666666666666
imagenet1k,,,,,knn,1,1,0.0029,0.0,0.0,0.16805555555555557
imagenet1k,,,,,linear_probe,1,1,0.00146484375,0.0,0.0,0.16805555555555557
