family,samples,top16_spectrum_mae_median,top_subspace_projector_error_median,density_ratio_weighted_rmse_median,density_ratio_excess_rmse_median,conditions
circles,2000,0.02102376974476665,0.3555961676421292,0.5381476406996164,0.44499283561516456,40
circles,10000,0.00584836543897182,0.30065639103026726,0.28885431363224223,0.20018417555999649,40
circles,50000,0.002045328286942173,0.2398659429701099,0.1474894818390035,0.07804568773306146,40
gmm,2000,0.011062974315169664,0.011441860805883374,0.15834643239566265,0.158346432395659,40
gmm,10000,0.004915689596767808,0.005035594936416502,0.08867398992646391,0.08867398992646106,40
gmm,50000,0.0020450187864583273,0.0022703806920091147,0.03957961248642945,0.03957961248642576,40
spiral,2000,0.027917426573055997,0.4754757768775003,0.7609481877466946,0.4987534052197754,40
spiral,10000,0.007559340704182954,0.35199889025469544,0.4643112591401659,0.17630577442838338,40
spiral,50000,0.002497281195901717,0.22340430634427233,0.3546917109468161,0.06153042377005513,40
swiss_roll,2000,0.10518955790352716,0.5072546630726317,1.8565787196025085,0.4853200745723247,40
swiss_roll,10000,0.029665700743537592,0.2571570476487841,1.5336722701287835,0.15652244994186054,40
swiss_roll,50000,0.0067889187174861795,0.12546049715463223,1.418051120933482,0.042579213068334676,40
two_moons,2000,0.0204594833038478,0.46021858006213323,0.5306876417470052,0.4944127949901147,40
two_moons,10000,0.006218560729393056,0.407949011355213,0.250921349464859,0.20643785138054144,40
two_moons,50000,0.0025082798588321868,0.3040464569574858,0.1314593236990578,0.09744104529828296,40
