method,rho,samples,replicates,spectrum_mae_median,spectrum_mae_q25,spectrum_mae_q75,test_spectrum_mae_median,normalized_hsic_median,test_normalized_hsic_median
hermite_operator,0.3,500,10,0.015021048644595993,0.011009626926038147,0.020981952488439076,0.0015564673976761125,,
hermite_operator,0.3,2000,10,0.00512175708560435,0.0034767397517890385,0.013837573848694391,0.0016503367130195359,,
hermite_operator,0.3,10000,10,0.0026051132159777336,0.0010367257042219185,0.004751525991106108,0.0016358680498571826,,
hermite_operator,0.6,500,10,0.01768358747740944,0.01036850461452217,0.043071263603732646,0.007226655706256234,,
hermite_operator,0.6,2000,10,0.016527508921967256,0.004347965110887107,0.04156075906339195,0.004808774413951143,,
hermite_operator,0.6,10000,10,0.004266130731050976,0.0022410514600662156,0.017030693837991044,0.005088583132319224,,
hermite_operator,0.9,500,10,0.11587069979207285,0.09365388075304082,0.1293348600913955,0.05915838001358242,,
hermite_operator,0.9,2000,10,0.0972674494769103,0.08001001804491117,0.1024242514261664,0.052325343050869416,,
hermite_operator,0.9,10000,10,0.06266274344530537,0.05595325974448257,0.08593864854792455,0.05669551547945642,,
linear_cca,0.3,500,10,0.021675898154667486,0.008342974074023988,0.035762925349497626,0.005855342791764334,,
linear_cca,0.3,2000,10,0.009778292668236238,0.004541301015195703,0.015316568063796946,0.005147436722527404,,
linear_cca,0.3,10000,10,0.004243764789017376,0.0007051783984158566,0.00711603796419959,0.0049804624827023,,
linear_cca,0.6,500,10,0.01684776028132831,0.009799151159825437,0.04418315999692103,0.006015972766306721,,
linear_cca,0.6,2000,10,0.005966415927808971,0.001749524224063423,0.01193897952967822,0.00677647539130824,,
linear_cca,0.6,10000,10,0.0028651721878712455,0.0017474682830139754,0.00781186835619227,0.0025405961288044454,,
linear_cca,0.9,500,10,0.00939057030653856,0.002219335933832778,0.02014038333437937,0.0019458187402011662,,
linear_cca,0.9,2000,10,0.007576946426534392,0.0008173481902560842,0.010821876771581168,0.0029786767322665386,,
linear_cca,0.9,10000,10,0.002225223231540785,0.0016534553196248802,0.005644674673272176,0.0016245976585271271,,
normalized_hsic,0.3,500,10,,,,,0.03592399849591861,0.0471530836711225
normalized_hsic,0.3,2000,10,,,,,0.04227874050239701,0.04466507052158959
normalized_hsic,0.3,10000,10,,,,,0.045585788671198404,0.0469119797445964
normalized_hsic,0.6,500,10,,,,,0.23559961208901667,0.22644947646815522
normalized_hsic,0.6,2000,10,,,,,0.23434358831740978,0.23952403777518022
normalized_hsic,0.6,10000,10,,,,,0.227730107197088,0.22775519130730637
normalized_hsic,0.9,500,10,,,,,0.6928847792245039,0.6893215464099913
normalized_hsic,0.9,2000,10,,,,,0.6829200671790507,0.684114105512493
normalized_hsic,0.9,10000,10,,,,,0.6993004594112486,0.6918184314476957
nystrom,0.3,500,10,0.0763488310272239,0.06921548900622623,0.08735582541727417,0.004470010040645683,,
nystrom,0.3,2000,10,0.01645467601292979,0.01433004894617377,0.02033164601657366,0.004585401043247665,,
nystrom,0.3,10000,10,0.004733449243536364,0.004179735844664116,0.00511253592237855,0.004864245695669461,,
nystrom,0.6,500,10,0.05423123154100447,0.010470547126360858,0.08107959787419254,0.006447067808468768,,
nystrom,0.6,2000,10,0.011274000062034925,0.006723848307770093,0.015817429600761518,0.004565374010655869,,
nystrom,0.6,10000,10,0.00641618982942486,0.003969477670733853,0.00795400034872612,0.006418443472025714,,
nystrom,0.9,500,10,0.09596602749563059,0.08348948686291183,0.12489887773926567,0.0888749666793705,,
nystrom,0.9,2000,10,0.09764893718844062,0.0752835463412206,0.10538118665248175,0.09877507354023984,,
nystrom,0.9,10000,10,0.08781365238761946,0.07431091188334196,0.09397849924914992,0.08476394136443932,,
rff_kica,0.3,500,10,0.07779135479833024,0.07229816683835266,0.10340233319046466,0.0071754913535646125,,
rff_kica,0.3,2000,10,0.031393156875104175,0.024267629569394975,0.050100446076305774,0.0077850159663741016,,
rff_kica,0.3,10000,10,0.009665853485753533,0.006246944531728584,0.019479461837398866,0.007235281861410153,,
rff_kica,0.6,500,10,0.12066064374224572,0.09365114709258396,0.15325278486134863,0.033018061338116626,,
rff_kica,0.6,2000,10,0.07891029677568065,0.030614772223064423,0.13716551894061788,0.022871634585381898,,
rff_kica,0.6,10000,10,0.019890641766567078,0.011859310223047662,0.0530178742122503,0.02435851053811721,,
rff_kica,0.9,500,10,0.11981771060055599,0.08017232430285978,0.21367572181762,0.04254538069245952,,
rff_kica,0.9,2000,10,0.10257087749442718,0.07059187663063352,0.18582990184146908,0.05810352214460663,,
rff_kica,0.9,10000,10,0.03535933023503186,0.023121813191895338,0.055661209028140174,0.05166153701574076,,
