epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,174,90.1478042602539,-90.1478042602539,,,,
1,349,133.09298706054688,-133.09298706054688,,,,
2,524,159.02349853515625,-159.02349853515625,,,,
3,699,171.7202911376953,-171.7202911376953,,,,
4,874,179.664306640625,-179.664306640625,,,,
5,1049,186.55712890625,-186.55712890625,,,,
6,1224,192.20423889160156,-192.20423889160156,,,,
7,1399,197.8911895751953,-197.8911895751953,,,,
8,1574,203.24017333984375,-203.24017333984375,,,,
9,1749,,,5.462031364440918,207.75466918945312,-207.75466918945312,207.75466918945312
9,1749,207.57247924804688,-207.57247924804688,,,,
10,1924,212.16526794433594,-212.16526794433594,,,,
11,2099,216.77296447753906,-216.77296447753906,,,,
12,2274,221.43026733398438,-221.43026733398438,,,,
13,2449,225.37144470214844,-225.37144470214844,,,,
14,2624,229.12828063964844,-229.12828063964844,,,,
15,2799,232.3919219970703,-232.3919219970703,,,,
16,2974,235.7938690185547,-235.7938690185547,,,,
17,3149,239.10928344726562,-239.10928344726562,,,,
18,3324,240.9192352294922,-240.9192352294922,,,,
19,3499,,,4.507465362548828,241.6209716796875,-241.6209716796875,241.6209716796875
19,3499,243.32122802734375,-243.32122802734375,,,,
20,3674,245.35794067382812,-245.35794067382812,,,,
21,3849,247.47169494628906,-247.47169494628906,,,,
22,4024,248.7021026611328,-248.7021026611328,,,,
23,4199,250.6243133544922,-250.6243133544922,,,,
24,4374,251.62448120117188,-251.62448120117188,,,,
25,4549,253.421875,-253.421875,,,,
26,4724,254.21189880371094,-254.21189880371094,,,,
27,4899,255.40469360351562,-255.40469360351562,,,,
28,5074,256.24896240234375,-256.24896240234375,,,,
29,5249,,,4.312788009643555,255.26377868652344,-255.26377868652344,255.26377868652344
29,5249,257.5096740722656,-257.5096740722656,,,,
30,5424,258.2352600097656,-258.2352600097656,,,,
31,5599,258.8667297363281,-258.8667297363281,,,,
32,5774,259.7332458496094,-259.7332458496094,,,,
33,5949,260.06121826171875,-260.06121826171875,,,,
34,6124,261.5434265136719,-261.5434265136719,,,,
35,6299,261.76715087890625,-261.76715087890625,,,,
36,6474,263.0045166015625,-263.0045166015625,,,,
37,6649,263.2796325683594,-263.2796325683594,,,,
38,6824,264.0664978027344,-264.0664978027344,,,,
39,6999,,,4.251388072967529,261.768798828125,-261.768798828125,261.768798828125
39,6999,264.14166259765625,-264.14166259765625,,,,
40,7174,265.0941467285156,-265.0941467285156,,,,
41,7349,265.157958984375,-265.157958984375,,,,
42,7524,266.34283447265625,-266.34283447265625,,,,
43,7699,266.9315490722656,-266.9315490722656,,,,
44,7874,267.0191650390625,-267.0191650390625,,,,
45,8049,267.4433288574219,-267.4433288574219,,,,
46,8224,268.1315612792969,-268.1315612792969,,,,
47,8399,268.06890869140625,-268.06890869140625,,,,
48,8574,268.7489318847656,-268.7489318847656,,,,
49,8749,,,4.186370849609375,265.1995849609375,-265.1995849609375,265.1995849609375
49,8749,269.2724609375,-269.2724609375,,,,
50,8924,269.9072265625,-269.9072265625,,,,
51,9099,269.9377746582031,-269.9377746582031,,,,
52,9274,270.7420654296875,-270.7420654296875,,,,
53,9449,270.5680236816406,-270.5680236816406,,,,
54,9624,271.1146240234375,-271.1146240234375,,,,
55,9799,271.28424072265625,-271.28424072265625,,,,
56,9974,272.25714111328125,-272.25714111328125,,,,
57,10149,272.4346618652344,-272.4346618652344,,,,
58,10324,272.33770751953125,-272.33770751953125,,,,
59,10499,,,4.132297039031982,268.6754150390625,-268.6754150390625,268.6754150390625
59,10499,272.7902526855469,-272.7902526855469,,,,
60,10674,273.3603210449219,-273.3603210449219,,,,
61,10849,273.576416015625,-273.576416015625,,,,
62,11024,274.1938171386719,-274.1938171386719,,,,
63,11199,274.25103759765625,-274.25103759765625,,,,
64,11374,274.5832214355469,-274.5832214355469,,,,
65,11549,274.83807373046875,-274.83807373046875,,,,
66,11724,274.9293212890625,-274.9293212890625,,,,
67,11899,275.6096496582031,-275.6096496582031,,,,
68,12074,275.5941467285156,-275.5941467285156,,,,
69,12249,,,4.122433662414551,271.35418701171875,-271.35418701171875,271.35418701171875
69,12249,275.8878173828125,-275.8878173828125,,,,
70,12424,275.98785400390625,-275.98785400390625,,,,
71,12599,276.3051452636719,-276.3051452636719,,,,
72,12774,276.7531433105469,-276.7531433105469,,,,
73,12949,276.61700439453125,-276.61700439453125,,,,
74,13124,277.2707214355469,-277.2707214355469,,,,
75,13299,277.23223876953125,-277.23223876953125,,,,
76,13474,277.2672424316406,-277.2672424316406,,,,
77,13649,277.73724365234375,-277.73724365234375,,,,
78,13824,277.7716369628906,-277.7716369628906,,,,
79,13999,,,4.093557834625244,272.2863464355469,-272.2863464355469,272.2863464355469
79,13999,278.45159912109375,-278.45159912109375,,,,
80,14174,278.1700134277344,-278.1700134277344,,,,
