epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/loss,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/loss,val/whitening,val_score
0,174,1.012561321258545,57.463157653808594,58.24552536010742,60.518768310546875,0.02316018007695675,,,,,,,
1,349,0.9661515355110168,61.019386291503906,76.3272476196289,47.40546798706055,0.022858912125229836,,,,,,,
2,524,0.8619324564933777,64.46721649169922,98.19010925292969,26.24441146850586,0.022332865744829178,,,,,,,
3,699,0.7844220995903015,67.45076751708984,114.12139129638672,10.152975082397461,0.021993128582835197,,,,,,,
4,874,0.7312848567962646,70.20264434814453,125.34062194824219,-1.6444200277328491,0.021921880543231964,,,,,,,
5,1049,0.6907051801681519,72.38600158691406,133.39883422851562,-10.633438110351562,0.022035788744688034,,,,,,,
6,1224,0.6577547788619995,74.29226684570312,140.04934692382812,-18.08714485168457,0.022358287125825882,,,,,,,
7,1399,0.632280170917511,75.6851806640625,145.85267639160156,-23.901172637939453,0.022693432867527008,,,,,,,
8,1574,0.6072385311126709,77.00489044189453,150.4660186767578,-29.348651885986328,0.022923005744814873,,,,,,,
9,1749,,,,,,7.561412334442139,0.5954365730285645,78.94214630126953,157.2908935546875,-34.16085433959961,0.023592736572027206,34.16085433959961
9,1749,0.5827386975288391,78.43901824951172,154.98789978027344,-34.82304000854492,0.023081768304109573,,,,,,,
10,1924,0.5711977481842041,79.07333374023438,158.08627319335938,-37.553829193115234,0.023455409333109856,,,,,,,
11,2099,0.5553398132324219,79.98585510253906,161.6392364501953,-41.20689010620117,0.023319173604249954,,,,,,,
12,2274,0.5363098382949829,80.95531463623047,165.02969360351562,-45.29037857055664,0.023254994302988052,,,,,,,
13,2449,0.524438202381134,81.7000503540039,167.15078735351562,-47.97916793823242,0.022911395877599716,,,,,,,
14,2624,0.516201376914978,82.2134780883789,169.22442626953125,-49.96207046508789,0.022572970017790794,,,,,,,
15,2799,0.504367470741272,83.01468658447266,171.39077758789062,-52.71173095703125,0.022113319486379623,,,,,,,
16,2974,0.49974265694618225,83.13253784179688,172.86338806152344,-53.71648025512695,0.021711723878979683,,,,,,,
17,3149,0.4932155907154083,83.7143783569336,174.159912109375,-55.39346694946289,0.021275293081998825,,,,,,,
18,3324,0.48651084303855896,84.08676147460938,175.5513916015625,-56.902923583984375,0.02070002444088459,,,,,,,
19,3499,,,,,,7.2166056632995605,0.5092113018035889,84.40992736816406,175.96058654785156,-54.4000244140625,0.022975141182541847,54.4000244140625
19,3499,0.48216500878334045,84.24523162841797,176.6347198486328,-57.83460998535156,0.020427390933036804,,,,,,,
20,3674,0.47644948959350586,84.57758331298828,177.7883758544922,-59.129554748535156,0.020170442759990692,,,,,,,
21,3849,0.4700571894645691,85.02908325195312,178.6027374267578,-60.5624885559082,0.019801344722509384,,,,,,,
22,4024,0.4649388790130615,85.3582992553711,179.49827575683594,-61.726318359375,0.019458863884210587,,,,,,,
23,4199,0.45991289615631104,85.61636352539062,180.32107543945312,-62.792476654052734,0.019239509478211403,,,,,,,
24,4374,0.45908018946647644,85.69134521484375,180.85549926757812,-63.08130645751953,0.018868353217840195,,,,,,,
25,4549,0.45084521174430847,86.21297454833984,181.8599853515625,-64.85810089111328,0.018648015335202217,,,,,,,
26,4724,0.45062509179115295,86.14326477050781,182.27911376953125,-64.90067291259766,0.01840200275182724,,,,,,,
27,4899,0.44454795122146606,86.54528045654297,183.0676727294922,-66.23847961425781,0.018169375136494637,,,,,,,
28,5074,0.44262000918388367,86.64007568359375,183.80209350585938,-66.72713470458984,0.018038278445601463,,,,,,,
29,5249,,,,,,7.0152764320373535,0.4722719192504883,86.3553466796875,182.63552856445312,-62.41291809082031,0.018729979172348976,62.41291809082031
29,5249,0.4386373460292816,86.97991943359375,183.97789001464844,-67.6120376586914,0.017879744991660118,,,,,,,
30,5424,0.43867456912994385,86.8834457397461,184.4484405517578,-67.60507202148438,0.017718620598316193,,,,,,,
31,5599,0.4331861734390259,87.3461685180664,184.76409912109375,-68.83355712890625,0.01758635975420475,,,,,,,
32,5774,0.43263810873031616,87.19654846191406,185.44410705566406,-68.8902359008789,0.01742950640618801,,,,,,,
33,5949,0.4277462661266327,87.61898040771484,185.9361572265625,-70.03734588623047,0.017353737726807594,,,,,,,
34,6124,0.4269939363002777,87.60061645507812,186.40963745117188,-70.21005249023438,0.017241468653082848,,,,,,,
35,6299,0.4254336953163147,87.69776153564453,186.40673828125,-70.50638580322266,0.017184950411319733,,,,,,,
36,6474,0.42449384927749634,87.63867950439453,186.68356323242188,-70.62306213378906,0.017125997692346573,,,,,,,
37,6649,0.418459415435791,88.02296447753906,187.17486572265625,-71.87808227539062,0.017062559723854065,,,,,,,
38,6824,0.4203687310218811,88.03398132324219,187.23585510253906,-71.65694427490234,0.016987787559628487,,,,,,,
39,6999,,,,,,6.834619522094727,0.4485567510128021,87.53236389160156,186.13229370117188,-67.32600402832031,0.017565559595823288,67.32600402832031
39,6999,0.4202404320240021,87.99095916748047,187.5537872314453,-71.69403076171875,0.016941668465733528,,,,,,,
