epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/invalid_batch,train/leaf_trace,train/loss,train/mv_retained_min,train/retained_min,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/invalid_batch,val/leaf_trace,val/loss,val/mv_retained_min,val/retained_min,val/whitening,val_score
0,116,0.748630940914154,6.822204113006592,8.375236511230469,0.0,11.445596694946289,75.89734649658203,40.350425720214844,34.623931884765625,0.015411874279379845,,,,,,,,,,,
1,233,0.16138562560081482,8.449821472167969,8.87141227722168,0.0,10.350573539733887,0.6264661550521851,19.91452980041504,24.11111068725586,0.5437858700752258,,,,,,,,,,,
2,350,0.03239971399307251,9.350899696350098,9.451997756958008,0.0,11.271430969238281,-10.4811372756958,17.0,17.0,7.884427547454834,,,,,,,,,,,
3,467,0.021327558904886246,10.693805694580078,10.755562782287598,0.0,12.40821647644043,-10.667073249816895,17.0,17.0,11.856138229370117,,,,,,,,,,,
4,584,0.01746489852666855,11.583857536315918,11.657293319702148,0.0,13.021960258483887,-11.95638370513916,17.0,17.0,12.745387077331543,,,,,,,,,,,
5,701,0.015311142429709435,12.184033393859863,12.23037052154541,0.0,13.431047439575195,-12.87810230255127,17.0,17.0,13.223235130310059,,,,,,,,,,,
6,818,0.012813211418688297,12.647058486938477,12.683213233947754,0.0,13.78846549987793,-13.658348083496094,17.0,17.0,13.673728942871094,,,,,,,,,,,
7,935,0.011605762876570225,13.025547981262207,13.089759826660156,0.0,14.077984809875488,-14.268550872802734,17.0,17.0,13.967395782470703,,,,,,,,,,,
8,1052,0.010675608180463314,13.241332054138184,13.304567337036133,0.0,14.233572959899902,-14.631543159484863,17.0,17.0,14.137799263000488,,,,,,,,,,,
9,1169,,,,,,,,,,0.39703503251075745,0.012273600324988365,13.419249534606934,13.491884231567383,0.0,14.395668983459473,-12.828033447265625,16.99519920349121,16.99679946899414,16.114242553710938,12.828033447265625
9,1169,0.00989574659615755,13.451374053955078,13.486997604370117,0.0,14.381956100463867,-14.959651947021484,17.0,17.0,14.304428100585938,,,,,,,,,,,
10,1286,0.00934300571680069,13.63689136505127,13.67350959777832,0.0,14.524096488952637,-15.23371696472168,17.0,17.0,14.46606731414795,,,,,,,,,,,
11,1403,0.008783928118646145,13.814887046813965,13.870274543762207,0.0,14.647939682006836,-15.530228614807129,17.0,17.0,14.582313537597656,,,,,,,,,,,
12,1520,0.008276230655610561,13.954485893249512,13.980265617370605,0.0,14.744038581848145,-15.76107406616211,17.0,17.0,14.674139022827148,,,,,,,,,,,
13,1637,0.007547974120825529,14.171955108642578,14.17233657836914,0.0,14.911275863647461,-16.102876663208008,17.0,17.0,14.848686218261719,,,,,,,,,,,
14,1754,0.007070837542414665,14.243388175964355,14.292097091674805,0.0,14.973859786987305,-16.267671585083008,17.0,17.0,14.902934074401855,,,,,,,,,,,
15,1871,0.006827537901699543,14.347491264343262,14.364076614379883,0.0,15.041505813598633,-16.42433738708496,17.0,17.0,14.96355152130127,,,,,,,,,,,
16,1988,0.006474402267485857,14.42686653137207,14.451025009155273,0.0,15.102898597717285,-16.55855369567871,17.0,17.0,15.032693862915039,,,,,,,,,,,
17,2105,0.006112881004810333,14.496301651000977,14.529942512512207,0.0,15.149721145629883,-16.703794479370117,17.0,17.0,15.06576156616211,,,,,,,,,,,
18,2222,0.005919665563851595,14.58010482788086,14.61878490447998,0.0,15.219709396362305,-16.825544357299805,17.0,17.0,15.140312194824219,,,,,,,,,,,
19,2339,,,,,,,,,,0.34360817074775696,0.00862294901162386,14.464163780212402,14.52919864654541,0.0,15.195923805236816,-14.202634811401367,16.99519920349121,16.99679946899414,17.25955581665039,14.202634811401367
19,2339,0.005658354610204697,14.67497444152832,14.69234848022461,0.0,15.295917510986328,-16.975393295288086,17.0,17.0,15.209701538085938,,,,,,,,,,,
20,2456,0.005596652626991272,14.688043594360352,14.693784713745117,0.0,15.299417495727539,-16.988201141357422,17.0,17.0,15.221648216247559,,,,,,,,,,,
21,2573,0.005139919463545084,14.784881591796875,14.811500549316406,0.0,15.37466049194336,-17.176528930664062,17.0,17.0,15.287398338317871,,,,,,,,,,,
