epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
63,7487,190.2801971435547,-190.2801971435547,,,,
64,7604,190.65396118164062,-190.65396118164062,,,,
65,7721,190.79673767089844,-190.79673767089844,,,,
66,7838,191.05198669433594,-191.05198669433594,,,,
67,7955,191.3026580810547,-191.3026580810547,,,,
68,8072,191.04010009765625,-191.04010009765625,,,,
69,8189,,,4.153881072998047,185.95716857910156,-185.95716857910156,185.95716857910156
69,8189,191.1990966796875,-191.1990966796875,,,,
70,8306,191.7183380126953,-191.7183380126953,,,,
71,8423,191.9752197265625,-191.9752197265625,,,,
72,8540,191.99159240722656,-191.99159240722656,,,,
73,8657,192.1942138671875,-192.1942138671875,,,,
74,8774,192.18991088867188,-192.18991088867188,,,,
75,8891,192.5645751953125,-192.5645751953125,,,,
76,9008,192.78775024414062,-192.78775024414062,,,,
77,9125,192.9353485107422,-192.9353485107422,,,,
78,9242,192.90646362304688,-192.90646362304688,,,,
79,9359,,,4.0854034423828125,188.34707641601562,-188.34707641601562,188.34707641601562
79,9359,193.1815185546875,-193.1815185546875,,,,
80,9476,193.11741638183594,-193.11741638183594,,,,
81,9593,193.18003845214844,-193.18003845214844,,,,
82,9710,193.6150360107422,-193.6150360107422,,,,
83,9827,193.7186279296875,-193.7186279296875,,,,
84,9944,193.83163452148438,-193.83163452148438,,,,
85,10061,193.7942352294922,-193.7942352294922,,,,
86,10178,193.95278930664062,-193.95278930664062,,,,
87,10295,194.15567016601562,-194.15567016601562,,,,
88,10412,194.24685668945312,-194.24685668945312,,,,
89,10529,,,4.068051815032959,189.70225524902344,-189.70225524902344,189.70225524902344
89,10529,194.34466552734375,-194.34466552734375,,,,
90,10646,194.62930297851562,-194.62930297851562,,,,
91,10763,194.81036376953125,-194.81036376953125,,,,
92,10880,195.0294647216797,-195.0294647216797,,,,
93,10997,195.08644104003906,-195.08644104003906,,,,
94,11114,195.09718322753906,-195.09718322753906,,,,
95,11231,195.29165649414062,-195.29165649414062,,,,
96,11348,195.46551513671875,-195.46551513671875,,,,
97,11465,195.5346221923828,-195.5346221923828,,,,
98,11582,195.58706665039062,-195.58706665039062,,,,
99,11699,,,4.0778727531433105,189.74803161621094,-189.74803161621094,189.74803161621094
99,11699,195.7818145751953,-195.7818145751953,,,,
100,11816,195.92510986328125,-195.92510986328125,,,,
101,11933,195.73048400878906,-195.73048400878906,,,,
102,12050,196.00619506835938,-196.00619506835938,,,,
103,12167,196.15997314453125,-196.15997314453125,,,,
104,12284,196.3638153076172,-196.3638153076172,,,,
105,12401,196.18206787109375,-196.18206787109375,,,,
106,12518,196.3811798095703,-196.3811798095703,,,,
107,12635,196.7032928466797,-196.7032928466797,,,,
108,12752,196.78628540039062,-196.78628540039062,,,,
109,12869,,,4.034420967102051,191.1875457763672,-191.1875457763672,191.1875457763672
109,12869,197.0729522705078,-197.0729522705078,,,,
110,12986,197.07318115234375,-197.07318115234375,,,,
111,13103,197.0545196533203,-197.0545196533203,,,,
112,13220,196.9041748046875,-196.9041748046875,,,,
113,13337,197.1610107421875,-197.1610107421875,,,,
114,13454,197.2606658935547,-197.2606658935547,,,,
115,13571,197.47210693359375,-197.47210693359375,,,,
116,13688,197.44906616210938,-197.44906616210938,,,,
117,13805,197.6634063720703,-197.6634063720703,,,,
118,13922,197.57994079589844,-197.57994079589844,,,,
119,14039,,,3.9986231327056885,191.85926818847656,-191.85926818847656,191.85926818847656
119,14039,197.9145965576172,-197.9145965576172,,,,
120,14156,197.89947509765625,-197.89947509765625,,,,
121,14273,198.20721435546875,-198.20721435546875,,,,
122,14390,198.04002380371094,-198.04002380371094,,,,
123,14507,198.20059204101562,-198.20059204101562,,,,
124,14624,198.19187927246094,-198.19187927246094,,,,
125,14741,198.78248596191406,-198.78248596191406,,,,
126,14858,198.6820068359375,-198.6820068359375,,,,
127,14975,198.81024169921875,-198.81024169921875,,,,
128,15092,198.72103881835938,-198.72103881835938,,,,
129,15209,,,3.9918313026428223,192.3096923828125,-192.3096923828125,192.3096923828125
129,15209,198.813720703125,-198.813720703125,,,,
130,15326,199.02784729003906,-199.02784729003906,,,,
131,15443,198.81533813476562,-198.81533813476562,,,,
132,15560,198.96803283691406,-198.96803283691406,,,,
133,15677,199.08816528320312,-199.08816528320312,,,,
134,15794,199.3188934326172,-199.3188934326172,,,,
135,15911,199.27442932128906,-199.27442932128906,,,,
136,16028,199.67857360839844,-199.67857360839844,,,,
137,16145,199.66856384277344,-199.66856384277344,,,,
138,16262,199.5472869873047,-199.5472869873047,,,,
139,16379,,,3.9826343059539795,193.0560760498047,-193.0560760498047,193.0560760498047
139,16379,199.8055877685547,-199.8055877685547,,,,
140,16496,199.8920135498047,-199.8920135498047,,,,
141,16613,199.83348083496094,-199.83348083496094,,,,
