epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
51,6083,98.95650482177734,-98.95650482177734,,,,
52,6200,99.22357940673828,-99.22357940673828,,,,
53,6317,99.36292266845703,-99.36292266845703,,,,
54,6434,99.5820541381836,-99.5820541381836,,,,
55,6551,99.69996643066406,-99.69996643066406,,,,
56,6668,99.89002990722656,-99.89002990722656,,,,
57,6785,99.80384826660156,-99.80384826660156,,,,
58,6902,99.81326293945312,-99.81326293945312,,,,
59,7019,,,4.8575921058654785,98.2629165649414,-98.2629165649414,98.2629165649414
59,7019,100.0594711303711,-100.0594711303711,,,,
60,7136,99.9909439086914,-99.9909439086914,,,,
61,7253,100.34025573730469,-100.34025573730469,,,,
62,7370,100.53477478027344,-100.53477478027344,,,,
63,7487,100.45413970947266,-100.45413970947266,,,,
64,7604,100.52333068847656,-100.52333068847656,,,,
65,7721,100.66755676269531,-100.66755676269531,,,,
66,7838,100.77789306640625,-100.77789306640625,,,,
67,7955,100.94273376464844,-100.94273376464844,,,,
68,8072,101.03618621826172,-101.03618621826172,,,,
69,8189,,,4.888494491577148,99.05010986328125,-99.05010986328125,99.05010986328125
69,8189,101.09527587890625,-101.09527587890625,,,,
70,8306,101.13955688476562,-101.13955688476562,,,,
71,8423,101.28790283203125,-101.28790283203125,,,,
72,8540,101.32904052734375,-101.32904052734375,,,,
73,8657,101.53211212158203,-101.53211212158203,,,,
74,8774,101.55699157714844,-101.55699157714844,,,,
75,8891,101.67268371582031,-101.67268371582031,,,,
76,9008,101.77708435058594,-101.77708435058594,,,,
77,9125,101.947509765625,-101.947509765625,,,,
78,9242,102.02415466308594,-102.02415466308594,,,,
79,9359,,,4.928666591644287,99.71939849853516,-99.71939849853516,99.71939849853516
79,9359,101.90166473388672,-101.90166473388672,,,,
80,9476,101.96268463134766,-101.96268463134766,,,,
81,9593,102.24118041992188,-102.24118041992188,,,,
82,9710,102.01296997070312,-102.01296997070312,,,,
83,9827,102.19583129882812,-102.19583129882812,,,,
84,9944,102.31798553466797,-102.31798553466797,,,,
85,10061,102.52351379394531,-102.52351379394531,,,,
86,10178,102.65962982177734,-102.65962982177734,,,,
87,10295,102.62538146972656,-102.62538146972656,,,,
88,10412,102.70748138427734,-102.70748138427734,,,,
89,10529,,,4.9278645515441895,100.14077758789062,-100.14077758789062,100.14077758789062
89,10529,102.70975494384766,-102.70975494384766,,,,
90,10646,103.07332611083984,-103.07332611083984,,,,
91,10763,102.9708480834961,-102.9708480834961,,,,
92,10880,103.11978912353516,-103.11978912353516,,,,
93,10997,103.14461517333984,-103.14461517333984,,,,
94,11114,103.18102264404297,-103.18102264404297,,,,
95,11231,103.25862884521484,-103.25862884521484,,,,
96,11348,103.27689361572266,-103.27689361572266,,,,
97,11465,103.43538665771484,-103.43538665771484,,,,
98,11582,103.45071411132812,-103.45071411132812,,,,
99,11699,,,4.95034122467041,100.71260833740234,-100.71260833740234,100.71260833740234
99,11699,103.38135528564453,-103.38135528564453,,,,
100,11816,103.59564208984375,-103.59564208984375,,,,
101,11933,103.53495025634766,-103.53495025634766,,,,
102,12050,103.65592956542969,-103.65592956542969,,,,
103,12167,103.88533782958984,-103.88533782958984,,,,
104,12284,103.82096099853516,-103.82096099853516,,,,
105,12401,104.02470397949219,-104.02470397949219,,,,
106,12518,104.05874633789062,-104.05874633789062,,,,
107,12635,104.33512115478516,-104.33512115478516,,,,
108,12752,104.1091079711914,-104.1091079711914,,,,
109,12869,,,4.962193489074707,101.4239730834961,-101.4239730834961,101.4239730834961
109,12869,104.22391510009766,-104.22391510009766,,,,
110,12986,104.24234771728516,-104.24234771728516,,,,
111,13103,104.29986572265625,-104.29986572265625,,,,
112,13220,104.36463928222656,-104.36463928222656,,,,
