design,gradient_bias_l2,gradient_cosine_to_reference_mean,gradient_cosine_to_reference_std,gradient_mse_to_reference,gradient_variance,gradient_variance_ratio,gradient_variance_ratio_ci95_high,gradient_variance_ratio_ci95_low,parents,repetitions,score_bias,score_mean,score_reference,score_variance,score_variance_ratio,score_variance_ratio_ci95_high,score_variance_ratio_ci95_low,total_views,views
fixed_parent,0.06698766109642534,0.09750970709241699,0.04927570371573277,0.008161971226708942,0.003674624487539407,1.0,1.1918220857308797,0.8390514087400507,256,500,0.46733129837209475,1.4252256548243796,0.9578943564522848,0.18852787974818508,1.0,1.1918220857308797,0.8390514087400507,256,1
fixed_parent,0.03781981058619938,0.1188870457003847,0.08323224548768832,0.002986021502966786,0.0015556834301907873,0.42335847797947385,0.5045679842373472,0.35521952735072126,256,500,0.24534542533879922,1.203239781791084,0.9578943564522848,0.08470001320190432,0.4492704915317423,0.5354504942746986,0.3769610388250434,512,2
fixed_parent,0.018044477517445905,0.18170252905467912,0.12828683733387952,0.0006057968498915535,0.00028019368101394265,0.0762509698512256,0.09087758992709012,0.06397848367146598,256,500,0.1264433454126659,1.0843377018649507,0.9578943564522848,0.04602113543876685,0.24410785025661375,0.29093312723611864,0.2048190356423171,1024,4
fixed_parent,0.008696686205284245,0.2888646039254061,0.16448763315485668,0.00016511129794898256,8.947894699580127e-05,0.02435050092852289,0.029021464805223874,0.020431322107603043,256,500,0.05082900426797643,1.0087233607202613,0.9578943564522848,0.024421805044231103,0.12953948814812472,0.15438802294920856,0.10869029001814914,2048,8
fixed_parent,0.004174748681103299,0.457916234336005,0.19391834702504218,3.525282884855354e-05,1.782430229817981e-05,0.004850645925487553,0.005781106944056568,0.004069941297079518,256,500,0.015874919878154814,0.9737692763304396,0.9578943564522848,0.01666892172211507,0.08841621591660391,0.10537639886615867,0.074185750520291,4096,16
fixed_total_views,0.012381987260138509,0.2828182881886737,0.18609874958428232,0.0005081399804028044,0.0003548263718925721,1.0,1.1918220857308797,0.8390514087400507,2048,500,0.2644697625217134,1.2223641189739982,0.9578943564522848,0.09852437987492627,1.0,1.1918220857308797,0.8390514087400507,2048,1
fixed_total_views,0.012229870616465641,0.26390674811001497,0.17795390040601627,0.0004155688188419927,0.000265999083546503,0.7496598466673086,0.8934611620437232,0.6290031504220557,1024,500,0.19427585112166623,1.152170207573951,0.9578943564522848,0.060417167803799694,0.6132204828946649,0.7308497149364167,0.5145235100410227,2048,2
fixed_total_views,0.011043711158725399,0.2569936167483298,0.16538384570844494,0.00031228261413674373,0.00019031905797938786,0.5363723585827752,0.6392604231345145,0.4500439830781012,512,500,0.10771394206614082,1.0656082985184256,0.9578943564522848,0.03374504075898853,0.3425044725156032,0.4082043948057009,0.28737886016398484,2048,4
fixed_total_views,0.008242301601677555,0.302868639109561,0.17900989328071928,0.00015644901550163133,8.85134798086149e-05,0.2494557530673436,0.29730687591828875,0.20930620102946487,256,500,0.04237412450482214,1.000268480957107,0.9578943564522848,0.027645292578619755,0.2805934187427987,0.3344174335684004,0.23543230327933218,2048,8
fixed_total_views,0.005503440320326351,0.3847199512383456,0.18751732002992555,6.739331293094511e-05,3.71054575715513e-05,0.10457356191885708,0.12463308067843953,0.08774259444498195,128,500,-0.00449441231653358,0.9533999441357512,0.9578943564522848,0.026058620660870738,0.26448906041277676,0.31522390363415626,0.2219199187356727,2048,16
