epoch,step,train/alpha_effective,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/leaf_trace,train/loss,train/whitening,val/alpha_effective,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/leaf_trace,val/loss,val/whitening,val_score
0,174,0.2000003457069397,1.01959228515625,13.033550262451172,57.49410629272461,20.8903865814209,85.10818481445312,0.0231439508497715,,,,,,,,,
1,349,0.2000003457069397,0.7404052019119263,21.402761459350586,77.76483917236328,31.87110710144043,25.967876434326172,0.022890495136380196,,,,,,,,,
2,524,0.2000003457069397,0.5253976583480835,31.611007690429688,103.66825103759766,48.16469192504883,-33.23596954345703,0.022467348724603653,,,,,,,,,
3,699,0.2000003457069397,0.4330270290374756,38.031227111816406,120.65437316894531,55.61771774291992,-62.33013916015625,0.02222290448844433,,,,,,,,,
4,874,0.2000003457069397,0.3851376473903656,43.35291290283203,132.9813232421875,59.67112731933594,-80.30062866210938,0.022045493125915527,,,,,,,,,
5,1049,0.2000003457069397,0.3541330099105835,47.555049896240234,142.05723571777344,62.44268035888672,-93.0569839477539,0.023178305476903915,,,,,,,,,
6,1224,0.2000003457069397,0.32674551010131836,51.54995346069336,149.8155059814453,65.30714416503906,-104.970703125,0.026084424927830696,,,,,,,,,
7,1399,0.2000003457069397,0.30422571301460266,54.94684600830078,156.55982971191406,67.74732208251953,-115.03754425048828,0.027663135901093483,,,,,,,,,
8,1574,0.2000003457069397,0.2877311110496521,57.78802490234375,161.56704711914062,69.64166259765625,-122.88607025146484,0.02740335464477539,,,,,,,,,
9,1749,,,,,,,,0.20000001788139343,4.2471489906311035,0.29359349608421326,59.765411376953125,166.43211364746094,70.48614501953125,-125.93205261230469,0.025950463488698006,125.93205261230469
9,1749,0.2000003457069397,0.2735830843448639,60.303855895996094,166.32313537597656,71.27787017822266,-129.80062866210938,0.027088066563010216,,,,,,,,,
10,1924,0.2000003457069397,0.26303842663764954,62.04664611816406,169.34243774414062,72.36277770996094,-134.58255004882812,0.026412753388285637,,,,,,,,,
11,2099,0.2000003457069397,0.2535162568092346,64.15243530273438,172.47618103027344,73.8869857788086,-140.05844116210938,0.026135027408599854,,,,,,,,,
12,2274,0.2000003457069397,0.2445782870054245,65.58906555175781,175.11192321777344,74.8394546508789,-144.11920166015625,0.02567438594996929,,,,,,,,,
13,2449,0.2000003457069397,0.23674683272838593,66.85155487060547,177.46800231933594,75.72518157958984,-147.74136352539062,0.02534670941531658,,,,,,,,,
14,2624,0.2000003457069397,0.22945016622543335,68.23049926757812,179.4079132080078,76.76627349853516,-151.4842071533203,0.024495206773281097,,,,,,,,,
15,2799,0.2000003457069397,0.22412529587745667,68.97999572753906,180.749267578125,77.32141876220703,-153.73892211914062,0.024208039045333862,,,,,,,,,
16,2974,0.2000003457069397,0.21893563866615295,69.85173034667969,182.26531982421875,77.98023986816406,-156.23770141601562,0.02353883720934391,,,,,,,,,
17,3149,0.2000003457069397,0.21634741127490997,70.42996215820312,182.8980255126953,78.35665130615234,-157.65040588378906,0.02333137020468712,,,,,,,,,
18,3324,0.2000003457069397,0.2118341326713562,71.1045913696289,184.38623046875,78.88787841796875,-159.7319793701172,0.023020615801215172,,,,,,,,,
19,3499,,,,,,,,0.20000001788139343,4.098758220672607,0.23680756986141205,69.3279037475586,182.98587036132812,77.40454864501953,-152.99368286132812,0.024575110524892807,152.99368286132812
19,3499,0.2000003457069397,0.20837397873401642,71.85594940185547,185.39292907714844,79.5063247680664,-161.74583435058594,0.02318156138062477,,,,,,,,,
20,3674,0.2000003457069397,0.20518073439598083,72.19779968261719,186.07261657714844,79.74026489257812,-162.8665008544922,0.0229469183832407,,,,,,,,,
21,3849,0.2000003457069397,0.2025318741798401,72.8014144897461,186.6564483642578,80.25931549072266,-164.4454803466797,0.022510863840579987,,,,,,,,,
22,4024,0.2000003457069397,0.20063693821430206,73.10441589355469,187.50709533691406,80.5027084350586,-165.40438842773438,0.022591710090637207,,,,,,,,,
23,4199,0.2000003457069397,0.1969102919101715,73.52899932861328,188.07818603515625,80.84789276123047,-166.7652587890625,0.02277921326458454,,,,,,,,,
24,4374,0.2000003457069397,0.1960766613483429,73.77891540527344,188.64613342285156,81.01187133789062,-167.3994140625,0.022768646478652954,,,,,,,,,
25,4549,0.2000003457069397,0.19362382590770721,74.12095642089844,189.13009643554688,81.30274200439453,-168.44332885742188,0.022547926753759384,,,,,,,,,
26,4724,0.2000003457069397,0.1917063295841217,74.5031509399414,189.7489776611328,81.62712097167969,-169.51934814453125,0.022228045389056206,,,,,,,,,
27,4899,0.2000003457069397,0.18975764513015747,74.7503433227539,190.19525146484375,81.8223648071289,-170.3003692626953,0.02237575687468052,,,,,,,,,
28,5074,0.2000003457069397,0.18944431841373444,74.93756103515625,190.34884643554688,82.01408386230469,-170.75030517578125,0.022236809134483337,,,,,,,,,
29,5249,,,,,,,,0.20000001788139343,3.942364454269409,0.20877192914485931,73.07178497314453,189.3706817626953,80.63497161865234,-164.83641052246094,0.021677715703845024,164.83641052246094
29,5249,0.2000003457069397,0.18665418028831482,75.34278106689453,190.83921813964844,82.28905487060547,-171.8860321044922,0.02192399650812149,,,,,,,,,
30,5424,0.2000003457069397,0.18441401422023773,75.72673034667969,191.2080078125,82.67463684082031,-173.0164031982422,0.02160220593214035,,,,,,,,,
31,5599,0.2000003457069397,0.18400323390960693,75.8155517578125,191.3705596923828,82.73296356201172,-173.24851989746094,0.021733993664383888,,,,,,,,,
32,5774,0.2000003457069397,0.18162627518177032,75.98835754394531,191.97421264648438,82.85311126708984,-173.96658325195312,0.021623121574521065,,,,,,,,,
33,5949,0.2000003457069397,0.18165189027786255,76.18110656738281,192.2323455810547,83.05228424072266,-174.40660095214844,0.021774137392640114,,,,,,,,,
34,6124,0.2000003457069397,0.1806340217590332,76.31112670898438,192.46571350097656,83.16998291015625,-174.83151245117188,0.02163948118686676,,,,,,,,,
35,6299,0.2000003457069397,0.1793082356452942,76.52889251708984,192.64413452148438,83.3919906616211,-175.47679138183594,0.021458212286233902,,,,,,,,,
36,6474,0.2000003457069397,0.17718848586082458,76.7707290649414,193.14292907714844,83.54988098144531,-176.24765014648438,0.02136065997183323,,,,,,,,,
37,6649,0.2000003457069397,0.17839939892292023,77.02332305908203,193.3368377685547,83.76021575927734,-176.5946807861328,0.02107495255768299,,,,,,,,,
38,6824,0.2000003457069397,0.17785672843456268,76.7127456665039,193.27459716796875,83.54077911376953,-176.12155151367188,0.021224671974778175,,,,,,,,,
39,6999,,,,,,,,0.20000001788139343,3.874892234802246,0.19774803519248962,74.53844451904297,191.74215698242188,82.01043701171875,-169.56419372558594,0.021387949585914612,169.56419372558594
39,6999,0.2000003457069397,0.17552393674850464,77.13893127441406,193.52911376953125,83.8970718383789,-177.25392150878906,0.0209136214107275,,,,,,,,,
40,7174,0.2000003457069397,0.1743396818637848,77.42359161376953,194.0435333251953,84.15621948242188,-178.0522003173828,0.02080467902123928,,,,,,,,,
41,7349,0.2000003457069397,0.17477846145629883,77.37293243408203,194.2427520751953,84.09156036376953,-177.92079162597656,0.02067570574581623,,,,,,,,,
42,7524,0.2000003457069397,0.1714453399181366,77.66163635253906,194.37803649902344,84.37954711914062,-178.95118713378906,0.020568471401929855,,,,,,,,,
43,7699,0.2000003457069397,0.1715478003025055,77.79615783691406,194.51751708984375,84.49876403808594,-179.2200164794922,0.020283017307519913,,,,,,,,,
44,7874,0.2000003457069397,0.1693168431520462,78.09315490722656,194.8783721923828,84.80477905273438,-180.18092346191406,0.020212065428495407,,,,,,,,,
45,8049,0.2000003457069397,0.17000095546245575,77.91859436035156,194.92486572265625,84.60905456542969,-179.73245239257812,0.020020872354507446,,,,,,,,,
46,8224,0.2000003457069397,0.1700373739004135,78.0198745727539,194.85726928710938,84.71273040771484,-179.91952514648438,0.01975279673933983,,,,,,,,,
47,8399,0.2000003457069397,0.16868050396442413,78.17665100097656,195.2984619140625,84.85977935791016,-180.48541259765625,0.0196234118193388,,,,,,,,,
48,8574,0.2000003457069397,0.16834354400634766,78.39472198486328,195.31134033203125,85.11201477050781,-181.00164794921875,0.01933332532644272,,,,,,,,,
49,8749,,,,,,,,0.20000001788139343,3.8491976261138916,0.19251348078250885,75.61749267578125,193.0489501953125,83.5147476196289,-173.08078002929688,0.019517501816153526,173.08078002929688
49,8749,0.2000003457069397,0.16804347932338715,78.30158233642578,195.42784118652344,85.0582275390625,-180.91690063476562,0.018941571936011314,,,,,,,,,
50,8924,0.2000003457069397,0.16735556721687317,78.71826171875,195.7218017578125,85.44821166992188,-181.8702392578125,0.019050031900405884,,,,,,,,,
51,9099,0.2000003457069397,0.16604800522327423,78.95157623291016,195.97984313964844,85.63700866699219,-182.5111846923828,0.019208351150155067,,,,,,,,,
52,9274,0.2000003457069397,0.16449739038944244,79.04251098632812,196.0646209716797,85.69559478759766,-182.8760528564453,0.01930466666817665,,,,,,,,,
53,9449,0.2000003457069397,0.16381585597991943,79.11026000976562,196.59552001953125,85.78305053710938,-183.22462463378906,0.019402123987674713,,,,,,,,,
54,9624,0.2000003457069397,0.16322511434555054,79.32019805908203,196.4687957763672,85.96165466308594,-183.663330078125,0.019456176087260246,,,,,,,,,
55,9799,0.2000003457069397,0.1632036715745926,79.37814331054688,196.58314514160156,86.0005111694336,-183.7856903076172,0.019535673782229424,,,,,,,,,
56,9974,0.2000003457069397,0.16119889914989471,79.67643737792969,196.933837890625,86.32984924316406,-184.74000549316406,0.019523562863469124,,,,,,,,,
57,10149,0.2000003457069397,0.16188177466392517,79.64351654052734,196.6767578125,86.3011703491211,-184.53953552246094,0.01966107450425625,,,,,,,,,
58,10324,0.2000003457069397,0.1604330837726593,79.69554138183594,197.2523651123047,86.35175323486328,-184.94256591796875,0.01974036917090416,,,,,,,,,
59,10499,,,,,,,,0.20000001788139343,3.8347785472869873,0.18939313292503357,76.26060485839844,194.16354370117188,84.08792114257812,-174.91796875,0.020920561626553535,174.91796875
59,10499,0.2000003457069397,0.1599801927804947,79.88933563232422,197.1436309814453,86.52277374267578,-185.3436737060547,0.019733453169465065,,,,,,,,,
60,10674,0.2000003457069397,0.1580873280763626,79.89263153076172,197.38670349121094,86.495849609375,-185.61087036132812,0.01974482834339142,,,,,,,,,
61,10849,0.2000003457069397,0.1589193344116211,79.97879791259766,197.5288543701172,86.61725616455078,-185.74038696289062,0.019771646708250046,,,,,,,,,
62,11024,0.2000003457069397,0.158672496676445,80.08570098876953,197.32489013671875,86.7291488647461,-185.94993591308594,0.01976846531033516,,,,,,,,,
63,11199,0.2000003457069397,0.15865178406238556,80.17176055908203,197.4401397705078,86.79486083984375,-186.1273956298828,0.01975330151617527,,,,,,,,,
64,11374,0.2000003457069397,0.15744075179100037,80.1978759765625,197.78143310546875,86.85232543945312,-186.43421936035156,0.019843297079205513,,,,,,,,,
65,11549,0.2000003457069397,0.1552407294511795,80.31002044677734,198.0491943359375,86.93218231201172,-186.96144104003906,0.01981413923203945,,,,,,,,,
66,11724,0.2000003457069397,0.15593445301055908,80.48294830322266,198.01760864257812,87.12683868408203,-187.23391723632812,0.019860325381159782,,,,,,,,,
67,11899,0.2000003457069397,0.1558452546596527,80.56664276123047,198.0894012451172,87.19037628173828,-187.40676879882812,0.01994583010673523,,,,,,,,,
68,12074,0.2000003457069397,0.15517093241214752,80.5634765625,198.2449493408203,87.2073974609375,-187.5380401611328,0.019900409504771233,,,,,,,,,
69,12249,,,,,,,,0.20000001788139343,3.876858949661255,0.19487231969833374,75.8248519897461,193.33506774902344,83.97647857666016,-173.5036163330078,0.021041836589574814,173.5036163330078
69,12249,0.2000003457069397,0.15391403436660767,80.70134735107422,198.38113403320312,87.34056091308594,-187.9971923828125,0.019924771040678024,,,,,,,,,
70,12424,0.2000003457069397,0.15463311970233917,80.88267517089844,198.37779235839844,87.49787139892578,-188.2431640625,0.019890418276190758,,,,,,,,,
71,12599,0.2000003457069397,0.1518937647342682,80.95541381835938,198.855712890625,87.56089782714844,-188.82518005371094,0.019891900941729546,,,,,,,,,
72,12774,0.2000003457069397,0.1532226949930191,80.9893798828125,198.43850708007812,87.63352966308594,-188.67820739746094,0.019923413172364235,,,,,,,,,
73,12949,0.2000003457069397,0.15142588317394257,81.194580078125,198.84356689453125,87.78645324707031,-189.3473663330078,0.019899431616067886,,,,,,,,,
74,13124,0.2000003457069397,0.15174134075641632,81.12379455566406,198.97471618652344,87.73692321777344,-189.21287536621094,0.019957175478339195,,,,,,,,,
75,13299,0.2000003457069397,0.15057916939258575,81.26609802246094,198.9546356201172,87.91504669189453,-189.67803955078125,0.019939055666327477,,,,,,,,,
76,13474,0.2000003457069397,0.1520363837480545,81.20207214355469,198.8108673095703,87.83085632324219,-189.3145751953125,0.01992141455411911,,,,,,,,,
77,13649,0.2000003457069397,0.1493532508611679,81.36990356445312,199.15008544921875,87.97766876220703,-190.04049682617188,0.01990319788455963,,,,,,,,,
78,13824,0.2000003457069397,0.15012747049331665,81.33916473388672,199.16700744628906,87.97685241699219,-189.91323852539062,0.019900847226381302,,,,,,,,,
79,13999,,,,,,,,0.20000001788139343,3.7946393489837646,0.18415650725364685,76.92096710205078,195.04522705078125,85.31488037109375,-177.65170288085938,0.021161071956157684,177.65170288085938
79,13999,0.2000003457069397,0.15010300278663635,81.5180435180664,199.18301391601562,88.12508392333984,-190.24656677246094,0.019994977861642838,,,,,,,,,
80,14174,0.2000003457069397,0.1496467888355255,81.6024398803711,199.4154052734375,88.21062469482422,-190.52133178710938,0.020033735781908035,,,,,,,,,
81,14349,0.2000003457069397,0.1495840847492218,81.61983489990234,199.30665588378906,88.2264404296875,-190.54086303710938,0.019966082647442818,,,,,,,,,
82,14524,0.2000003457069397,0.1491488218307495,81.61360168457031,199.68411254882812,88.25696563720703,-190.69642639160156,0.019879812374711037,,,,,,,,,
83,14699,0.2000003457069397,0.14991778135299683,81.77822875976562,199.41598510742188,88.4158706665039,-190.86782836914062,0.019951527938246727,,,,,,,,,
84,14874,0.2000003457069397,0.14878176152706146,81.86085510253906,199.56675720214844,88.53305053710938,-191.2432403564453,0.01994871348142624,,,,,,,,,
85,15049,0.2000003457069397,0.14683710038661957,81.9581298828125,199.8353729248047,88.58214569091797,-191.6923065185547,0.019902648404240608,,,,,,,,,
