epoch,step,train/alpha_effective,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/leaf_trace,train/loss,train/whitening,val/alpha_effective,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/leaf_trace,val/loss,val/whitening,val_score
0,174,0.2000003457069397,1.3910468816757202,11.490023612976074,53.077945709228516,19.21497344970703,136.75660705566406,0.02323107235133648,,,,,,,,,
1,349,0.2000003457069397,1.4893618822097778,9.886001586914062,44.12367630004883,18.43596649169922,153.5149383544922,0.02333827130496502,,,,,,,,,
2,524,0.2000003457069397,1.5064889192581177,8.719374656677246,38.78602600097656,17.931833267211914,158.44554138183594,0.02336767502129078,,,,,,,,,
3,699,0.2000003457069397,1.4285627603530884,7.862894058227539,35.978023529052734,17.759618759155273,150.061279296875,0.02337377518415451,,,,,,,,,
4,874,0.2000003457069397,1.2891924381256104,7.281315803527832,34.22357177734375,17.74276351928711,133.17120361328125,0.023369837552309036,,,,,,,,,
5,1049,0.2000003457069397,1.0785393714904785,6.603109836578369,32.325218200683594,17.719375610351562,107.28878021240234,0.023340554907917976,,,,,,,,,
6,1224,0.2000003457069397,0.6392267346382141,4.607382297515869,26.50291633605957,17.668231964111328,54.268096923828125,0.023258768022060394,,,,,,,,,
7,1399,0.2000003457069397,0.33066681027412415,3.789275646209717,21.414159774780273,17.75704574584961,16.52058219909668,0.02439849078655243,,,,,,,,,
8,1574,0.2000003457069397,0.216566264629364,4.066257476806641,19.22689437866211,18.35213851928711,1.5424597263336182,0.08575856685638428,,,,,,,,,
9,1749,,,,,,,,0.20000001788139343,1.3410160541534424,0.19132791459560394,5.601606845855713,21.352256774902344,25.88747787475586,-11.201025009155273,0.06853822618722916,11.201025009155273
9,1749,0.2000003457069397,0.18072345852851868,4.9868974685668945,20.49213218688965,22.965808868408203,-8.83265209197998,0.08587919175624847,,,,,,,,,
10,1924,0.2000003457069397,0.1802864521741867,6.420044422149658,23.62211799621582,31.68868064880371,-19.675540924072266,0.0809331089258194,,,,,,,,,
11,2099,0.2000003457069397,0.1916017383337021,7.7701616287231445,27.185033798217773,46.21520233154297,-34.7795524597168,0.11781277507543564,,,,,,,,,
12,2274,0.2000003457069397,0.18974168598651886,8.654626846313477,31.480239868164062,55.16652297973633,-45.667625427246094,0.16265766322612762,,,,,,,,,
13,2449,0.2000003457069397,0.19555775821208954,9.294387817382812,39.147056579589844,59.72139358520508,-51.60322570800781,0.21056880056858063,,,,,,,,,
14,2624,0.2000003457069397,0.19957894086837769,9.672011375427246,49.55304718017578,63.28449630737305,-57.08028030395508,0.24075932800769806,,,,,,,,,
15,2799,0.2000003457069397,0.1973607987165451,9.7589750289917,57.64250183105469,65.67169189453125,-61.42830276489258,0.26871660351753235,,,,,,,,,
16,2974,0.2000003457069397,0.18795344233512878,9.780522346496582,63.38740921020508,67.7251968383789,-65.84907531738281,0.2760794162750244,,,,,,,,,
17,3149,0.2000003457069397,0.18067853152751923,9.723339080810547,68.6544418334961,69.4307861328125,-69.49292755126953,0.26522624492645264,,,,,,,,,
18,3324,0.2000003457069397,0.17137713730335236,9.703908920288086,71.33894348144531,70.85457611083984,-72.62259674072266,0.26741859316825867,,,,,,,,,
19,3499,,,,,,,,0.20000001788139343,1.4682362079620361,0.19559063017368317,9.410911560058594,73.3263168334961,70.33084869384766,-69.12205505371094,0.24937140941619873,69.12205505371094
19,3499,0.2000003457069397,0.16164550185203552,9.650877952575684,74.12565612792969,72.2754898071289,-75.79717254638672,0.2636544406414032,,,,,,,,,
20,3674,0.2000003457069397,0.1537894457578659,9.569357872009277,76.46550750732422,73.280517578125,-78.20586395263672,0.25205790996551514,,,,,,,,,
