epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/invalid_batch,train/loss,train/retained_min,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/invalid_batch,val/loss,val/retained_min,val/whitening,val_score
0,116,0.7710331082344055,5.431886672973633,26.590112686157227,0.0,87.96551513671875,46.80341720581055,0.023187624290585518,,,,,,,,,
1,233,0.7081127166748047,8.197273254394531,40.589046478271484,0.0,74.34657287597656,47.367523193359375,0.023197513073682785,,,,,,,,,
2,350,0.5290105938911438,9.83354663848877,44.81523513793945,0.0,48.93984603881836,41.991451263427734,0.023069731891155243,,,,,,,,,
3,467,0.3756817579269409,11.093589782714844,45.39834213256836,0.0,27.936908721923828,38.46154022216797,0.02290734276175499,,,,,,,,,
4,584,0.3038416802883148,12.79312801361084,49.15237045288086,0.0,16.290882110595703,38.17094039916992,0.022754624485969543,,,,,,,,,
5,701,0.25790828466415405,14.470765113830566,52.7245979309082,0.0,8.0192232131958,38.58119583129883,0.022640705108642578,,,,,,,,,
6,818,0.22999031841754913,15.918047904968262,55.749202728271484,0.0,2.3934764862060547,39.0,0.02259943075478077,,,,,,,,,
7,935,0.2087867707014084,16.8631591796875,58.136756896972656,0.0,-1.743044137954712,39.0,0.022755296900868416,,,,,,,,,
8,1052,0.18100988864898682,17.66330909729004,59.56854248046875,0.0,-6.384710311889648,39.0,0.023044483736157417,,,,,,,,,
9,1169,,,,,,,,1.7016388177871704,0.16218608617782593,17.95778465270996,60.488800048828125,0.0,-9.27064323425293,38.96160125732422,0.02508554235100746,9.27064323425293
9,1169,0.15775224566459656,18.099876403808594,60.4853515625,0.0,-9.980525016784668,39.0,0.02413705363869667,,,,,,,,,
10,1286,0.13584640622138977,18.459609985351562,61.63365936279297,0.0,-13.373204231262207,39.0,0.024797318503260612,,,,,,,,,
11,1403,0.11874070763587952,18.951189041137695,63.45500564575195,0.0,-16.41902732849121,39.0,0.024348462000489235,,,,,,,,,
12,1520,0.10822459310293198,19.482059478759766,64.70291137695312,0.0,-18.545602798461914,39.0,0.024296849966049194,,,,,,,,,
13,1637,0.09992115944623947,19.96977424621582,65.61531829833984,0.0,-20.279109954833984,39.0,0.023825084790587425,,,,,,,,,
14,1754,0.09272217750549316,20.4429988861084,65.44206237792969,0.0,-21.63911247253418,39.0,0.02385449968278408,,,,,,,,,
15,1871,0.09055233746767044,20.841814041137695,65.68132019042969,0.0,-22.36447525024414,39.0,0.02290811575949192,,,,,,,,,
16,1988,0.08420869708061218,21.21454620361328,65.19001007080078,0.0,-23.450847625732422,39.0,0.02299339883029461,,,,,,,,,
17,2105,0.08238384872674942,21.726736068725586,64.40792846679688,0.0,-24.04085922241211,39.0,0.02233368717133999,,,,,,,,,
18,2222,0.08211450278759003,22.037504196166992,64.14997100830078,0.0,-24.33405113220215,39.02564239501953,0.022800324484705925,,,,,,,,,
19,2339,,,,,,,,1.3791639804840088,0.08768706023693085,21.971879959106445,59.860862731933594,0.0,-22.696563720703125,39.959999084472656,0.023543160408735275,22.696563720703125
19,2339,0.07763150334358215,22.664684295654297,64.02401733398438,0.0,-25.508792877197266,39.880340576171875,0.02385677397251129,,,,,,,,,
20,2456,0.0760025754570961,23.35809326171875,65.11782836914062,0.0,-26.629039764404297,40.0,0.024292193353176117,,,,,,,,,
21,2573,0.0768747627735138,24.183612823486328,66.44507598876953,0.0,-27.60843276977539,40.0,0.024228645488619804,,,,,,,,,
22,2690,0.07405439764261246,23.99423599243164,65.64977264404297,0.0,-27.620805740356445,40.0,0.02441154606640339,,,,,,,,,
23,2807,0.07343072444200516,24.50423812866211,67.47029113769531,0.0,-28.573169708251953,40.0,0.025996919721364975,,,,,,,,,
24,2924,0.07437483966350555,24.51041030883789,65.03092193603516,0.0,-27.973026275634766,40.85470199584961,0.02358933910727501,,,,,,,,,
25,3041,0.07070594280958176,24.645023345947266,65.17315673828125,0.0,-28.606937408447266,41.0,0.022354789078235626,,,,,,,,,
26,3158,0.07044411450624466,25.10304069519043,66.7228012084961,0.0,-29.409177780151367,41.0,0.0215679369866848,,,,,,,,,
27,3275,0.0706762969493866,25.495508193969727,68.15765380859375,0.0,-30.059101104736328,41.0,0.02137180231511593,,,,,,,,,
28,3392,0.0728139579296112,26.290563583374023,70.0274658203125,0.0,-30.954605102539062,42.18803405761719,0.021260131150484085,,,,,,,,,
29,3509,,,,,,,,1.5149056911468506,0.08930613845586777,25.99117088317871,70.85131072998047,0.0,-28.707916259765625,43.03200149536133,0.022335946559906006,28.707916259765625
29,3509,0.07222870737314224,27.042428970336914,71.24658966064453,0.0,-32.025299072265625,43.0,0.021161770448088646,,,,,,,,,
30,3626,0.0773715227842331,27.681596755981445,72.5816650390625,0.0,-32.273033142089844,43.61538314819336,0.021342085674405098,,,,,,,,,
31,3743,0.07984106242656708,29.267284393310547,77.72366333007812,0.0,-34.568885803222656,44.86324691772461,0.023461636155843735,,,,,,,,,
32,3860,0.07941380888223648,29.192977905273438,76.16253662109375,0.0,-34.236183166503906,45.5470085144043,0.024327566847205162,,,,,,,,,
33,3977,0.08002404123544693,28.596256256103516,75.28292846679688,0.0,-33.38698959350586,46.008548736572266,0.02278369665145874,,,,,,,,,
34,4094,0.08328209817409515,29.384414672851562,75.34827423095703,0.0,-33.77130889892578,46.30769348144531,0.022646861150860786,,,,,,,,,
35,4211,0.08916137367486954,29.39417266845703,74.22496795654297,0.0,-32.8029899597168,46.60683822631836,0.023523936048150063,,,,,,,,,
36,4328,0.08495301008224487,29.22353744506836,74.91210174560547,0.0,-33.30886459350586,47.47008514404297,0.02311592921614647,,,,,,,,,
37,4445,0.09136208146810532,28.75465965270996,73.12435913085938,0.0,-31.662397384643555,47.623931884765625,0.022781673818826675,,,,,,,,,
38,4562,0.08764969557523727,28.913644790649414,74.42633056640625,0.0,-32.55535888671875,47.80341720581055,0.024397004395723343,,,,,,,,,
39,4679,,,,,,,,1.7040560245513916,0.0990077406167984,29.686967849731445,77.05177307128906,0.0,-32.40229415893555,48.94559860229492,0.022038402035832405,32.40229415893555
39,4679,0.08160039782524109,29.575862884521484,74.58824920654297,0.0,-34.026527404785156,48.69230651855469,0.022127965465188026,,,,,,,,,
40,4796,0.09146212041378021,31.25023651123047,79.40094757080078,0.0,-35.401695251464844,49.0,0.02156864106655121,,,,,,,,,
41,4913,0.09223375469446182,31.732616424560547,80.88118743896484,0.0,-36.081268310546875,49.991451263427734,0.021671690046787262,,,,,,,,,
42,5030,0.09144652634859085,33.474700927734375,82.57562255859375,0.0,-38.2628173828125,52.376068115234375,0.02185283787548542,,,,,,,,,
43,5147,0.09428720921278,33.97245407104492,84.24269104003906,0.0,-38.73017120361328,53.0,0.022055741399526596,,,,,,,,,
44,5264,0.09338107705116272,34.41941452026367,84.57738494873047,0.0,-39.35988998413086,53.0,0.022238878533244133,,,,,,,,,
45,5381,0.09735988080501556,34.13483428955078,84.09666442871094,0.0,-38.469966888427734,53.0,0.022133566439151764,,,,,,,,,
46,5498,0.09686197340488434,34.26112365722656,84.4708480834961,0.0,-38.734989166259766,53.0,0.021978484466671944,,,,,,,,,
47,5615,0.09530633687973022,34.25580596923828,85.05316162109375,0.0,-39.04524612426758,53.0,0.021972034126520157,,,,,,,,,
48,5732,0.09329697489738464,34.55556869506836,85.3519287109375,0.0,-39.66178894042969,53.29914474487305,0.022146930918097496,,,,,,,,,
