axis,backbone,batch,encoded_images_per_second,features,parameters,peak_memory_mb,precision,seconds_per_step,size,status,views
views,resnet18_cifar,128,6269.698363486884,128,11825472,703.02001953125,32-true,0.02041565520048607,32,success,1
views,resnet18_cifar,128,8921.513500396966,128,11825472,1265.20751953125,32-true,0.028694682801142336,32,success,2
views,resnet18_cifar,128,9856.865244496543,128,11825472,2426.83251953125,32-true,0.051943491901329256,32,success,4
views,resnet18_cifar,128,10376.540002696827,128,11825472,4770.08203125,32-true,0.09868414709853823,32,success,8
views,resnet18_cifar,128,10604.005752018693,128,11825472,9455.58251953125,32-true,0.19313456140007473,32,success,16
features,resnet18_cifar,128,9062.235194001383,32,11726976,1264.14111328125,32-true,0.028249101300025357,32,success,2
features,resnet18_cifar,128,9070.410607364147,64,11759808,1264.47314453125,32-true,0.028223639599309534,32,success,2
features,resnet18_cifar,128,8919.054649353806,128,11825472,1265.20751953125,32-true,0.02870259349947446,32,success,2
features,resnet18_cifar,128,8681.934687762268,256,11956800,1266.95947265625,32-true,0.02948651529950439,32,success,2
features,resnet18_cifar,128,8096.014660472792,512,12219456,1271.58837890625,32-true,0.03162049610036775,32,success,2
batch,resnet18_cifar,64,7621.829223499509,128,11825472,703.11376953125,32-true,0.0167938688005961,32,success,2
batch,resnet18_cifar,128,8930.631155139163,128,11825472,1265.20751953125,32-true,0.028665387199725955,32,success,2
batch,resnet18_cifar,256,9846.239432885397,128,11825472,2426.89501953125,32-true,0.05199954799900297,32,success,2
batch,resnet18_cifar,512,10365.457800181386,128,11825472,4770.26953125,32-true,0.09878965500029153,32,success,2
precision,resnet18_cifar,128,8929.946457222768,128,11825472,1265.20751953125,32-true,0.02866758509990177,32,success,2
precision,resnet18_cifar,128,13175.777522381586,128,11825472,689.9306640625,16-mixed,0.019429593400855084,32,success,2
backbone,resnet18_imagenet,8,1572.8346912961476,128,11833152,296.99462890625,16-mixed,0.01017271559976507,224,success,2
backbone,resnet50_imagenet,8,812.5894441542621,128,25737536,870.30908203125,16-mixed,0.01969014010101091,224,success,2
backbone,convnext_tiny,8,612.3900961782141,128,28738912,1158.53857421875,16-mixed,0.026127137097500964,224,success,2
backbone,vit_s_16,8,710.5735826939494,128,22191232,715.24658203125,16-mixed,0.02251702060093521,224,success,2
