epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/invalid_batch,train/loss,train/retained_min,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/invalid_batch,val/loss,val/retained_min,val/whitening,val_score
0,116,0.7938348650932312,5.675534725189209,31.21135139465332,0.0,89.71626281738281,40.991451263427734,0.023197591304779053,,,,,,,,,
1,233,0.741391122341156,8.850193977355957,43.944393157958984,0.0,77.28225708007812,51.61538314819336,0.0231992918998003,,,,,,,,,
2,350,0.5611141324043274,10.660862922668457,46.85390090942383,0.0,51.81401824951172,49.0,0.023045752197504044,,,,,,,,,
3,467,0.40581202507019043,12.033162117004395,48.90312576293945,0.0,30.15301513671875,44.77777862548828,0.02287035807967186,,,,,,,,,
4,584,0.3365190327167511,13.86656379699707,52.830440521240234,0.0,18.66451644897461,43.35897445678711,0.02272805944085121,,,,,,,,,
5,701,0.29050126671791077,15.900652885437012,57.32045364379883,0.0,9.842055320739746,43.487178802490234,0.022628137841820717,,,,,,,,,
6,818,0.2626394033432007,17.57585906982422,61.17898941040039,0.0,3.828782320022583,43.88888931274414,0.022595355287194252,,,,,,,,,
7,935,0.23765811324119568,19.07992935180664,64.0599594116211,0.0,-1.4490762948989868,44.0,0.022603139281272888,,,,,,,,,
8,1052,0.2175562083721161,20.186504364013672,66.19511413574219,0.0,-5.555492401123047,44.0,0.022844014689326286,,,,,,,,,
9,1169,,,,,,,,2.1349518299102783,0.22262699902057648,20.57402992248535,67.60940551757812,0.0,-5.5760297775268555,43.928001403808594,0.023622676730155945,5.5760297775268555
9,1169,0.20372691750526428,21.09610939025879,67.83041381835938,0.0,-8.562271118164062,44.0,0.02288033813238144,,,,,,,,,
10,1286,0.1929619461297989,21.699859619140625,69.50650787353516,0.0,-10.878973007202148,44.25640869140625,0.02306116558611393,,,,,,,,,
