epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
0,116,62.99004364013672,-62.99004364013672,,,,
1,233,88.62704467773438,-88.62704467773438,,,,
2,350,107.23746490478516,-107.23746490478516,,,,
3,467,117.50955963134766,-117.50955963134766,,,,
4,584,124.91449737548828,-124.91449737548828,,,,
5,701,130.42388916015625,-130.42388916015625,,,,
6,818,134.62107849121094,-134.62107849121094,,,,
7,935,139.06346130371094,-139.06346130371094,,,,
8,1052,143.27703857421875,-143.27703857421875,,,,
9,1169,,,4.833410739898682,147.31875610351562,-147.31875610351562,147.31875610351562
9,1169,147.4942626953125,-147.4942626953125,,,,
10,1286,151.3680877685547,-151.3680877685547,,,,
11,1403,155.21380615234375,-155.21380615234375,,,,
12,1520,158.181396484375,-158.181396484375,,,,
13,1637,160.71920776367188,-160.71920776367188,,,,
14,1754,162.7919464111328,-162.7919464111328,,,,
15,1871,165.25486755371094,-165.25486755371094,,,,
16,1988,166.39715576171875,-166.39715576171875,,,,
17,2105,168.23533630371094,-168.23533630371094,,,,
18,2222,169.4471893310547,-169.4471893310547,,,,
19,2339,,,4.429724216461182,169.18179321289062,-169.18179321289062,169.18179321289062
19,2339,170.53956604003906,-170.53956604003906,,,,
20,2456,171.84620666503906,-171.84620666503906,,,,
21,2573,173.11312866210938,-173.11312866210938,,,,
22,2690,173.86007690429688,-173.86007690429688,,,,
23,2807,174.58299255371094,-174.58299255371094,,,,
24,2924,175.8354034423828,-175.8354034423828,,,,
25,3041,176.5204620361328,-176.5204620361328,,,,
26,3158,176.9422149658203,-176.9422149658203,,,,
27,3275,177.44845581054688,-177.44845581054688,,,,
28,3392,178.17825317382812,-178.17825317382812,,,,
29,3509,,,4.347130298614502,175.62318420410156,-175.62318420410156,175.62318420410156
29,3509,179.28729248046875,-179.28729248046875,,,,
30,3626,179.70957946777344,-179.70957946777344,,,,
31,3743,180.37782287597656,-180.37782287597656,,,,
32,3860,180.33615112304688,-180.33615112304688,,,,
33,3977,181.2105255126953,-181.2105255126953,,,,
34,4094,181.26495361328125,-181.26495361328125,,,,
35,4211,181.71034240722656,-181.71034240722656,,,,
36,4328,182.64566040039062,-182.64566040039062,,,,
37,4445,183.02455139160156,-183.02455139160156,,,,
38,4562,183.1893310546875,-183.1893310546875,,,,
39,4679,,,4.258752822875977,180.7586669921875,-180.7586669921875,180.7586669921875
39,4679,183.5223846435547,-183.5223846435547,,,,
40,4796,183.8548126220703,-183.8548126220703,,,,
41,4913,183.87998962402344,-183.87998962402344,,,,
42,5030,184.42225646972656,-184.42225646972656,,,,
43,5147,184.9725341796875,-184.9725341796875,,,,
44,5264,185.09266662597656,-185.09266662597656,,,,
45,5381,185.28456115722656,-185.28456115722656,,,,
46,5498,185.5932159423828,-185.5932159423828,,,,
47,5615,185.65525817871094,-185.65525817871094,,,,
48,5732,186.0305938720703,-186.0305938720703,,,,
49,5849,,,4.198636054992676,182.78302001953125,-182.78302001953125,182.78302001953125
49,5849,186.22897338867188,-186.22897338867188,,,,
50,5966,186.6414337158203,-186.6414337158203,,,,
51,6083,186.93313598632812,-186.93313598632812,,,,
52,6200,187.2716064453125,-187.2716064453125,,,,
53,6317,187.29632568359375,-187.29632568359375,,,,
54,6434,187.5254669189453,-187.5254669189453,,,,
55,6551,187.9441680908203,-187.9441680908203,,,,
56,6668,187.76043701171875,-187.76043701171875,,,,
57,6785,187.80752563476562,-187.80752563476562,,,,
58,6902,188.60704040527344,-188.60704040527344,,,,
