epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,116,91.90953063964844,-91.90953063964844,,,,
1,233,130.83090209960938,-130.83090209960938,,,,
2,350,157.29461669921875,-157.29461669921875,,,,
3,467,170.28248596191406,-170.28248596191406,,,,
4,584,178.1663360595703,-178.1663360595703,,,,
5,701,184.12789916992188,-184.12789916992188,,,,
6,818,188.08493041992188,-188.08493041992188,,,,
7,935,192.17481994628906,-192.17481994628906,,,,
8,1052,195.56947326660156,-195.56947326660156,,,,
9,1169,,,5.468681812286377,195.7891082763672,-195.7891082763672,195.7891082763672
9,1169,197.9739990234375,-197.9739990234375,,,,
10,1286,201.42787170410156,-201.42787170410156,,,,
11,1403,205.24252319335938,-205.24252319335938,,,,
12,1520,208.5779571533203,-208.5779571533203,,,,
13,1637,211.8612518310547,-211.8612518310547,,,,
14,1754,215.38438415527344,-215.38438415527344,,,,
15,1871,218.61509704589844,-218.61509704589844,,,,
16,1988,220.93275451660156,-220.93275451660156,,,,
17,2105,224.63832092285156,-224.63832092285156,,,,
18,2222,227.38233947753906,-227.38233947753906,,,,
19,2339,,,4.897374629974365,228.1424560546875,-228.1424560546875,228.1424560546875
19,2339,229.6562957763672,-229.6562957763672,,,,
20,2456,232.76885986328125,-232.76885986328125,,,,
21,2573,234.9461669921875,-234.9461669921875,,,,
22,2690,235.59327697753906,-235.59327697753906,,,,
23,2807,237.79994201660156,-237.79994201660156,,,,
24,2924,240.52627563476562,-240.52627563476562,,,,
25,3041,242.25283813476562,-242.25283813476562,,,,
26,3158,243.26792907714844,-243.26792907714844,,,,
27,3275,244.45750427246094,-244.45750427246094,,,,
28,3392,245.8155975341797,-245.8155975341797,,,,
29,3509,,,4.549816608428955,243.49208068847656,-243.49208068847656,243.49208068847656
29,3509,247.66371154785156,-247.66371154785156,,,,
30,3626,248.36648559570312,-248.36648559570312,,,,
31,3743,249.89035034179688,-249.89035034179688,,,,
32,3860,250.37977600097656,-250.37977600097656,,,,
33,3977,251.2562255859375,-251.2562255859375,,,,
34,4094,251.8819580078125,-251.8819580078125,,,,
35,4211,252.83987426757812,-252.83987426757812,,,,
36,4328,254.65415954589844,-254.65415954589844,,,,
37,4445,254.5240020751953,-254.5240020751953,,,,
38,4562,255.5783233642578,-255.5783233642578,,,,
39,4679,,,4.4205474853515625,251.24420166015625,-251.24420166015625,251.24420166015625
39,4679,256.0381164550781,-256.0381164550781,,,,
40,4796,256.8483581542969,-256.8483581542969,,,,
41,4913,257.76092529296875,-257.76092529296875,,,,
42,5030,258.32440185546875,-258.32440185546875,,,,
43,5147,258.56158447265625,-258.56158447265625,,,,
44,5264,259.33233642578125,-259.33233642578125,,,,
45,5381,259.5666198730469,-259.5666198730469,,,,
46,5498,260.1117858886719,-260.1117858886719,,,,
47,5615,260.78302001953125,-260.78302001953125,,,,
48,5732,261.2220764160156,-261.2220764160156,,,,
49,5849,,,4.311314105987549,256.5909118652344,-256.5909118652344,256.5909118652344
49,5849,261.5404357910156,-261.5404357910156,,,,
50,5966,262.37554931640625,-262.37554931640625,,,,
51,6083,262.65838623046875,-262.65838623046875,,,,
52,6200,263.38116455078125,-263.38116455078125,,,,
53,6317,263.9116516113281,-263.9116516113281,,,,
54,6434,264.400634765625,-264.400634765625,,,,
55,6551,265.0281677246094,-265.0281677246094,,,,
56,6668,265.07275390625,-265.07275390625,,,,
57,6785,265.15057373046875,-265.15057373046875,,,,
58,6902,265.9416198730469,-265.9416198730469,,,,
59,7019,,,4.2576212882995605,259.46551513671875,-259.46551513671875,259.46551513671875
59,7019,265.5736083984375,-265.5736083984375,,,,
60,7136,266.3312683105469,-266.3312683105469,,,,
