run_id,dataset,channel,factor_index,factor_name,top_auc,full_top_accuracy,min_k_95pct_top,mean_top_minus_random,mean_top_minus_eigen_bottom,mean_top_minus_pca_top,mean_top_minus_unranked_first,mean_top_minus_random_rotation_first
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,0,color,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,1,shape,0.4897736220472441,0.5115,64,0.021475000000000022,0.03793750000000001,-0.002500000000000016,0.0075,0.025843750000000013
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,2,scale,0.4034251968503937,0.4365,128,0.03162499999999999,0.04824999999999999,-0.0008125000000000077,0.01199999999999999,0.03624999999999999
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,3,orientation,0.0565492125984252,0.0705,128,0.0030000000000000005,0.0015625,-0.004625000000000002,0.002749999999999999,0.005500000000000001
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,4,position_x,0.2012066929133858,0.261,128,-0.0011625000000000012,0.0029375,-0.013625,0.007125000000000003,-0.0007499999999999989
20260807-063700_dsprites-spectral-factor-probe-smoke,dsprites,default,5,position_y,0.1710787401574803,0.227,128,0.001275000000000001,-0.002875,-0.005874999999999999,0.010687500000000003,0.0060937500000000045
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,0,floor_hue,0.9151614173228346,0.9995,32,0.007275000000000011,0.055874999999999994,0.00012499999999999664,-0.009875000000000009,0.01787499999999999
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,1,wall_hue,0.9387657480314962,0.9965,64,0.012587500000000008,0.007749999999999993,-0.0072499999999999995,-0.007062499999999992,0.015687500000000004
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,2,object_hue,0.6159055118110236,0.893,128,-0.01916249999999999,-0.0408125,-0.0034375000000000065,-0.00775,-0.02059375
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,3,scale,0.2071555118110236,0.2545,128,-0.0026875000000000024,-0.007250000000000003,-0.009312499999999998,0.002937499999999999,0.00425
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,4,shape,0.39293307086614176,0.489,128,0.0005499999999999984,-0.005375000000000001,0.0006250000000000075,-0.003249999999999996,-0.00378125
20260807-063701_shapes3d-spectral-factor-probe-smoke,shapes3d,default,5,orientation,0.199001968503937,0.296,128,-0.002562499999999999,-0.0020625000000000036,-0.006187499999999997,-0.0072499999999999995,-0.0004062500000000021
20260807-063702_smallnorb-spectral-factor-probe-smoke,smallnorb,default,0,category,0.5203070866141732,0.654,128,-0.012674999999999995,-0.017937499999999995,0.006812500000000006,0.043687500000000004,-0.01578125
20260807-063702_smallnorb-spectral-factor-probe-smoke,smallnorb,default,1,instance,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
20260807-063702_smallnorb-spectral-factor-probe-smoke,smallnorb,default,2,elevation,0.33152559055118114,0.3935,128,0.001099999999999995,0.015375,0.003999999999999993,0.014125000000000002,-0.00553125000000001
20260807-063702_smallnorb-spectral-factor-probe-smoke,smallnorb,default,3,azimuth,0.10418307086614173,0.129,128,-0.00575,-0.005249999999999998,0.0009374999999999991,0.006812500000000001,-0.005749999999999999
20260807-063702_smallnorb-spectral-factor-probe-smoke,smallnorb,default,4,lighting,0.8456122047244095,0.89,64,-0.018499999999999996,-0.022999999999999993,0.001312500000000022,-0.004937499999999984,-0.023781249999999976
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,0,object_color,0.8610551181102362,0.9285,64,0.03418749999999999,0.044625,-0.01675000000000002,0.013499999999999977,0.0399375
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,1,object_shape,0.24763385826771653,0.2665,64,-0.00569999999999999,-0.007874999999999993,-0.010437499999999995,-0.010249999999999992,-0.00484374999999999
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,2,object_size,0.6949251968503938,0.731,64,-0.010337499999999986,-0.014624999999999985,-0.03356249999999997,-0.0390625,-0.01399999999999997
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,3,camera_height,0.9468267716535435,1.0,32,-0.05478750000000002,-0.07625000000000001,-0.0653125,-0.050187499999999996,-0.03703125000000001
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,4,background_color,0.9698700787401575,0.9985,32,0.044087499999999974,0.0669375,-0.0027499999999999886,0.0012500000000000011,0.002718749999999978
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,5,horizontal,0.08731496062992126,0.112,128,0.000187499999999998,0.00018749999999999973,-0.007062500000000001,-0.0013125000000000003,8.673617379884035e-19
20260807-063703_mpi3d_toy-spectral-factor-probe-smoke,mpi3d_toy,default,6,vertical,0.0987204724409449,0.166,128,-0.0015999999999999981,0.0011250000000000014,-0.0050624999999999976,0.005437500000000001,-0.0010312499999999996
