epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.7476000189781189,0.7167956829071045,0.984000027179718,0.7476000189781189
0,175,,,,0.7066666483879089,0.8402072191238403,0.9750221967697144,,,,
1,351,,,,,,,0.7494000196456909,0.716458261013031,0.9872000217437744,0.7494000196456909
1,351,,,,0.7391999959945679,0.7348663806915283,0.9843999743461609,,,,
2,527,,,,,,,0.746999979019165,0.7075532078742981,0.9850000143051147,0.746999979019165
2,527,,,,0.7465111017227173,0.7193410992622375,0.9861555695533752,,,,
3,703,,,,,,,0.7509999871253967,0.6946315765380859,0.9878000020980835,0.7509999871253967
3,703,,,,0.747511088848114,0.7090725898742676,0.9859111309051514,,,,
4,879,,,,,,,0.7692000269889832,0.6580848693847656,0.9882000088691711,0.7692000269889832
4,879,,,,0.7522000074386597,0.6973188519477844,0.9865777492523193,,,,
5,1055,,,,,,,0.746399998664856,0.7064584493637085,0.9878000020980835,0.746399998664856
5,1055,,,,0.7527333498001099,0.6994352340698242,0.9867110848426819,,,,
6,1231,,,,,,,0.7576000094413757,0.6764845252037048,0.9879999756813049,0.7576000094413757
6,1231,,,,0.7502222061157227,0.7013005614280701,0.986644446849823,,,,
7,1407,,,,,,,0.7612000107765198,0.6736781001091003,0.9883999824523926,0.7612000107765198
7,1407,,,,0.7550222277641296,0.6866706609725952,0.9880444407463074,,,,
8,1583,,,,,,,0.7653999924659729,0.6586260795593262,0.9869999885559082,0.7653999924659729
8,1583,,,,0.757111132144928,0.684738278388977,0.9871333241462708,,,,
9,1759,,,,,,,0.7688000202178955,0.651272177696228,0.9886000156402588,0.7688000202178955
9,1759,,,,0.7566888928413391,0.6861752867698669,0.9872444272041321,,,,
10,1935,,,,,,,0.7559999823570251,0.68802809715271,0.9883999824523926,0.7559999823570251
10,1935,,,,0.7606444358825684,0.6762131452560425,0.9873777627944946,,,,
11,2111,,,,,,,0.7760000228881836,0.637900710105896,0.9882000088691711,0.7760000228881836
11,2111,,,,0.762333333492279,0.674696147441864,0.9873111248016357,,,,
12,2287,,,,,,,0.7666000127792358,0.6575666666030884,0.9891999959945679,0.7666000127792358
12,2287,,,,0.7617777585983276,0.6719002723693848,0.9873555302619934,,,,
13,2463,,,,,,,0.7653999924659729,0.6635057926177979,0.9876000285148621,0.7653999924659729
13,2463,,,,0.7606444358825684,0.669008731842041,0.9882222414016724,,,,
14,2639,,,,,,,0.7716000080108643,0.650931179523468,0.9890000224113464,0.7716000080108643
14,2639,,,,0.7601110935211182,0.6745426058769226,0.988111138343811,,,,
15,2815,,,,,,,0.7648000121116638,0.6586645245552063,0.9882000088691711,0.7648000121116638
15,2815,,,,0.7649555802345276,0.6625433564186096,0.9888444542884827,,,,
16,2991,,,,,,,0.7681999802589417,0.6555350422859192,0.9873999953269958,0.7681999802589417
16,2991,,,,0.7650444507598877,0.6611969470977783,0.9883999824523926,,,,
17,3167,,,,,,,0.7666000127792358,0.6534217000007629,0.9878000020980835,0.7666000127792358
17,3167,,,,0.7650889158248901,0.6595534682273865,0.9890221953392029,,,,
18,3343,,,,,,,0.7814000248908997,0.6265662312507629,0.9886000156402588,0.7814000248908997
18,3343,,,,0.7614889144897461,0.6692119836807251,0.9886666536331177,,,,
19,3519,,,,,,,0.7527999877929688,0.6829881072044373,0.9887999892234802,0.7527999877929688
19,3519,,,,0.7648444175720215,0.6570035219192505,0.9891111254692078,,,,
20,3695,,,,,,,0.7724000215530396,0.6479653120040894,0.9878000020980835,0.7724000215530396
20,3695,,,,0.7680444717407227,0.656171977519989,0.9884222149848938,,,,
21,3871,,,,,,,0.7766000032424927,0.6346101760864258,0.9882000088691711,0.7766000032424927
21,3871,,,,0.7656000256538391,0.6561408638954163,0.9887999892234802,,,,
22,4047,,,,,,,0.7734000086784363,0.6473773717880249,0.9882000088691711,0.7734000086784363
22,4047,,,,0.7657111287117004,0.6580479145050049,0.988777756690979,,,,
23,4223,,,,,,,0.771399974822998,0.6300081014633179,0.9887999892234802,0.771399974822998
23,4223,,,,0.7678889036178589,0.6537871360778809,0.9887999892234802,,,,
24,4399,,,,,,,0.776199996471405,0.6387442946434021,0.9869999885559082,0.776199996471405
24,4399,,,,0.7700222134590149,0.6461893320083618,0.9889333248138428,,,,
25,4575,,,,,,,0.7721999883651733,0.6431151032447815,0.9872000217437744,0.7721999883651733
25,4575,,,,0.7673333287239075,0.6522470712661743,0.9895777702331543,,,,
26,4751,,,,,,,0.7657999992370605,0.6527659296989441,0.9864000082015991,0.7657999992370605
26,4751,,,,0.7683555483818054,0.6516177654266357,0.9890221953392029,,,,
27,4927,,,,,,,0.7580000162124634,0.6808925271034241,0.9883999824523926,0.7580000162124634
27,4927,,,,0.7699999809265137,0.6453328728675842,0.9894888997077942,,,,
28,5103,,,,,,,0.7739999890327454,0.6348373293876648,0.9883999824523926,0.7739999890327454
28,5103,,,,0.769599974155426,0.6400838494300842,0.9892444610595703,,,,
29,5279,,,,,,,0.7838000059127808,0.6128551363945007,0.9887999892234802,0.7838000059127808
