epoch,step,train/base_loss,train/closure_ratio,train/edge_trace_sum,train/loss,train/whitening,val/base_loss,val/closure_ratio,val/edge_trace_sum,val/loss,val/whitening,val_score
0,174,22.09844970703125,1.4383894205093384,49.86476516723633,196.26248168945312,0.023189684376120567,,,,,,
1,349,22.013051986694336,1.6292566061019897,41.40192413330078,222.30088806152344,0.023326966911554337,,,,,,
2,524,22.039016723632812,1.7073673009872437,36.51315689086914,233.3026580810547,0.023363254964351654,,,,,,
3,699,22.014741897583008,1.6488019227981567,34.12417221069336,226.2599334716797,0.02336912229657173,,,,,,
4,874,21.961803436279297,1.454350471496582,32.37574768066406,201.6669464111328,0.02336251735687256,,,,,,
5,1049,21.864315032958984,1.0210518836975098,26.839252471923828,147.2144317626953,0.023321393877267838,,,,,,
6,1224,21.61135482788086,0.42899540066719055,16.162818908691406,73.31402587890625,0.023841550573706627,,,,,,
7,1399,21.005294799804688,0.2308255285024643,12.259560585021973,48.12413024902344,0.025083905085921288,,,,,,
8,1574,20.558753967285156,0.1575218141078949,11.329545974731445,38.4797477722168,0.02411036379635334,,,,,,
9,1749,,,,,,20.27931022644043,0.11915693432092667,11.137468338012695,33.327781677246094,0.023875627666711807,-33.327781677246094
9,1749,20.321533203125,0.12287192046642303,11.077869415283203,33.857261657714844,0.023702820762991905,,,,,,
10,1924,20.1258544921875,0.10355982929468155,11.211284637451172,31.16628646850586,0.027030277997255325,,,,,,
11,2099,19.99775505065918,0.09171043336391449,11.328011512756348,29.498090744018555,0.027003807947039604,,,,,,
12,2274,19.917770385742188,0.0807923674583435,11.300206184387207,28.02777671813965,0.02861803025007248,,,,,,
13,2449,19.86060905456543,0.0747888907790184,11.26359748840332,27.210588455200195,0.029708104208111763,,,,,,
14,2624,19.767980575561523,0.06779665499925613,11.332499504089355,26.21283531188965,0.03337898105382919,,,,,,
15,2799,19.706146240234375,0.06452713161706924,11.403233528137207,25.72044563293457,0.035468414425849915,,,,,,
16,2974,19.6439151763916,0.05967855080962181,11.432458877563477,25.034955978393555,0.03867553547024727,,,,,,
17,3149,19.579265594482422,0.05707015469670296,11.521642684936523,24.622249603271484,0.042320385575294495,,,,,,
18,3324,19.546283721923828,0.05528927221894264,11.629158973693848,24.34560203552246,0.048127807676792145,,,,,,
19,3499,,,,,,19.47945213317871,0.06175711750984192,11.760038375854492,25.095314025878906,0.06295913457870483,-25.095314025878906
19,3499,19.48921775817871,0.05277584493160248,11.796728134155273,23.93293571472168,0.04774694889783859,,,,,,
20,3674,19.400836944580078,0.05081426724791527,11.905664443969727,23.579740524291992,0.05580645427107811,,,,,,
21,3849,19.322906494140625,0.049984049052000046,12.171314239501953,23.342182159423828,0.055578917264938354,,,,,,
22,4024,19.268136978149414,0.04717395082116127,12.289292335510254,22.898225784301758,0.04967467114329338,,,,,,
23,4199,19.191835403442383,0.046097081154584885,12.402621269226074,22.668106079101562,0.056378643959760666,,,,,,
24,4374,19.147762298583984,0.04397114738821983,12.498661994934082,22.33328628540039,0.056952301412820816,,,,,,
25,4549,19.077484130859375,0.0426788255572319,12.7141695022583,22.05712127685547,0.05957568436861038,,,,,,
26,4724,19.031700134277344,0.04231463745236397,12.814109802246094,21.94586181640625,0.06070932745933533,,,,,,
27,4899,18.998184204101562,0.040688492357730865,12.915397644042969,21.683902740478516,0.060672562569379807,,,,,,
28,5074,18.935073852539062,0.040179379284381866,13.173821449279785,21.50589370727539,0.06263180077075958,,,,,,
29,5249,,,,,,18.920204162597656,0.04854899272322655,13.57832145690918,22.479103088378906,0.060290947556495667,-22.479103088378906
