epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
58,21888,287.3009948730469,-287.3009948730469,,,,
59,22259,,,4.216152191162109,278.7171325683594,-278.7171325683594,278.7171325683594
59,22259,287.7031555175781,-287.7031555175781,,,,
60,22630,287.92694091796875,-287.92694091796875,,,,
61,23001,288.20233154296875,-288.20233154296875,,,,
62,23372,288.7169494628906,-288.7169494628906,,,,
63,23743,288.88787841796875,-288.88787841796875,,,,
64,24114,289.1356506347656,-289.1356506347656,,,,
65,24485,289.1450500488281,-289.1450500488281,,,,
66,24856,289.77545166015625,-289.77545166015625,,,,
67,25227,289.9162902832031,-289.9162902832031,,,,
68,25598,290.3599853515625,-290.3599853515625,,,,
69,25969,,,4.156914710998535,282.1160888671875,-282.1160888671875,282.1160888671875
69,25969,290.5873718261719,-290.5873718261719,,,,
70,26340,290.7787170410156,-290.7787170410156,,,,
71,26711,291.0383605957031,-291.0383605957031,,,,
72,27082,291.2476501464844,-291.2476501464844,,,,
73,27453,291.5267639160156,-291.5267639160156,,,,
74,27824,291.8059387207031,-291.8059387207031,,,,
75,28195,292.0063171386719,-292.0063171386719,,,,
76,28566,292.1654357910156,-292.1654357910156,,,,
77,28937,292.5555114746094,-292.5555114746094,,,,
78,29308,292.76470947265625,-292.76470947265625,,,,
79,29679,,,4.137383460998535,283.7103576660156,-283.7103576660156,283.7103576660156
79,29679,292.789794921875,-292.789794921875,,,,
80,30050,293.18212890625,-293.18212890625,,,,
81,30421,293.2519836425781,-293.2519836425781,,,,
82,30792,293.614501953125,-293.614501953125,,,,
83,31163,293.8818359375,-293.8818359375,,,,
84,31534,294.0157775878906,-294.0157775878906,,,,
85,31905,294.25640869140625,-294.25640869140625,,,,
86,32276,294.2848815917969,-294.2848815917969,,,,
87,32647,294.441162109375,-294.441162109375,,,,
88,33018,294.5461730957031,-294.5461730957031,,,,
89,33389,,,4.099637031555176,285.0304870605469,-285.0304870605469,285.0304870605469
89,33389,294.6971740722656,-294.6971740722656,,,,
90,33760,294.8516540527344,-294.8516540527344,,,,
91,34131,294.9670715332031,-294.9670715332031,,,,
92,34502,295.0379638671875,-295.0379638671875,,,,
93,34873,295.2703857421875,-295.2703857421875,,,,
94,35244,295.434326171875,-295.434326171875,,,,
95,35615,295.283935546875,-295.283935546875,,,,
96,35986,295.1850280761719,-295.1850280761719,,,,
97,36357,295.2922058105469,-295.2922058105469,,,,
98,36728,295.309326171875,-295.309326171875,,,,
99,37099,,,4.088680744171143,285.9127197265625,-285.9127197265625,285.9127197265625
99,37099,295.30706787109375,-295.30706787109375,,,,
