epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.8384000062942505,0.8326429724693298,0.9905999898910522,0.8384000062942505
0,175,,,,0.7904666662216187,1.3714159727096558,0.971311092376709,,,,
1,351,,,,,,,0.8456000089645386,0.6107829809188843,0.9896000027656555,0.8456000089645386
1,351,,,,0.8428444266319275,0.6891899108886719,0.9918000102043152,,,,
2,527,,,,,,,0.850600004196167,0.5367732644081116,0.9905999898910522,0.850600004196167
2,527,,,,0.8494889140129089,0.5623854398727417,0.9915111064910889,,,,
3,703,,,,,,,0.8507999777793884,0.49955272674560547,0.9909999966621399,0.8507999777793884
3,703,,,,0.8539111018180847,0.5091745853424072,0.9920444488525391,,,,
4,879,,,,,,,0.8546000123023987,0.4763556718826294,0.9905999898910522,0.8546000123023987
4,879,,,,0.857022225856781,0.4812954068183899,0.9921777844429016,,,,
5,1055,,,,,,,0.8596000075340271,0.46052876114845276,0.9904000163078308,0.8596000075340271
5,1055,,,,0.8567777872085571,0.4639003574848175,0.9925333261489868,,,,
6,1231,,,,,,,0.8618000149726868,0.4489127993583679,0.9909999966621399,0.8618000149726868
6,1231,,,,0.8592888712882996,0.44834041595458984,0.9930222034454346,,,,
7,1407,,,,,,,0.86080002784729,0.439756840467453,0.9911999702453613,0.86080002784729
7,1407,,,,0.86080002784729,0.44007179141044617,0.9931333065032959,,,,
8,1583,,,,,,,0.8646000027656555,0.432919979095459,0.9905999898910522,0.8646000027656555
8,1583,,,,0.8613777756690979,0.43206924200057983,0.9929777979850769,,,,
9,1759,,,,,,,0.8661999702453613,0.4269162118434906,0.9914000034332275,0.8661999702453613
9,1759,,,,0.8632000088691711,0.42612627148628235,0.9929333329200745,,,,
10,1935,,,,,,,0.8664000034332275,0.42173945903778076,0.9909999966621399,0.8664000034332275
10,1935,,,,0.8644888997077942,0.4183986485004425,0.9932666420936584,,,,
11,2111,,,,,,,0.8682000041007996,0.41752201318740845,0.9914000034332275,0.8682000041007996
11,2111,,,,0.8650444149971008,0.41471025347709656,0.9932888746261597,,,,
12,2287,,,,,,,0.8690000176429749,0.41412362456321716,0.9919999837875366,0.8690000176429749
12,2287,,,,0.8642666935920715,0.413043737411499,0.9932222366333008,,,,
13,2463,,,,,,,0.8695999979972839,0.4107539653778076,0.991599977016449,0.8695999979972839
13,2463,,,,0.8653555512428284,0.4097216725349426,0.993066668510437,,,,
14,2639,,,,,,,0.8687999844551086,0.4081214368343353,0.9919999837875366,0.8687999844551086
14,2639,,,,0.8652889132499695,0.4068072438240051,0.9937111139297485,,,,
15,2815,,,,,,,0.870199978351593,0.40528279542922974,0.9922000169754028,0.870199978351593
15,2815,,,,0.8663555383682251,0.40470629930496216,0.9935111403465271,,,,
16,2991,,,,,,,0.8691999912261963,0.4035279154777527,0.9918000102043152,0.8691999912261963
16,2991,,,,0.8665333390235901,0.4026123285293579,0.9934666752815247,,,,
17,3167,,,,,,,0.8708000183105469,0.40097206830978394,0.9919999837875366,0.8708000183105469
