epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
0,174,65.47749328613281,-65.47749328613281,,,,
1,349,94.3050308227539,-94.3050308227539,,,,
2,524,112.89373779296875,-112.89373779296875,,,,
3,699,123.64965057373047,-123.64965057373047,,,,
4,874,130.70260620117188,-130.70260620117188,,,,
5,1049,136.35890197753906,-136.35890197753906,,,,
6,1224,141.7254180908203,-141.7254180908203,,,,
7,1399,146.57485961914062,-146.57485961914062,,,,
8,1574,151.50570678710938,-151.50570678710938,,,,
9,1749,,,4.683170318603516,155.2382354736328,-155.2382354736328,155.2382354736328
9,1749,155.66957092285156,-155.66957092285156,,,,
10,1924,159.15243530273438,-159.15243530273438,,,,
11,2099,162.65830993652344,-162.65830993652344,,,,
12,2274,165.6996612548828,-165.6996612548828,,,,
13,2449,167.6961669921875,-167.6961669921875,,,,
14,2624,169.86380004882812,-169.86380004882812,,,,
15,2799,171.2293243408203,-171.2293243408203,,,,
16,2974,173.33628845214844,-173.33628845214844,,,,
17,3149,174.4628448486328,-174.4628448486328,,,,
18,3324,175.87667846679688,-175.87667846679688,,,,
19,3499,,,4.353307247161865,175.62985229492188,-175.62985229492188,175.62985229492188
19,3499,176.89649963378906,-176.89649963378906,,,,
20,3674,177.97413635253906,-177.97413635253906,,,,
21,3849,179.0002899169922,-179.0002899169922,,,,
22,4024,179.55055236816406,-179.55055236816406,,,,
23,4199,180.43617248535156,-180.43617248535156,,,,
24,4374,181.35191345214844,-181.35191345214844,,,,
25,4549,181.85964965820312,-181.85964965820312,,,,
26,4724,182.49661254882812,-182.49661254882812,,,,
27,4899,182.99716186523438,-182.99716186523438,,,,
28,5074,183.45213317871094,-183.45213317871094,,,,
29,5249,,,4.295685768127441,182.04017639160156,-182.04017639160156,182.04017639160156
29,5249,183.96902465820312,-183.96902465820312,,,,
30,5424,184.31881713867188,-184.31881713867188,,,,
31,5599,184.93975830078125,-184.93975830078125,,,,
32,5774,185.34474182128906,-185.34474182128906,,,,
33,5949,185.38734436035156,-185.38734436035156,,,,
34,6124,186.05108642578125,-186.05108642578125,,,,
35,6299,186.43067932128906,-186.43067932128906,,,,
36,6474,186.81532287597656,-186.81532287597656,,,,
37,6649,186.93630981445312,-186.93630981445312,,,,
38,6824,187.66915893554688,-187.66915893554688,,,,
39,6999,,,4.203986167907715,184.9327850341797,-184.9327850341797,184.9327850341797
39,6999,187.70497131347656,-187.70497131347656,,,,
40,7174,188.00575256347656,-188.00575256347656,,,,
41,7349,188.26132202148438,-188.26132202148438,,,,
42,7524,188.92039489746094,-188.92039489746094,,,,
43,7699,189.3246612548828,-189.3246612548828,,,,
44,7874,189.27049255371094,-189.27049255371094,,,,
45,8049,189.1867218017578,-189.1867218017578,,,,
46,8224,189.83251953125,-189.83251953125,,,,
47,8399,189.9497528076172,-189.9497528076172,,,,
48,8574,189.987548828125,-189.987548828125,,,,
49,8749,,,4.148563861846924,187.97203063964844,-187.97203063964844,187.97203063964844
49,8749,190.3813018798828,-190.3813018798828,,,,
50,8924,190.5477752685547,-190.5477752685547,,,,
51,9099,191.02127075195312,-191.02127075195312,,,,
52,9274,191.2476348876953,-191.2476348876953,,,,
53,9449,191.25930786132812,-191.25930786132812,,,,
54,9624,191.4581298828125,-191.4581298828125,,,,
55,9799,191.52769470214844,-191.52769470214844,,,,
56,9974,192.11753845214844,-192.11753845214844,,,,
57,10149,192.10025024414062,-192.10025024414062,,,,
58,10324,192.130126953125,-192.130126953125,,,,
59,10499,,,4.1265740394592285,189.03330993652344,-189.03330993652344,189.03330993652344
59,10499,192.0846710205078,-192.0846710205078,,,,
60,10674,192.60598754882812,-192.60598754882812,,,,
61,10849,192.77931213378906,-192.77931213378906,,,,
62,11024,193.0126495361328,-193.0126495361328,,,,
63,11199,193.0244598388672,-193.0244598388672,,,,
64,11374,193.26364135742188,-193.26364135742188,,,,
65,11549,193.34982299804688,-193.34982299804688,,,,
66,11724,193.6672821044922,-193.6672821044922,,,,
67,11899,193.69711303710938,-193.69711303710938,,,,
68,12074,193.6142578125,-193.6142578125,,,,
69,12249,,,4.095270156860352,190.20883178710938,-190.20883178710938,190.20883178710938
69,12249,193.92376708984375,-193.92376708984375,,,,
70,12424,194.01422119140625,-194.01422119140625,,,,
71,12599,193.94862365722656,-193.94862365722656,,,,
72,12774,194.4104461669922,-194.4104461669922,,,,
73,12949,194.32571411132812,-194.32571411132812,,,,
74,13124,194.6006622314453,-194.6006622314453,,,,
75,13299,194.75564575195312,-194.75564575195312,,,,
76,13474,194.76243591308594,-194.76243591308594,,,,
77,13649,194.9442901611328,-194.9442901611328,,,,
78,13824,195.02272033691406,-195.02272033691406,,,,
79,13999,,,4.077096939086914,191.1420440673828,-191.1420440673828,191.1420440673828
79,13999,195.4447479248047,-195.4447479248047,,,,
80,14174,195.35484313964844,-195.35484313964844,,,,
81,14349,195.3817901611328,-195.3817901611328,,,,
82,14524,195.39772033691406,-195.39772033691406,,,,
83,14699,195.594482421875,-195.594482421875,,,,
84,14874,195.6919708251953,-195.6919708251953,,,,
85,15049,195.88815307617188,-195.88815307617188,,,,
86,15224,196.18185424804688,-196.18185424804688,,,,
87,15399,196.02783203125,-196.02783203125,,,,
88,15574,196.3148193359375,-196.3148193359375,,,,
89,15749,,,4.068674564361572,192.35025024414062,-192.35025024414062,192.35025024414062
89,15749,196.28192138671875,-196.28192138671875,,,,
90,15924,196.46923828125,-196.46923828125,,,,
91,16099,196.667724609375,-196.667724609375,,,,
92,16274,196.73446655273438,-196.73446655273438,,,,
93,16449,196.65011596679688,-196.65011596679688,,,,
94,16624,196.97018432617188,-196.97018432617188,,,,
95,16799,197.1433868408203,-197.1433868408203,,,,
96,16974,197.4091339111328,-197.4091339111328,,,,
97,17149,197.14796447753906,-197.14796447753906,,,,
98,17324,197.2706756591797,-197.2706756591797,,,,
99,17499,,,4.0534586906433105,193.06387329101562,-193.06387329101562,193.06387329101562
99,17499,197.27935791015625,-197.27935791015625,,,,
100,17674,197.4403533935547,-197.4403533935547,,,,
101,17849,197.62832641601562,-197.62832641601562,,,,
102,18024,197.9080352783203,-197.9080352783203,,,,
103,18199,197.72628784179688,-197.72628784179688,,,,
104,18374,197.9187774658203,-197.9187774658203,,,,
105,18549,198.10275268554688,-198.10275268554688,,,,
106,18724,198.3055419921875,-198.3055419921875,,,,
107,18899,198.41648864746094,-198.41648864746094,,,,
108,19074,198.33592224121094,-198.33592224121094,,,,
109,19249,,,3.9928507804870605,194.20518493652344,-194.20518493652344,194.20518493652344
109,19249,198.4982147216797,-198.4982147216797,,,,
110,19424,198.42056274414062,-198.42056274414062,,,,
111,19599,198.6748504638672,-198.6748504638672,,,,
112,19774,198.748779296875,-198.748779296875,,,,
113,19949,198.88731384277344,-198.88731384277344,,,,
114,20124,198.84588623046875,-198.84588623046875,,,,
115,20299,199.11521911621094,-199.11521911621094,,,,
116,20474,199.1062774658203,-199.1062774658203,,,,
117,20649,199.22906494140625,-199.22906494140625,,,,
118,20824,199.53921508789062,-199.53921508789062,,,,
119,20999,,,3.976292133331299,194.8311309814453,-194.8311309814453,194.8311309814453
119,20999,199.53395080566406,-199.53395080566406,,,,
120,21174,199.34022521972656,-199.34022521972656,,,,
121,21349,199.75840759277344,-199.75840759277344,,,,
122,21524,199.69009399414062,-199.69009399414062,,,,
123,21699,199.67747497558594,-199.67747497558594,,,,
124,21874,199.85137939453125,-199.85137939453125,,,,
125,22049,200.07943725585938,-200.07943725585938,,,,
126,22224,199.8524932861328,-199.8524932861328,,,,
127,22399,200.08839416503906,-200.08839416503906,,,,
128,22574,200.18406677246094,-200.18406677246094,,,,
129,22749,,,3.947643756866455,195.32435607910156,-195.32435607910156,195.32435607910156
129,22749,200.2666015625,-200.2666015625,,,,
130,22924,200.61056518554688,-200.61056518554688,,,,
131,23099,200.6991729736328,-200.6991729736328,,,,
132,23274,200.4752197265625,-200.4752197265625,,,,
133,23449,200.82846069335938,-200.82846069335938,,,,
134,23624,200.76219177246094,-200.76219177246094,,,,
135,23799,200.8939971923828,-200.8939971923828,,,,
136,23974,200.92152404785156,-200.92152404785156,,,,
137,24149,200.9706268310547,-200.9706268310547,,,,
138,24324,200.88575744628906,-200.88575744628906,,,,
139,24499,,,3.9397313594818115,196.31350708007812,-196.31350708007812,196.31350708007812
139,24499,201.4034881591797,-201.4034881591797,,,,
140,24674,201.1415252685547,-201.1415252685547,,,,
141,24849,201.3673858642578,-201.3673858642578,,,,
142,25024,201.45755004882812,-201.45755004882812,,,,
143,25199,201.53207397460938,-201.53207397460938,,,,
144,25374,201.679931640625,-201.679931640625,,,,
145,25549,201.75323486328125,-201.75323486328125,,,,
146,25724,201.70721435546875,-201.70721435546875,,,,
147,25899,201.89035034179688,-201.89035034179688,,,,
148,26074,201.9413604736328,-201.9413604736328,,,,
149,26249,,,3.919644832611084,196.4563446044922,-196.4563446044922,196.4563446044922
149,26249,202.2080078125,-202.2080078125,,,,
