root,unit,variant,seed,status,dataset,images_optimized,max_epochs,chain_normalization,estimator_field,auxiliary_multiview_term,auxiliary_gram_detached,matrix_target,train_start,train_commit,resume_versions,sgd_probe,profile
gate1_20260910_paper_probe,paper_composition__seed1,paper_composition,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-10 21:50,e2c6b07,1,82.83,layerwise_profile.json
gate1_20260910_paper_v1,paper_T2__seed1,paper_T2,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 06:33,97499e8,1,69.83,layerwise_profile.json
gate1_20260910_paper_v1,paper_T2__seed2,paper_T2,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 06:57,97499e8,1,69.4,layerwise_profile.json
gate1_20260910_paper_v1,paper_T2__seed3,paper_T2,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 07:15,97499e8,3,67.56,layerwise_profile.json
gate1_20260910_paper_v1,paper_alpha0__seed1,paper_alpha0,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 03:43,97499e8,1,78.96,layerwise_profile.json
gate1_20260910_paper_v1,paper_alpha0__seed2,paper_alpha0,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 03:57,97499e8,1,79.17,layerwise_profile.json
gate1_20260910_paper_v1,paper_alpha0__seed3,paper_alpha0,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,truncated whiteners on pair-specific Grams (02fa55e and later),yes (gram_detach_metric default True),"direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 06:16,97499e8,2,78.87,layerwise_profile.json
gate1_20260910_paper_v1,paper_beta0__seed1,paper_beta0,1,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 01:50,dcfbd3f,1,82.14,layerwise_profile.json
gate1_20260910_paper_v1,paper_beta0__seed2,paper_beta0,2,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 01:50,dcfbd3f,1,82.08,layerwise_profile.json
gate1_20260910_paper_v1,paper_beta0__seed3,paper_beta0,3,complete,cifar10,30000,200,"truncated inverse roots, tau 0.001",,ridge-1e-3 trace score on mean of views (pre-02fa55e),"no (ridge trace score; gradients through R_f, R_g, P_fg)","direct endpoint operator in gradient, no EMA, no stop-grad (paper_ arms assert this)",2026-09-11 01:50,dcfbd3f,1,82.7,layerwise_profile.json
