dataset,method,objective,images_optimized,epochs,backbone,feature_layer,projection,evaluator,accuracy_fraction,accuracy_percent,model_id,train_code_commit,eval_code,seed,group_n,group_mean_pct,group_sd_pct,group_min_pct,group_max_pct,note
cifar10,"FMCA-AV hierarchical (ridge, product_endpoint)","hierarchical FMCA-AV: adjacent-stage traces alpha=0.2, composition beta=128, covariance gamma=1, final-stage multiview 1; ridge 1e-3; EMA endpoint target 0.99",45000,200,CIFAR ResNet-18 (width 64),"layer1 (Stage 1, pooled after stage)","128-d heads, one 512 GELU hidden layer, per level","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.5999999642372131,60.0,results/gate1/gate1_20260914_ridge_ms/units/product_endpoint__seed1/checkpoints/last.ckpt,99b904d,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),1,8,58.13,1.03,57.23,60.0,"group = archived v8 seeds 1-5 + 14-Sep milestone replication seeds 1-3; replication seeds 2,3 are same-GPU-family near-replicas of v8 seeds 2,3 (max |dw| < 1e-2)"
cifar10,"FMCA-AV hierarchical (ridge, product_endpoint)","hierarchical FMCA-AV: adjacent-stage traces alpha=0.2, composition beta=128, covariance gamma=1, final-stage multiview 1; ridge 1e-3; EMA endpoint target 0.99",45000,200,CIFAR ResNet-18 (width 64),"layer2 (Stage 2, pooled after stage)","128-d heads, one 512 GELU hidden layer, per level","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.8089999556541443,80.9,results/gate1/gate1_20260914_ridge_ms/units/product_endpoint__seed1/checkpoints/last.ckpt,99b904d,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),1,8,79.24,1.29,77.72,80.9,"group = archived v8 seeds 1-5 + 14-Sep milestone replication seeds 1-3; replication seeds 2,3 are same-GPU-family near-replicas of v8 seeds 2,3 (max |dw| < 1e-2)"
cifar10,"FMCA-AV hierarchical (ridge, product_endpoint)","hierarchical FMCA-AV: adjacent-stage traces alpha=0.2, composition beta=128, covariance gamma=1, final-stage multiview 1; ridge 1e-3; EMA endpoint target 0.99",45000,200,CIFAR ResNet-18 (width 64),"layer3 (Stage 3, pooled after stage)","128-d heads, one 512 GELU hidden layer, per level","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.8560999631881714,85.61,results/gate1/gate1_20260820_v8/units/product_endpoint__seed2/checkpoints/last.ckpt,63071af,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),2,8,85.08,0.65,83.96,85.61,"group = archived v8 seeds 1-5 + 14-Sep milestone replication seeds 1-3; replication seeds 2,3 are same-GPU-family near-replicas of v8 seeds 2,3 (max |dw| < 1e-2)"
cifar10,"FMCA-AV hierarchical (ridge, product_endpoint)","hierarchical FMCA-AV: adjacent-stage traces alpha=0.2, composition beta=128, covariance gamma=1, final-stage multiview 1; ridge 1e-3; EMA endpoint target 0.99",45000,200,CIFAR ResNet-18 (width 64),"layer4 (Stage 4, pooled after stage)","128-d heads, one 512 GELU hidden layer, per level","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.8557999730110168,85.58,results/gate1/gate1_20260820_v8/units/product_endpoint__seed1/checkpoints/last.ckpt,1c747ea,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),1,8,84.96,0.78,83.65,85.58,"group = archived v8 seeds 1-5 + 14-Sep milestone replication seeds 1-3; replication seeds 2,3 are same-GPU-family near-replicas of v8 seeds 2,3 (max |dw| < 1e-2)"
cifar10,"FMCA-AV final-level multiview (ridge, final_mview)","final-stage multiview trace objective only (alpha=0, beta=0 by variant); ridge 1e-3",45000,200,CIFAR ResNet-18 (width 64),"layer1 (Stage 1, pooled after stage)","128-d head, one 512 GELU hidden layer","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.5622999668121338,56.23,results/gate1/gate1_20260820_v8/units/final_mview__seed2/checkpoints/last.ckpt,77a3a7b,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),2,5,55.91,0.21,55.68,56.23,separate method row; different objective
cifar10,"FMCA-AV final-level multiview (ridge, final_mview)","final-stage multiview trace objective only (alpha=0, beta=0 by variant); ridge 1e-3",45000,200,CIFAR ResNet-18 (width 64),"layer2 (Stage 2, pooled after stage)","128-d head, one 512 GELU hidden layer","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.6904000043869019,69.04,results/gate1/gate1_20260820_v8/units/final_mview__seed5/checkpoints/last.ckpt,4bacc5a,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),5,5,68.56,0.33,68.16,69.04,separate method row; different objective
cifar10,"FMCA-AV final-level multiview (ridge, final_mview)","final-stage multiview trace objective only (alpha=0, beta=0 by variant); ridge 1e-3",45000,200,CIFAR ResNet-18 (width 64),"layer3 (Stage 3, pooled after stage)","128-d head, one 512 GELU hidden layer","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.849299967288971,84.93,results/gate1/gate1_20260820_v8/units/final_mview__seed3/checkpoints/last.ckpt,77a3a7b,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),3,5,84.78,0.14,84.62,84.93,separate method row; different objective
cifar10,"FMCA-AV final-level multiview (ridge, final_mview)","final-stage multiview trace objective only (alpha=0, beta=0 by variant); ridge 1e-3",45000,200,CIFAR ResNet-18 (width 64),"layer4 (Stage 4, pooled after stage)","128-d head, one 512 GELU hidden layer","stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; layerwise_profile_20260823_v1",0.8889999985694885,88.9,results/gate1/gate1_20260820_v8/units/final_mview__seed3/checkpoints/last.ckpt,77a3a7b,convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),3,5,88.78,0.09,88.64,88.9,separate method row; different objective
cifar10,SimCLR (lr 0.1),"NT-Xent, temperature 0.5",45000,200,CIFAR ResNet-18,"layer1 (Stage 1, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.5532000064849854,55.32,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_simclr_lr0.1_seed2/checkpoints/epoch-0200.ckpt,"e537490 (seed1) / 9f4580c (seeds 2,3)",convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 2 (config seed 20260850),3,55.1,0.29,54.77,55.32,
cifar10,SimCLR (lr 0.1),"NT-Xent, temperature 0.5",45000,200,CIFAR ResNet-18,"layer2 (Stage 2, pooled after stage)",2048 hidden BN -> 128,"stagewise standardized multinomial logistic regression, LBFGS<=200, wd 1e-4, fit on 50000 train, scored on 10000 test; baseline_layerwise_v1",0.684499979019165,68.45,/projects/EEG-foundation-model/yinghao/FMCA-AV/experiment_runs/sslreflr_simclr_lr0.1_seed3/checkpoints/epoch-0200.ckpt,"e537490 (seed1) / 9f4580c (seeds 2,3)",convex_probe md5 fc9e0f8b16a10876c67b4882a5f159eb (unchanged 8637c7e..ae02ffe),replicate 3 (config seed 20260850),3,67.94,0.5,67.45,68.45,
