run_id,name,dataset,views,architecture,aggregation,best_validation_score,parameters,duration_seconds
20260807-062701_e4-cifar10-first-m2-seed1,e4-cifar10-first-m2-seed1,cifar10,2,,first,78.04097747802734,11825472,234.0
20260807-062702_e4-cifar10-first-m2-seed2,e4-cifar10-first-m2-seed2,cifar10,2,,first,77.696044921875,11825472,239.0
20260807-062703_e4-cifar10-first-m2-seed3,e4-cifar10-first-m2-seed3,cifar10,2,,first,77.0826416015625,11825472,229.0
20260807-063206_e4-cifar10-mean-m2-seed1,e4-cifar10-mean-m2-seed1,cifar10,2,,mean,79.52075958251953,11825472,236.0
20260807-063206_e4-cifar10-mean-m2-seed2,e4-cifar10-mean-m2-seed2,cifar10,2,,mean,80.0395736694336,11825472,236.0
20260807-065245_e4-cifar10-mean-m2-seed3,e4-cifar10-mean-m2-seed3,cifar10,2,,mean,79.50872039794922,11825472,222.0
20260807-071324_e4-cifar10-deepsets-m2-seed1,e4-cifar10-deepsets-m2-seed1,cifar10,2,,deepsets,68.20695495605469,12350784,228.0
20260807-071827_e4-cifar10-deepsets-m2-seed2,e4-cifar10-deepsets-m2-seed2,cifar10,2,,deepsets,71.30177307128906,12350784,240.0
20260807-071828_e4-cifar10-deepsets-m2-seed3,e4-cifar10-deepsets-m2-seed3,cifar10,2,,deepsets,73.52725982666016,12350784,237.0
20260807-071829_e4-cifar10-concat-m2-seed1,e4-cifar10-concat-m2-seed1,cifar10,2,,concat,77.02154541015625,12087616,226.0
20260807-071830_e4-cifar10-concat-m2-seed2,e4-cifar10-concat-m2-seed2,cifar10,2,,concat,76.74142456054688,12087616,229.0
20260807-072332_e4-cifar10-concat-m2-seed3,e4-cifar10-concat-m2-seed3,cifar10,2,,concat,75.7780990600586,12087616,235.0
20260807-072333_e4-cifar10-first-m8-seed1,e4-cifar10-first-m8-seed1,cifar10,8,,first,65.41988372802734,11825472,715.0
20260807-072334_e4-cifar10-first-m8-seed2,e4-cifar10-first-m8-seed2,cifar10,8,,first,65.47242736816406,11825472,692.0
20260807-072335_e4-cifar10-first-m8-seed3,e4-cifar10-first-m8-seed3,cifar10,8,,first,65.86681365966797,11825472,698.0
20260807-073842_e4-cifar10-mean-m8-seed1,e4-cifar10-mean-m8-seed1,cifar10,8,,mean,69.88390350341797,11825472,709.0
20260807-080349_e4-cifar10-mean-m8-seed2,e4-cifar10-mean-m8-seed2,cifar10,8,,mean,69.27701568603516,11825472,709.0
20260807-080350_e4-cifar10-mean-m8-seed3,e4-cifar10-mean-m8-seed3,cifar10,8,,mean,69.84837341308594,11825472,696.0
20260807-091355_e4-cifar10-deepsets-m8-seed1,e4-cifar10-deepsets-m8-seed1,cifar10,8,,deepsets,64.39942169189453,12350784,709.0
20260807-102900_e4-cifar10-deepsets-m8-seed2,e4-cifar10-deepsets-m8-seed2,cifar10,8,,deepsets,62.996212005615234,12350784,675.0
20260807-105903_e4-cifar10-deepsets-m8-seed3,e4-cifar10-deepsets-m8-seed3,cifar10,8,,deepsets,62.90291976928711,12350784,680.0
20260807-121409_e4-cifar10-concat-m8-seed1,e4-cifar10-concat-m8-seed1,cifar10,8,,concat,63.6234130859375,13660480,671.0
20260807-121409_e4-cifar10-concat-m8-seed2,e4-cifar10-concat-m8-seed2,cifar10,8,,concat,64.82655334472656,13660480,681.0
20260807-121409_e4-cifar10-concat-m8-seed3,e4-cifar10-concat-m8-seed3,cifar10,8,,concat,64.63790893554688,13660480,673.0
20260807-122910_e4-cifar10-separate_heads-m8,e4-cifar10-separate_heads-m8,cifar10,8,,mean,68.05614471435547,11825472,675.0
20260807-122911_e4-cifar10-shared_head-m8,e4-cifar10-shared_head-m8,cifar10,8,,mean,69.54669189453125,11497152,675.0
20260807-122911_e4-cifar10-stop_f-m8,e4-cifar10-stop_f-m8,cifar10,8,,mean,56.30126953125,11825472,675.0
20260807-124412_e4-cifar10-parent_from_g-m8,e4-cifar10-parent_from_g-m8,cifar10,8,,mean,63.3031005859375,11628864,673.0
20260807-124412_e4-cifar10-stop_g-m8,e4-cifar10-stop_g-m8,cifar10,8,,mean,28.530553817749023,11825472,673.0
