configuration,views,seed_index,seed,train_run,probe_run,test_accuracy,validation_accuracy,gpu_hours,encoded_views,trainable_parameters
fmca_av_m2,2,1,20280001,20260809-021534_formal-cifar10-fmca_av-v2-seed1-epoch-200,20260809-121434_priority-e5-cifar10-fmca_av-v2-seed1-probe-epoch200,0.8525000214576721,0.8668000102043152,1.8316597362608364,17920000,11628864
fmca_av_m8,8,1,20280001,20260809-034545_formal-cifar10-fmca_av-v8-seed1-epoch-200,20260809-121435_priority-e5-cifar10-fmca_av-v8-seed1-probe-epoch200,0.9003000259399414,0.9168000221252441,6.095191187719174,71680000,11628864
fmca_av_m2,2,2,20280002,20260809-022035_formal-cifar10-fmca_av-v2-seed2-epoch-200,20260809-121435_priority-e5-cifar10-fmca_av-v2-seed2-probe-epoch200,0.8575000166893005,0.8614000082015991,1.7549679962594462,17920000,11628864
fmca_av_m8,8,2,20280002,20260809-043407_formal-cifar10-fmca_av-v8-seed2-epoch-200,20260809-121435_priority-e5-cifar10-fmca_av-v8-seed2-probe-epoch200,0.8960000276565552,0.9083999991416931,6.074285036232516,71680000,11628864
fmca_av_m2,2,3,20280003,20260809-022536_formal-cifar10-fmca_av-v2-seed3-epoch-200,20260809-122606_priority-e5-cifar10-fmca_av-v2-seed3-probe-epoch200,0.8532999753952026,0.8565999865531921,1.7715639089835975,17920000,11628864
fmca_av_m8,8,3,20280003,20260809-043441_formal-cifar10-fmca_av-v8-seed3-epoch-200,20260809-122607_priority-e5-cifar10-fmca_av-v8-seed3-probe-epoch200,0.887499988079071,0.9070000052452087,6.770329448836403,71680000,11628864
