epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
33,3977,252.93035888671875,-252.93035888671875,,,,
34,4094,253.37332153320312,-253.37332153320312,,,,
35,4211,254.09161376953125,-254.09161376953125,,,,
36,4328,255.9385986328125,-255.9385986328125,,,,
37,4445,255.8339080810547,-255.8339080810547,,,,
38,4562,256.8871765136719,-256.8871765136719,,,,
39,4679,,,4.318413734436035,252.71017456054688,-252.71017456054688,252.71017456054688
39,4679,257.66180419921875,-257.66180419921875,,,,
40,4796,257.8495788574219,-257.8495788574219,,,,
41,4913,258.6062927246094,-258.6062927246094,,,,
42,5030,259.383544921875,-259.383544921875,,,,
43,5147,259.977294921875,-259.977294921875,,,,
44,5264,259.8424377441406,-259.8424377441406,,,,
45,5381,260.5705871582031,-260.5705871582031,,,,
46,5498,261.2825927734375,-261.2825927734375,,,,
47,5615,261.8611755371094,-261.8611755371094,,,,
48,5732,262.2196044921875,-262.2196044921875,,,,
49,5849,,,4.278680324554443,256.7972717285156,-256.7972717285156,256.7972717285156
49,5849,262.5978088378906,-262.5978088378906,,,,
50,5966,263.229248046875,-263.229248046875,,,,
51,6083,263.5622253417969,-263.5622253417969,,,,
52,6200,263.86138916015625,-263.86138916015625,,,,
53,6317,264.3602294921875,-264.3602294921875,,,,
54,6434,265.2000732421875,-265.2000732421875,,,,
55,6551,265.7010192871094,-265.7010192871094,,,,
56,6668,265.623291015625,-265.623291015625,,,,
57,6785,265.6832580566406,-265.6832580566406,,,,
58,6902,266.57232666015625,-266.57232666015625,,,,
59,7019,,,4.220375061035156,259.96966552734375,-259.96966552734375,259.96966552734375
59,7019,266.3498840332031,-266.3498840332031,,,,
60,7136,267.2084655761719,-267.2084655761719,,,,
61,7253,266.576416015625,-266.576416015625,,,,
62,7370,267.7997741699219,-267.7997741699219,,,,
63,7487,268.0178527832031,-268.0178527832031,,,,
64,7604,268.17535400390625,-268.17535400390625,,,,
65,7721,268.5357666015625,-268.5357666015625,,,,
66,7838,269.45306396484375,-269.45306396484375,,,,
67,7955,269.2436828613281,-269.2436828613281,,,,
68,8072,269.437744140625,-269.437744140625,,,,
69,8189,,,4.2079973220825195,261.78082275390625,-261.78082275390625,261.78082275390625
69,8189,269.5997314453125,-269.5997314453125,,,,
70,8306,269.9870910644531,-269.9870910644531,,,,
71,8423,270.3263854980469,-270.3263854980469,,,,
72,8540,270.8509826660156,-270.8509826660156,,,,
73,8657,271.2886657714844,-271.2886657714844,,,,
74,8774,271.3349914550781,-271.3349914550781,,,,
75,8891,271.5431213378906,-271.5431213378906,,,,
76,9008,271.7429504394531,-271.7429504394531,,,,
77,9125,272.2103271484375,-272.2103271484375,,,,
78,9242,272.34332275390625,-272.34332275390625,,,,
79,9359,,,4.1489763259887695,264.9982604980469,-264.9982604980469,264.9982604980469
