centered,dataset,dimension,effective_rank,largest_eigenvalue,minimum_variance,nonfinite,objective,precision,rf_condition,rg_condition,ridge,ridge_rule,run_id,samples,score,seed,spectrum_mae,spectrum_relative_error,state,whitening
False,finite,11,12,0.09672091901302338,0.0234375,0,logdet,fp32,5.333333492279053,5.25,0.007365695856874706,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4214175343513489,20308019,0.29834821820259094,0.8941564559936523,SUCCEEDED,right
False,finite,11,12,0.09436260163784027,0.03125,0,trace,fp32,3.75,2.8333332538604736,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4925527274608612,20309000,0.29071423411369324,0.8489269614219666,SUCCEEDED,right
False,finite,11,12,0.09812433272600174,0.046875,0,trace,fp32,2.0,2.6666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.46129491925239563,20309001,0.29365649819374084,0.8741676211357117,SUCCEEDED,right
False,finite,11,12,0.09592834860086441,0.03125,0,trace,fp32,3.200000047683716,4.0,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4173399806022644,20309002,0.2975166440010071,0.9054796695709229,SUCCEEDED,right
False,finite,11,12,0.0993775874376297,0.046875,0,trace,fp32,2.6666667461395264,2.142857074737549,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.45584872364997864,20309003,0.2940634489059448,0.8741994500160217,SUCCEEDED,right
False,finite,11,12,0.08767688274383545,0.0390625,0,trace,fp32,2.799999952316284,2.25,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.3802584409713745,20309004,0.30090177059173584,0.9054349660873413,SUCCEEDED,right
False,finite,11,12,0.09814849495887756,0.03125,0,trace,fp32,3.4000000953674316,4.25,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4777936041355133,20309005,0.2920213043689728,0.8740949034690857,SUCCEEDED,right
False,finite,11,12,0.10240069776773453,0.03125,0,trace,fp32,4.5,2.5,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.453186571598053,20309006,0.29426631331443787,0.8779686093330383,SUCCEEDED,right
False,finite,11,12,0.09387972205877304,0.03125,0,trace,fp32,3.0,3.5,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4322606921195984,20309007,0.2962774932384491,0.8795244693756104,SUCCEEDED,right
False,finite,11,12,0.10166363418102264,0.03125,0,trace,fp32,4.25,3.0,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.45088163018226624,20309008,0.2947467565536499,0.8679714798927307,SUCCEEDED,right
False,finite,11,12,0.08786317706108093,0.046875,0,trace,fp32,2.1666667461395264,1.875,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4253673851490021,20309009,0.29679059982299805,0.8635954260826111,SUCCEEDED,right
False,finite,11,12,0.09397761523723602,0.046875,0,trace,fp32,2.6666667461395264,2.1666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4294147491455078,20309010,0.29644203186035156,0.8893253207206726,SUCCEEDED,right
False,finite,11,12,0.09742692857980728,0.0390625,0,trace,fp32,2.8333332538604736,3.200000047683716,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4367101192474365,20309011,0.2957555949687958,0.8594522476196289,SUCCEEDED,right
False,finite,11,12,0.09332380443811417,0.0390625,0,trace,fp32,2.5,3.5999999046325684,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4158073365688324,20309012,0.2976885437965393,0.8996289968490601,SUCCEEDED,right
False,finite,11,12,0.11209553480148315,0.03125,0,trace,fp32,4.75,2.4285714626312256,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.5253481864929199,20309013,0.28772929310798645,0.8638157248497009,SUCCEEDED,right
False,finite,11,12,0.09624447673559189,0.046875,0,trace,fp32,2.5,2.8333332538604736,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4210553765296936,20309014,0.29718220233917236,0.8975207805633545,SUCCEEDED,right
False,finite,11,12,0.09431229531764984,0.046875,0,trace,fp32,2.5,2.6666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.39412280917167664,20309015,0.29966112971305847,0.9098073840141296,SUCCEEDED,right
False,finite,11,12,0.09777713567018509,0.0390625,0,trace,fp32,3.200000047683716,2.6666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.47741857171058655,20309016,0.29210165143013,0.8645060062408447,SUCCEEDED,right
False,finite,11,12,0.0979795753955841,0.03125,0,trace,fp32,4.25,2.6666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4287105202674866,20309017,0.2966209650039673,0.8851475119590759,SUCCEEDED,right
False,finite,11,12,0.09758049249649048,0.015625,0,trace,fp32,8.0,4.5,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4066699147224426,20309018,0.2984858751296997,0.9123706817626953,SUCCEEDED,right
False,finite,11,12,0.088391974568367,0.046875,0,trace,fp32,1.8571428060531616,2.6666667461395264,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.40183180570602417,20309019,0.29894569516181946,0.8918458819389343,SUCCEEDED,right
False,finite,11,12,0.09808446206469298,0.046875,0,trace,fp64,2.8333333333333335,2.6666666666666665,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.46179904595474564,20310000,0.2934775718310161,0.8767349454807639,SUCCEEDED,right
False,finite,11,12,0.1005088917170843,0.046875,0,trace,fp64,3.0,2.5,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.441863096617855,20310001,0.29546825336723703,0.8744816656832524,SUCCEEDED,right
False,finite,11,12,0.09584301981759394,0.0390625,0,trace,fp64,3.2,2.142857142857143,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.43696437305222274,20310002,0.2957815389933278,0.8862544346452388,SUCCEEDED,right
False,finite,11,12,0.10252589794830798,0.046875,0,trace,fp64,2.7142857142857144,3.3333333333333335,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4466783438893713,20310003,0.29498875868900387,0.870408614323615,SUCCEEDED,right
False,finite,11,12,0.11624253186437385,0.046875,0,trace,fp64,3.0,2.3333333333333335,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.49626768729109394,20310004,0.2903670471046808,0.8647624817429592,SUCCEEDED,right
False,finite,11,12,0.0976154845574433,0.0390625,0,trace,fp64,3.0,3.4,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.40879472814319406,20310005,0.2983224981005798,0.9026951867128907,SUCCEEDED,right
False,finite,11,12,0.09702487317328846,0.046875,0,trace,fp64,2.8333333333333335,2.0,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.45612577937446636,20310006,0.294053355954139,0.8738228641515906,SUCCEEDED,right
False,finite,11,12,0.10855592139391583,0.046875,0,trace,fp64,3.1666666666666665,2.8333333333333335,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4532233881257173,20310007,0.29426457306711135,0.8755265852925382,SUCCEEDED,right
False,finite,11,12,0.0949190266227544,0.046875,0,trace,fp64,2.3333333333333335,2.3333333333333335,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4452972270983849,20310008,0.29497582187736,0.8780989250723625,SUCCEEDED,right
False,finite,11,12,0.09831101666458732,0.03125,0,trace,fp64,3.4,3.75,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.5251576294535434,20310009,0.2887084353227852,0.8204682550629432,SUCCEEDED,right
False,finite,11,12,0.09534780728045524,0.03125,0,trace,fp64,4.0,2.6666666666666665,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.441491384429407,20310010,0.2953473656484193,0.8817525576245582,SUCCEEDED,right
False,finite,11,12,0.1004470242276693,0.046875,0,trace,fp64,3.1666666666666665,2.6666666666666665,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.3905662880413175,20310011,0.2999550150008223,0.916155330087451,SUCCEEDED,right
False,finite,11,12,0.09946346778983393,0.0390625,0,trace,fp64,3.4,1.875,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4868368905062644,20310012,0.2912529092542869,0.8756230937293931,SUCCEEDED,right
False,finite,11,12,0.09800433185020027,0.03125,0,trace,fp64,3.4,4.25,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.39577490718235686,20310013,0.29947511397073473,0.8979854477255445,SUCCEEDED,right
False,finite,11,12,0.09261122817084191,0.046875,0,trace,fp64,2.2857142857142856,2.1666666666666665,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4465823909284148,20310014,0.29485727211494367,0.8709498532380084,SUCCEEDED,right
False,finite,11,12,0.11720920658865376,0.0390625,0,trace,fp64,3.5,3.4,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4730738098465145,20310015,0.29245460660086064,0.8803514097233762,SUCCEEDED,right
False,finite,11,12,0.10251840188003243,0.0390625,0,trace,fp64,2.7142857142857144,3.2,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4253288065305419,20310016,0.29680635766375135,0.8955925501718411,SUCCEEDED,right
False,finite,11,12,0.09328988723210564,0.03125,0,trace,fp64,2.142857142857143,3.75,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4116212691689318,20310017,0.29806370032194845,0.8817820293713639,SUCCEEDED,right
False,finite,11,12,0.103812133188414,0.03125,0,trace,fp64,4.5,2.8333333333333335,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4365918992625088,20310018,0.29576998785729836,0.9026415353288942,SUCCEEDED,right
False,finite,11,12,0.0963136446072794,0.03125,0,trace,fp64,3.75,3.4,0.007365695637359869,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.48676255153924886,20310019,0.2912071355421734,0.8592703422119535,SUCCEEDED,right
False,finite,11,12,0.09159176135166942,0.046875,0,logdet,fp64,2.5,2.142857142857143,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4320722841533867,20311000,0.29740108416556965,0.8902149111504936,SUCCEEDED,right
False,finite,11,12,0.09470916005997768,0.046875,0,logdet,fp64,2.2857142857142856,2.3333333333333335,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.38938612156625596,20311001,0.30113077536717286,0.9109263071539137,SUCCEEDED,right
False,finite,11,12,0.09107761721849125,0.0390625,0,logdet,fp64,2.5,3.2,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.44445772200671363,20311002,0.2963190919505546,0.8770307562919385,SUCCEEDED,right
False,finite,11,12,0.10074104876176161,0.03125,0,logdet,fp64,2.8333333333333335,5.5,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4413198832485663,20311003,0.29675546478625975,0.8853576297817753,SUCCEEDED,right
False,finite,11,12,0.0938413934943317,0.03125,0,logdet,fp64,2.0,4.25,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4350013311638696,20311004,0.2972388789850547,0.8780818675878702,SUCCEEDED,right
False,finite,11,12,0.09477965284136852,0.0390625,0,logdet,fp64,2.2857142857142856,3.2,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.41938433957092325,20311005,0.2984638683346663,0.885040778796471,SUCCEEDED,right
False,finite,11,11,0.09170666825849076,0.0390625,0,logdet,fp64,2.8,2.0,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4196299928900289,20311006,0.29846185728381197,0.8985628543986531,SUCCEEDED,right
False,finite,11,12,0.10291210271987232,0.046875,0,logdet,fp64,2.6666666666666665,2.8333333333333335,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.44702864869418374,20311007,0.2961899473924461,0.896864258845224,SUCCEEDED,right
False,finite,11,12,0.09723957557286911,0.046875,0,logdet,fp64,2.6666666666666665,2.6666666666666665,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4932655714129255,20311008,0.2922746618284767,0.8599261496316815,SUCCEEDED,right
False,finite,11,12,0.10047472081357187,0.03125,0,logdet,fp64,3.75,3.6666666666666665,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.47083656266925383,20311009,0.294528171972952,0.8680942611478971,SUCCEEDED,right
False,finite,11,12,0.11003548531079523,0.03125,0,logdet,fp64,4.5,2.6666666666666665,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4800640388482522,20311010,0.2933449185901166,0.8766676043128754,SUCCEEDED,right
False,finite,11,12,0.08884761217851665,0.0546875,0,logdet,fp64,1.75,2.142857142857143,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.49755715763239583,20311011,0.29177942163230175,0.8599268472051368,SUCCEEDED,right
False,finite,11,12,0.09998694503028396,0.0390625,0,logdet,fp64,2.8333333333333335,3.4,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4319912245374158,20311012,0.29746757961063836,0.8982417572993128,SUCCEEDED,right
False,finite,11,12,0.12170976262847306,0.046875,0,logdet,fp64,3.1666666666666665,2.142857142857143,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.5014559743696176,20311013,0.29166482299068713,0.8668810667742193,SUCCEEDED,right
False,finite,11,12,0.10609545412445477,0.0390625,0,logdet,fp64,3.4,3.0,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4403117917200768,20311014,0.296795271672848,0.8970027953618012,SUCCEEDED,right
False,finite,11,12,0.10009298511596916,0.03125,0,logdet,fp64,3.4,3.75,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4335341216906535,20311015,0.2973197071502339,0.8920934298591228,SUCCEEDED,right
False,finite,11,12,0.10189695507894228,0.03125,0,logdet,fp64,4.25,3.4,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.48192869557831425,20311016,0.29318254463335003,0.8666134450876612,SUCCEEDED,right
False,finite,11,12,0.10156479930201283,0.03125,0,logdet,fp64,4.25,2.142857142857143,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.49418868081920253,20311017,0.29220579652470385,0.8708534174674095,SUCCEEDED,right
False,finite,11,12,0.11221421220679462,0.015625,0,logdet,fp64,9.5,3.1666666666666665,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.46858314932436684,20311018,0.29449617664712685,0.8713515389347267,SUCCEEDED,right
False,finite,11,12,0.1020807149410845,0.0234375,0,logdet,fp64,3.1666666666666665,5.333333333333333,0.001,fixed,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.4809437426872618,20311019,0.29320825817863877,0.8791774519976517,SUCCEEDED,right
True,finite,11,11,0.07333854585886002,0.03753662109375,0,logdet,fp32,2.821606159210205,1.5970385074615479,0.006722365702659911,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.3352831304073334,20312000,0.30579516291618347,0.92873615026474,SUCCEEDED,right
True,finite,11,11,0.09337599575519562,0.0302734375,0,logdet,fp32,3.8923935890197754,3.0241148471832275,0.0066877493105978,adaptive,20260809-020528_postfix-e3-gaussian-finite-estimator-controls-20rep,128,0.36992138624191284,20312001,0.3028179109096527,0.918861448764801,SUCCEEDED,right
