batch,centered,effective_rank,features,largest_eigenvalue,logdet_score,rf_condition,rg_condition,rg_estimator,ridge,run_id,spectrum_mae,trace_score,views,whitening
1024,True,7,8,0.5220152040490716,1.4345120166407421,509.716248381002,21.089694904232964,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.02111620904151844,1.1433685821792041,8,dual
128,True,8,8,0.5611258914567507,1.5890965765875573,975.4800992260543,291.095691770018,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.029717545102199816,1.228299583220386,8,dual
256,True,8,8,0.5222920190954249,1.4193156024593003,1917.7295530701776,7561.722847511802,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.018679776578998053,1.1173715855558615,1,dual
256,True,8,8,0.4786243649510142,1.0990294561970702,1875.3849022049087,83.30118754243304,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.0134135832608688,0.888785083913051,16,dual
256,True,8,8,0.4965601604302499,1.388424235407743,1183.7075225359379,1185.331452616462,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.025831639262007856,1.0902948463410087,2,dual
256,True,8,8,0.527767918287234,1.4878631920367404,256.66005937250134,725.9215055463326,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.024500953087456777,1.1719484143850907,4,dual
256,True,26,128,0.5488087183251772,2.262890785848486,3.787077947056682e+16,4.0089055684465816e+16,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.006576183155772364,1.8417514377776485,8,dual
256,True,12,16,0.48815752038502996,1.1045563893044268,31958595848910.27,65108314367.77445,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.00712319411157973,0.8860136354256682,8,dual
256,True,32,256,0.5350690341416271,2.600515793626555,3.579649009217617e+17,4.052584766697082e+16,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.0045476928639352505,2.164209373138491,8,dual
256,True,17,32,0.5538075380553452,2.191739075927471,1.7894963764897296e+16,8.281377711136549e+16,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.023471320574425688,1.7510565726262524,8,dual
256,True,4,4,0.5457645185299423,1.4415283160328434,2.620920246034477,1.797439655945244,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.04909718026738143,1.1087528251448675,8,dual
256,True,19,64,0.5318166551739697,1.451541500970098,9111706012038872.0,8631223863639293.0,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.0030230339022941015,1.1685951053891508,8,dual
256,True,8,8,0.5152543650793628,1.4355811012842252,1051.6694093459628,115.37781369047396,correct,0.0001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.024109753765618733,1.1390578038717676,8,dual
256,False,8,8,0.47095234167848304,1.2963992163210818,1292.292530358927,583.1207116181467,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.016699993992051024,1.063810516183218,8,dual
256,True,8,8,0.5362079799537984,1.5581501675387377,451.3177342703455,283.61379822939534,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.031763601047883894,1.2314796331314977,8,dual
256,True,8,8,0.901957756934167,6.208110960391862,6420.245297496611,208.14426645943607,outer_of_conditional_mean,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.2899715807871167,3.3158663962969492,8,dual
256,True,8,8,0.4798843567043474,1.1446240209806804,1676.6001827810815,442.9622533446668,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.016983426018839475,0.9282625271571425,8,left
256,True,6,8,0.4826044886061203,1.2513517478873797,10267.247183494146,71.89018003354724,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.019831656033165675,1.0022736729397852,8,none
256,True,7,8,0.4877594223346935,1.1807219148410009,12914.292045255605,188.43581620746764,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.021301973159486717,0.9596071090025133,8,right
256,True,8,8,0.5216565557390428,1.301174191649074,1808.720162372493,241.3492557511921,correct,0.01,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.009649097393417934,1.0316211469705856,8,dual
256,True,8,8,0.48905702994444694,1.290529327799383,11151.083313243833,412.23723934181623,correct,1e-05,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.012745401270715346,1.0475353901336844,8,dual
512,True,8,8,0.49441058487555684,1.1975023604993213,1760.2927284050036,157.81508818756248,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.006940926753790809,0.959149704306937,8,dual
64,True,8,8,0.5408672656145048,1.6016693145867038,23171.85518768407,640.1089230473248,correct,0.001,20260809-020528_postfix-e3-full-exact-numerical-ablation,0.032202604123076135,1.2459049380932397,8,dual
