epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,174,95.99848175048828,-95.99848175048828,,,,
1,349,140.18743896484375,-140.18743896484375,,,,
2,524,165.1541290283203,-165.1541290283203,,,,
3,699,177.10757446289062,-177.10757446289062,,,,
4,874,184.3408203125,-184.3408203125,,,,
5,1049,190.32040405273438,-190.32040405273438,,,,
6,1224,195.04132080078125,-195.04132080078125,,,,
7,1399,199.23818969726562,-199.23818969726562,,,,
8,1574,203.31004333496094,-203.31004333496094,,,,
9,1749,,,5.371471405029297,207.6381072998047,-207.6381072998047,207.6381072998047
9,1749,207.42645263671875,-207.42645263671875,,,,
10,1924,211.813232421875,-211.813232421875,,,,
11,2099,216.58551025390625,-216.58551025390625,,,,
12,2274,221.74046325683594,-221.74046325683594,,,,
13,2449,226.00160217285156,-226.00160217285156,,,,
14,2624,230.17477416992188,-230.17477416992188,,,,
15,2799,233.5487518310547,-233.5487518310547,,,,
16,2974,237.35647583007812,-237.35647583007812,,,,
17,3149,239.95343017578125,-239.95343017578125,,,,
18,3324,242.6021270751953,-242.6021270751953,,,,
19,3499,,,4.5299763679504395,243.74220275878906,-243.74220275878906,243.74220275878906
19,3499,244.76634216308594,-244.76634216308594,,,,
20,3674,246.88851928710938,-246.88851928710938,,,,
21,3849,248.73480224609375,-248.73480224609375,,,,
22,4024,249.99166870117188,-249.99166870117188,,,,
23,4199,251.5638885498047,-251.5638885498047,,,,
24,4374,253.07586669921875,-253.07586669921875,,,,
25,4549,254.0652618408203,-254.0652618408203,,,,
26,4724,255.21267700195312,-255.21267700195312,,,,
27,4899,256.2266540527344,-256.2266540527344,,,,
28,5074,257.12445068359375,-257.12445068359375,,,,
29,5249,,,4.3831787109375,255.28030395507812,-255.28030395507812,255.28030395507812
29,5249,258.1517333984375,-258.1517333984375,,,,
30,5424,258.8466491699219,-258.8466491699219,,,,
31,5599,259.8905029296875,-259.8905029296875,,,,
32,5774,260.7275390625,-260.7275390625,,,,
33,5949,261.05377197265625,-261.05377197265625,,,,
34,6124,261.98828125,-261.98828125,,,,
35,6299,262.80230712890625,-262.80230712890625,,,,
36,6474,263.41094970703125,-263.41094970703125,,,,
37,6649,263.6247863769531,-263.6247863769531,,,,
38,6824,264.9906311035156,-264.9906311035156,,,,
39,6999,,,4.296553611755371,261.22076416015625,-261.22076416015625,261.22076416015625
39,6999,264.8509521484375,-264.8509521484375,,,,
40,7174,265.41412353515625,-265.41412353515625,,,,
41,7349,266.01861572265625,-266.01861572265625,,,,
42,7524,267.08953857421875,-267.08953857421875,,,,
43,7699,267.8372497558594,-267.8372497558594,,,,
44,7874,267.8206787109375,-267.8206787109375,,,,
45,8049,267.70574951171875,-267.70574951171875,,,,
