epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
79,13999,,,4.152101993560791,270.0418701171875,-270.0418701171875,270.0418701171875
79,13999,276.97784423828125,-276.97784423828125,,,,
80,14174,277.0975036621094,-277.0975036621094,,,,
81,14349,277.4065246582031,-277.4065246582031,,,,
82,14524,277.1546325683594,-277.1546325683594,,,,
83,14699,277.6191711425781,-277.6191711425781,,,,
84,14874,277.792236328125,-277.792236328125,,,,
85,15049,278.3631591796875,-278.3631591796875,,,,
86,15224,278.67236328125,-278.67236328125,,,,
87,15399,278.32330322265625,-278.32330322265625,,,,
88,15574,278.4425354003906,-278.4425354003906,,,,
89,15749,,,4.130413055419922,272.6717834472656,-272.6717834472656,272.6717834472656
89,15749,278.8861083984375,-278.8861083984375,,,,
90,15924,278.8477783203125,-278.8477783203125,,,,
91,16099,279.4508056640625,-279.4508056640625,,,,
92,16274,279.6972961425781,-279.6972961425781,,,,
93,16449,279.87109375,-279.87109375,,,,
94,16624,280.07501220703125,-280.07501220703125,,,,
95,16799,280.5890197753906,-280.5890197753906,,,,
96,16974,280.52032470703125,-280.52032470703125,,,,
97,17149,280.8329162597656,-280.8329162597656,,,,
98,17324,280.9474792480469,-280.9474792480469,,,,
99,17499,,,4.15434455871582,273.1470947265625,-273.1470947265625,273.1470947265625
99,17499,281.2391357421875,-281.2391357421875,,,,
100,17674,281.1941833496094,-281.1941833496094,,,,
101,17849,281.5572204589844,-281.5572204589844,,,,
102,18024,281.93646240234375,-281.93646240234375,,,,
103,18199,282.08880615234375,-282.08880615234375,,,,
104,18374,281.9138488769531,-281.9138488769531,,,,
105,18549,282.5397644042969,-282.5397644042969,,,,
106,18724,282.6295471191406,-282.6295471191406,,,,
107,18899,282.7540283203125,-282.7540283203125,,,,
108,19074,282.9963073730469,-282.9963073730469,,,,
109,19249,,,4.125871658325195,274.31243896484375,-274.31243896484375,274.31243896484375
109,19249,282.7474670410156,-282.7474670410156,,,,
110,19424,283.2850036621094,-283.2850036621094,,,,
111,19599,283.2189025878906,-283.2189025878906,,,,
112,19774,283.8453369140625,-283.8453369140625,,,,
113,19949,284.1120910644531,-284.1120910644531,,,,
114,20124,283.8959045410156,-283.8959045410156,,,,
115,20299,284.50537109375,-284.50537109375,,,,
116,20474,284.273193359375,-284.273193359375,,,,
117,20649,284.4606628417969,-284.4606628417969,,,,
