stage,seed_index,seed,source_run,probe_run,heldout_tsd,heldout_clipped_mode_count,probe_accuracy,augmentation_json
0,1,20279001,20260809-013307_tsd-cifar10-processing-chain-stage0-seed1,,1147.9488606435687,66,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":1.0}"
0,2,20279002,20260809-013308_tsd-cifar10-processing-chain-stage0-seed2,,1154.835036135587,66,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":1.0}"
0,3,20279003,20260809-013308_tsd-cifar10-processing-chain-stage0-seed3,,1136.1609000484755,65,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":1.0}"
0,4,20279004,20260809-013308_tsd-cifar10-processing-chain-stage0-seed4,,1133.6930658249873,65,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":1.0}"
0,5,20279005,20260809-013809_tsd-cifar10-processing-chain-stage0-seed5,,1151.525379037857,66,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":1.0}"
1,1,20279001,20260809-013810_tsd-cifar10-processing-chain-stage1-seed1,,1135.3900629172517,65,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":0.8}"
1,2,20279002,20260809-013810_tsd-cifar10-processing-chain-stage1-seed2,,1133.8173122429664,65,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":0.8}"
1,3,20279003,20260809-013811_tsd-cifar10-processing-chain-stage1-seed3,,1124.2843839407174,64,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":0.8}"
1,4,20279004,20260809-014311_tsd-cifar10-processing-chain-stage1-seed4,,1148.1161796184722,66,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":0.8}"
1,5,20279005,20260809-014312_tsd-cifar10-processing-chain-stage1-seed5,,1122.2323298888687,64,,"{""color_jitter_probability"":0.0,""gaussian_blur_probability"":0.0,""min_scale"":0.8}"
2,1,20279001,20260809-014312_tsd-cifar10-processing-chain-stage2-seed1,,1087.3643083286322,62,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.1,""gaussian_blur_probability"":0.0,""min_scale"":0.6}"
2,2,20279002,20260809-014313_tsd-cifar10-processing-chain-stage2-seed2,,1049.800625142455,59,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.1,""gaussian_blur_probability"":0.0,""min_scale"":0.6}"
2,3,20279003,20260809-014814_tsd-cifar10-processing-chain-stage2-seed3,,1093.3020423617718,62,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.1,""gaussian_blur_probability"":0.0,""min_scale"":0.6}"
2,4,20279004,20260809-014814_tsd-cifar10-processing-chain-stage2-seed4,,1101.431487598056,63,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.1,""gaussian_blur_probability"":0.0,""min_scale"":0.6}"
2,5,20279005,20260809-014815_tsd-cifar10-processing-chain-stage2-seed5,,1073.8953193415036,61,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.1,""gaussian_blur_probability"":0.0,""min_scale"":0.6}"
3,1,20279001,20260809-014815_tsd-cifar10-processing-chain-stage3-seed1,,967.816984129095,54,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.3,""gaussian_blur_probability"":1.0,""gaussian_blur_sigma"":0.5,""min_scale"":0.4}"
3,2,20279002,20260809-015316_tsd-cifar10-processing-chain-stage3-seed2,,986.3633515264238,55,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.3,""gaussian_blur_probability"":1.0,""gaussian_blur_sigma"":0.5,""min_scale"":0.4}"
3,3,20279003,20260809-015316_tsd-cifar10-processing-chain-stage3-seed3,,999.5798219494909,56,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.3,""gaussian_blur_probability"":1.0,""gaussian_blur_sigma"":0.5,""min_scale"":0.4}"
3,4,20279004,20260809-015317_tsd-cifar10-processing-chain-stage3-seed4,,1008.0522883682742,57,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.3,""gaussian_blur_probability"":1.0,""gaussian_blur_sigma"":0.5,""min_scale"":0.4}"
3,5,20279005,20260809-015317_tsd-cifar10-processing-chain-stage3-seed5,,981.4606498636657,55,,"{""color_jitter_probability"":1.0,""color_jitter_strength"":0.3,""gaussian_blur_probability"":1.0,""gaussian_blur_sigma"":0.5,""min_scale"":0.4}"
