dataset,channel,level,seed_index,source_run,source_state,dependence_score,calibration_tsd,heldout_tsd,calibration_test_gap,heldout_clipped_mode_count,probe_run,probe_state,probe_accuracy
cifar100,grayscale,4,2,20260809-012213_tsd-cifar100-grayscale-level4-seed2,SUCCEEDED,557.5640916269513,135.24187401544788,557.5640916269513,-422.3222176115034,28,,,
cifar100,grayscale,4,3,20260809-012214_tsd-cifar100-grayscale-level4-seed3,SUCCEEDED,588.978507663166,141.36441874937125,588.978507663166,-447.61408891379483,30,,,
cifar100,grayscale,4,4,20260809-012715_tsd-cifar100-grayscale-level4-seed4,SUCCEEDED,569.9282834437458,138.4141527456832,569.9282834437458,-431.5141306980627,29,,,
cifar100,grayscale,4,5,20260809-012715_tsd-cifar100-grayscale-level4-seed5,SUCCEEDED,619.1574868347641,142.3330841637615,619.1574868347641,-476.8244026710026,32,,,
cifar100,grayscale,5,1,20260809-013216_tsd-cifar100-grayscale-level5-seed1,SUCCEEDED,548.5468674193341,138.45923960261277,548.5468674193341,-410.08762781672135,27,,,
cifar100,grayscale,5,2,20260809-013217_tsd-cifar100-grayscale-level5-seed2,SUCCEEDED,616.3789441783797,140.65835351233403,616.3789441783797,-475.72059066604567,32,,,
cifar100,grayscale,5,3,20260809-013717_tsd-cifar100-grayscale-level5-seed3,SUCCEEDED,576.4924828633826,141.29941964920621,576.4924828633826,-435.1930632141764,29,,,
cifar100,grayscale,5,4,20260809-013718_tsd-cifar100-grayscale-level5-seed4,SUCCEEDED,559.424051795034,139.96617805568343,559.424051795034,-419.45787373935053,28,,,
cifar100,grayscale,5,5,20260809-014219_tsd-cifar100-grayscale-level5-seed5,SUCCEEDED,590.7019167796055,140.42032926404116,590.7019167796055,-450.2815875155644,30,,,
cifar100,grayscale,6,1,20260809-014219_tsd-cifar100-grayscale-level6-seed1,SUCCEEDED,588.3392265166137,140.39915810179002,588.3392265166137,-447.9400684148237,30,,,
cifar100,grayscale,6,2,20260809-014720_tsd-cifar100-grayscale-level6-seed2,SUCCEEDED,601.9992655456354,140.99528586211804,601.9992655456354,-461.0039796835173,31,,,
cifar100,grayscale,6,3,20260809-014720_tsd-cifar100-grayscale-level6-seed3,SUCCEEDED,561.2219667575869,136.177559972443,561.2219667575869,-425.0444067851439,28,,,
cifar100,grayscale,6,4,20260809-015221_tsd-cifar100-grayscale-level6-seed4,SUCCEEDED,589.6797115369776,143.8056648940888,589.6797115369776,-445.8740466428888,30,,,
cifar100,grayscale,6,5,20260809-015222_tsd-cifar100-grayscale-level6-seed5,SUCCEEDED,622.3287445495844,143.00644857256097,622.3287445495844,-479.3222959770234,32,,,
cifar100,noise,0,2,20260809-015723_tsd-cifar100-noise-level0-seed2,RUNNING,,145.5661867249034,,,,,,
