run_id,dataset,channel,selection,k,factor_index,factor_name,accuracy_mean,accuracy_std,repeats
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,2,3,orientation,0.0274,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,2,4,position_x,0.0412,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,2,5,position_y,0.0492,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,1,shape,0.4422,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,2,scale,0.3412,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,3,orientation,0.0242,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,4,position_x,0.0396,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,2,5,position_y,0.0724,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,1,shape,0.415,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,2,scale,0.2704,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,3,orientation,0.028,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,4,position_x,0.0562,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,2,5,position_y,0.0438,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,0,color,1.0,0.0,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,1,shape,0.396104,0.02368997537637668,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,2,scale,0.261804,0.034141748252504205,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,3,orientation,0.028132,0.002396161914226983,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,4,position_x,0.049676,0.007142971681621343,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,2,5,position_y,0.052124,0.006427263897812289,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,0,color,1.0,0.0,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,1,shape,0.3995,0.02146777266410968,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,2,scale,0.26824,0.030637685772161128,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,3,orientation,0.027500000000000004,0.00285988590129415,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,4,position_x,0.04915,0.005201163837369276,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,2,5,position_y,0.052270000000000004,0.007426347122168973,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,1,shape,0.4352,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,2,scale,0.3232,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,3,orientation,0.0294,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,4,position_x,0.06,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,4,5,position_y,0.0632,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,1,shape,0.4204,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,2,scale,0.3056,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,3,orientation,0.0276,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,4,position_x,0.0728,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,4,5,position_y,0.066,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,1,shape,0.438,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,2,scale,0.358,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,3,orientation,0.0258,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,4,position_x,0.0984,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,4,5,position_y,0.0948,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,1,shape,0.4452,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,2,scale,0.3588,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,3,orientation,0.0248,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,4,position_x,0.0644,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,4,5,position_y,0.0554,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,0,color,1.0,0.0,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,4,1,shape,0.42154,0.01677673954911948,100
