absolute_error,calibration_clipped_mode_count,calibration_tsd,clipped_mode_count,cumulative_noise,diagonal_correlation_diagnostic,exact_tsd,feature_dim,heldout_eigenvalues,heldout_singular_values,heldout_tsd,incremental_noise,raw_largest_eigenvalue,run_id,stage,trace_dependence,train_test_gap
12.169510778637001,0,9.896328272079508,1,0.1,"[0.9827767355722142, 0.802993074368871, 0.6264201415462836, 0.6252811084821711, 0.7257778157158505, 0.7308093797681264, 0.3574548186575686, 0.22283272611871216]",9.838964831207182,8,"[1.226564616581123, 0.8999244237318446, 0.796915439385692, 0.6325062436131829, 0.47271671640391655, 0.289854679529183, 0.010716572729444492, 0.0002911216232392689]","[1.107503777231086, 0.9486434650235275, 0.8927012038670565, 0.795302611345633, 0.687543974160138, 0.5383815371362423, 0.103520880644653, 0.017062286577105335]",22.008475609844183,0.1,1.226564616581123,20260809-015520_postfix-e7-heldout-tsd-calibration-full,1,4.329489813597625,-12.112147337764675
0.8952939676161011,0,4.131873874923806,0,0.30000000000000004,"[0.8570966380676206, 0.7094764781029103, 0.5651895985921972, 0.43214277815608665, 0.3654240407036851, 0.26439084851570543, 0.15280542169396025, 0.14967346108813268]",4.2507091519780085,8,"[0.7516340697916349, 0.5712835712155739, 0.42768783624110185, 0.27279752219886744, 0.16271255049254282, 0.05696314367774309, 0.0023487519187867225, 0.00039313686364451965]","[0.8669683211003935, 0.7558330313075593, 0.6539784677197727, 0.522300222284911, 0.4033764377012406, 0.2386695281717863, 0.04846392388970091, 0.01982767922991795]",3.3554151843619073,0.2,0.7516340697916349,20260809-015520_postfix-e7-heldout-tsd-calibration-full,2,2.2458205823998956,0.7764586905618986
16.439353701165672,0,1.4858273797473536,1,0.8,"[0.7455405518375084, 0.5578275050652612, 0.4382416526446288, 0.33941635326849984, 0.011049893008855248, -0.11287297445740982, 0.7827566412965927, -31.524964978882682]",1.5780355258798995,8,"[1186.120192889212, 0.5867374763648984, 0.40758267472609283, 0.24662650125163654, 0.1286759893610052, 0.050670341594172455, 0.018161624767800325, 0.0008137851835805106]","[34.44009571544789, 0.7659879087589427, 0.6384220192992194, 0.49661504331991047, 0.35871435622373016, 0.22510073654737883, 0.13476507250693825, 0.02852692033116282]",18.017389227045573,0.5,1186.120192889212,20260809-015520_postfix-e7-heldout-tsd-calibration-full,3,1187.5594612824611,-16.53156184729822
0.05607913594408154,0,0.6339583861991294,0,1.8,"[0.5826510399976004, 0.3361263018191207, 0.1835313587473696, 0.07633182362815293, 0.022151867450870572, 0.009329032265942281, -0.006479133449437845, 0.014507718520388495]",0.6502219020116915,8,"[0.3423973497776508, 0.11589822372023949, 0.03854877191949537, 0.009703118296294229, 0.0024235655006024604, 0.00019233749847901173, 0.00012431004517172506, 1.4830515763519362e-07]","[0.585147288960353, 0.3404382818077889, 0.19633841172703667, 0.0985044074967929, 0.04922972171973411, 0.013868579540782529, 0.011149441473532433, 0.0003851040867547287]",0.59414276606761,1.0,0.3423973497776508,20260809-015520_postfix-e7-heldout-tsd-calibration-full,4,0.5092878250630907,0.0398156201315194
12.449451724539228,0,7.095629613072522,1,0.1,"[0.9858806339336948, 0.8611842988108027, 0.7294397704476766, 0.5586476988725152]",6.689626775642042,4,"[1.0540005588212178, 0.8681256573716281, 0.5399749994421229, 0.19635901627543972]","[1.0266452935757402, 0.9317326104476692, 0.7348299119130378, 0.4431241544707755]",19.13907850018127,0.1,1.0540005588212178,20260809-015520_postfix-e7-heldout-tsd-calibration-k4,1,2.6584602319104085,-12.043448887108749
0.6644517200786315,0,3.4621505118185847,0,0.30000000000000004,"[0.8571904259985278, 0.7095998619707782, 0.5752465118158389, 0.40375580391514926]",3.4003831915929257,4,"[0.7458668172917505, 0.5539689638988947, 0.34962608246435206, 0.12055134656346489]","[0.8636358128816513, 0.744290913486719, 0.5912918758653395, 0.3472050497378529]",2.735931471514294,0.2,0.7458668172917505,20260809-015520_postfix-e7-heldout-tsd-calibration-k4,2,1.7700132102184623,0.7262190403042905
1.0312417992561738,0,1.4217472122906223,0,0.8,"[0.7457561042773015, 0.5635701840418593, 0.49873713969154476, 0.6659499505719991]",1.4682347387251227,4,"[0.7217589431091255, 0.5238689388763369, 0.2711206950512738, 0.14947362866394354]","[0.849563972346477, 0.72378791014795, 0.520692514879246, 0.38661819494682803]",2.4994765379812964,0.5,0.7217589431091255,20260809-015520_postfix-e7-heldout-tsd-calibration-k4,3,1.6662222057006795,-1.0777293256906741
0.06771004539037107,0,0.6265060508116076,0,1.8,"[0.5835697781666225, 0.33660164652163005, 0.1753919881242807, 0.06350610602453635]",0.6413110597855823,4,"[0.34156709232834725, 0.11309310664554177, 0.03119879794792103, 0.00398927024253093]","[0.5844374152365224, 0.33629318554728665, 0.1766318146538755, 0.0631606700608134]",0.5736010143952113,1.0,0.34156709232834725,20260809-015520_postfix-e7-heldout-tsd-calibration-k4,4,0.489848267164341,0.05290503641639632
0.7130217094778288,0,9.196120729018327,0,0.1,"[0.961725843576704, 0.9166615642055052, 0.851079290725305, 0.7300011481233941, 0.6488339388514396, 0.6155059994985284, 0.5841824134639272, 0.5093423811383064]",9.838964831207182,8,"[0.9742958954580995, 0.8757696189856033, 0.8047060997182196, 0.6861072530348046, 0.609801000543254, 0.5036212076163681, 0.2949556339323737, 0.022055067944028773]","[0.9870642813201679, 0.9358256349265088, 0.897054123070743, 0.8283159137882143, 0.7808975608511363, 0.709662742164451, 0.5430981807485399, 0.14850948772394568]",10.55198654068501,0.1,0.9742958954580995,20260809-015520_postfix-e7-tsd-calibration-reliability-20rep,1,4.771311777232752,-1.3558658116666837
2.058449817789782,0,3.8565535834830653,0,0.30000000000000004,"[0.8698557574128333, 0.7364107090709017, 0.6197419185080751, 0.5235033193694435, 0.48300524647636395, 0.39007646716825267, 0.1697956997119901, 0.40146752813771236]",4.2507091519780085,8,"[0.966222388297592, 0.7285954702653833, 0.5159961629336899, 0.35497235867970955, 0.22423825007601028, 0.12546173379737943, 0.06154993477443895, 0.0014367824069050064]","[0.9829661175735367, 0.8535780399385772, 0.718328729018748, 0.5957955678583968, 0.4735380133379054, 0.35420577888761134, 0.24809259314707272, 0.03790491270145608]",6.309158969767791,0.2,0.966222388297592,20260809-015520_postfix-e7-tsd-calibration-reliability-20rep,2,2.978473081231108,-2.4526053862847252
