chain,lag,power_spectrum_mae_median,power_spectrum_mae_mean,power_spectrum_mae_std,power_spectrum_mae_ci95_half_width,replicates
directed_cycle_normal,2,3.469446951953614e-16,5.273559366969494e-16,3.08099815387808e-16,7.796000965914859e-17,60
directed_cycle_normal,4,9.992007221626409e-16,8.951173136040325e-16,5.393335770775812e-16,1.3647022418870047e-16,60
directed_cycle_normal,8,1.817990202823694e-15,1.272791396088126e-15,7.974078805276105e-16,2.0177203283930863e-16,60
directed_cycle_normal,16,1.6952585168983347e-15,1.6080989879654763e-15,1.2044400246239903e-15,3.0476537558245857e-16,60
directed_nonnormal,2,0.018624835644653243,0.020830591517914353,0.006197564111201197,0.0015682000891960202,60
directed_nonnormal,4,0.017537536000995082,0.017636774363416482,0.01062156004731303,0.002687625511367048,60
directed_nonnormal,8,0.003287120490988224,0.005348773681310607,0.006333608828795496,0.0016026241523340583,60
directed_nonnormal,16,5.210344228105072e-05,0.0006310583017742194,0.0013059562894948756,0.00033045253472578103,60
metastable_reversible,2,8.275781130147035e-17,8.958873169717145e-17,3.8509916400883643e-17,9.744353305784865e-18,60
metastable_reversible,4,7.727650984390433e-17,9.018116588409242e-17,5.132493881884767e-17,1.298700137498009e-17,60
metastable_reversible,8,1.2687558286156395e-16,1.4871552233519712e-16,1.0181738637931899e-16,2.576335339769593e-17,60
metastable_reversible,16,2.3052647872528525e-16,2.692784152431892e-16,1.9511152626374856e-16,4.9370027869010467e-17,60
reversible,2,1.6653345369377348e-16,1.7312540290248534e-16,5.980680936763883e-17,1.5133210742483573e-17,60
reversible,4,1.452211367032013e-16,1.5632336694945284e-16,5.516785535436083e-17,1.3959393422183385e-17,60
reversible,8,6.845962289122757e-17,7.678629557591624e-17,3.0482827151902005e-17,7.7132194844362e-18,60
reversible,16,1.2956215961201778e-17,1.5282378175853788e-17,6.194403647381447e-18,1.5674003815116616e-18,60
