dynamics,lag,conditions,spectrum_mae_median,spectrum_mae_mean,spectrum_mae_std,spectrum_mae_ci95_half_width,chapman_kolmogorov_max_abs_median,chapman_kolmogorov_max_abs_mean,chapman_kolmogorov_max_abs_std,chapman_kolmogorov_max_abs_ci95_half_width,transition_weighted_l2_median,transition_weighted_l2_mean,transition_weighted_l2_std,transition_weighted_l2_ci95_half_width
double_well,2,120,0.021939235632961518,0.023604477821209245,0.008907452912659253,0.0015937455441249985,0.051863357259879006,0.050868198130866134,0.012565936761396829,0.002248331359997482,0.028662052958612308,0.031164345083335255,0.009543094823948082,0.0017074763124724712
double_well,4,120,0.0476613830309492,0.05047472239215834,0.021902831443445243,0.003918913785904077,0.0837121011835312,0.08460225693952957,0.035054952197429386,0.006272126769793805,0.041413888078172714,0.044454541609170985,0.01848643780152891,0.003307643403992441
double_well,8,120,0.06195892754803495,0.06844361911634937,0.03208121344469957,0.005740057396761323,0.07946642737029216,0.09445560879210198,0.05975942559615824,0.010692317904705376,0.04219659699999978,0.04912637429702232,0.023573551121793053,0.004217843465236374
double_well,16,120,0.06389703806121536,0.07413143655465394,0.03672020318954276,0.006570077977008002,0.06143308129640737,0.08668610065418315,0.07220495052065495,0.012919104853477654,0.038534227691155803,0.05029106197453097,0.025217144354895676,0.004511919607686538
multi_well,2,120,0.024677444241214562,0.02844832574711979,0.008493637027606804,0.001519704487791916,0.06331123673726868,0.06457431211307801,0.008314704513065293,0.001487689398793317,0.03924594337865699,0.03954633843150409,0.0077227517479841025,0.0013817756105385592
multi_well,4,120,0.06863546581000785,0.07149602115058266,0.019226574072282347,0.003440070585491448,0.13940742785806082,0.1388108730970235,0.01923328264194242,0.003441270900902377,0.069568918382718,0.06877596513166981,0.016996625080391407,0.0030410820862762206
multi_well,8,120,0.12044922739690642,0.119087808591682,0.03261195160153785,0.005835018501900142,0.21509304140586955,0.20968294812402627,0.04778981486108889,0.008550682808681907,0.09286549027134486,0.08952560211424053,0.026290863019886184,0.004704032252541551
multi_well,16,120,0.16671905796655956,0.15476538142707286,0.04896694996168661,0.008761299001639212,0.27638109190403143,0.2640582386130169,0.09273131902130978,0.016591738170291886,0.10738496181077686,0.10098154367098784,0.03234131273880073,0.00578659506528098
ornstein_uhlenbeck,2,120,0.023896843909282834,0.025282856463053897,0.0048381488186291215,0.0008656546598798459,0.05249826760431847,0.0540666702204906,0.007356352305231056,0.001316218432186525,0.026536122912071743,0.028263832137699507,0.0069323638286696385,0.0012403572682931116
ornstein_uhlenbeck,4,120,0.04693487330457431,0.049192857481197456,0.01140555035611589,0.002040711888863213,0.10974667037097152,0.10978008129046543,0.01693175212207583,0.0030294748412799865,0.03950495095841042,0.04175112252644743,0.010262422303397255,0.0018361803288035022
ornstein_uhlenbeck,8,120,0.05845601046653395,0.06241730936712889,0.020344718536914604,0.003640132014462132,0.1534964038434084,0.14733213810827758,0.03786497394001758,0.006774903452989013,0.04527973546790735,0.048245701539151885,0.014839388797905582,0.0026551035415061036
ornstein_uhlenbeck,16,120,0.058488477784034466,0.06392935027702841,0.02654464527507792,0.004749439659390147,0.1537358529030542,0.14438106216545396,0.05804542123794702,0.010385643613491589,0.04245924568257933,0.04675927193953022,0.018018023190297116,0.00322383339603913
