dynamics,replicate,axis,axis_value,lag,trajectory_length,bins,step,diffusion,observation_stride,initial,spectrum_mae,chapman_kolmogorov_max_abs,transition_weighted_l2
ornstein_uhlenbeck,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.037643951143254244,0.06573945495931666,0.04576318909832433
ornstein_uhlenbeck,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.07802881542308268,0.14207879881931273,0.0650350478513791
ornstein_uhlenbeck,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.1128211798914828,0.2336171185482736,0.07907816170175368
ornstein_uhlenbeck,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.1331390307508581,0.22442509731678634,0.08750910770286857
double_well,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.03819833171262465,0.07100452647695649,0.046116300213695095
double_well,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.08871450304318457,0.11204343469239836,0.06857298261543514
double_well,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.13087193804682345,0.12687797718194924,0.08414966110362172
double_well,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.17534795835343206,0.12777478885052054,0.1087864560216085
multi_well,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.0507724669900884,0.08972090560760237,0.05502257435235945
multi_well,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.10483710004925381,0.14460247892751654,0.077705149985661
multi_well,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.15040612324061517,0.20103050808440948,0.09461139497946347
multi_well,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.17671261307014147,0.23405179171588192,0.10819299339065301
ornstein_uhlenbeck,1,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.035156387765072836,0.07102096154382731,0.049692109465303426
ornstein_uhlenbeck,1,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.08549286017198532,0.1800775493447535,0.07126838292315932
ornstein_uhlenbeck,1,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.12476564777164847,0.2687643322182111,0.08657310730682058
ornstein_uhlenbeck,1,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.14073700206090586,0.2830066918535754,0.09257822060155248
double_well,1,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.04267299255170757,0.09503521975698437,0.05558274582944235
double_well,1,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.09153665992478006,0.13618819571460072,0.07166698871204519
