run_id,name,dataset,method,seed,protocol,label_fraction,primary_metric,primary_value,secondary_metric,secondary_value,samples,task,evaluation_protocol
20260807-035838_cifar10-5epoch-frozen-linear-probe,cifar10-5epoch-frozen-linear-probe,cifar10,,,linear_probe,,accuracy,0.5914000272750854,top5_accuracy,,,,
20260807-041830_cifar10-gmean-frozen-probe,cifar10-gmean-frozen-probe,cifar10,fmca_av,,linear_probe,,accuracy,0.5296000242233276,top5_accuracy,,,,
20260807-041830_cifar10-paper-concat-frozen-probe,cifar10-paper-concat-frozen-probe,cifar10,,,linear_probe,,accuracy,0.48559999465942383,top5_accuracy,,,,
20260807-041830_cifar10-raw-first-frozen-probe,cifar10-raw-first-frozen-probe,cifar10,,,linear_probe,,accuracy,0.631600022315979,top5_accuracy,,,,
20260807-042428_cifar100-5epoch-frozen-linear-probe,cifar100-5epoch-frozen-linear-probe,cifar100,,,linear_probe,,accuracy,0.2621999979019165,top5_accuracy,,,,
20260807-044845_cifar100-20epoch-linear-probe,cifar100-20epoch-linear-probe,cifar100,,,linear_probe,,accuracy,0.36970001459121704,top5_accuracy,,,,
20260807-052128_cifar10-paper-concat-20epoch-linear-probe,cifar10-paper-concat-20epoch-linear-probe,cifar10,,,linear_probe,,accuracy,0.5708000063896179,top5_accuracy,0.9463000297546387,,,
20260807-052129_cifar10-gmean-matched-head-20epoch-linear-probe,cifar10-gmean-matched-head-20epoch-linear-probe,cifar10,fmca_av,,linear_probe,,accuracy,0.6740000247955322,top5_accuracy,0.9700000286102295,,,
20260807-052130_cifar10-raw-first-matched-head-20epoch-linear-probe,cifar10-raw-first-matched-head-20epoch-linear-probe,cifar10,,,linear_probe,,accuracy,0.6676999926567078,top5_accuracy,0.9668999910354614,,,
20260807-053349_imagenet1k-32step-smoke-linear-probe,imagenet1k-32step-smoke-linear-probe,imagenet1k,,,linear_probe,,accuracy,0.00146484375,top5_accuracy,0.00537109375,,,
20260807-055047_imagenet1k-32step-voc2007-multilabel-smoke,imagenet1k-32step-voc2007-multilabel-smoke,voc2007,,,frozen_multilabel_probe,1.0,mAP,0.10553652048110962,validation_mAP,0.1061953455209732,,classification,multilabel_average_precision
20260807-061336_cifar10-gmean-lowlabel-0p01,cifar10-gmean-lowlabel-0p01,cifar10,fmca_av,,linear_probe,0.01,accuracy,0.5162000060081482,top5_accuracy,0.9236000180244446,,,
20260807-061337_cifar100-lowlabel-0p01,cifar100-lowlabel-0p01,cifar100,,,linear_probe,0.01,accuracy,0.13109999895095825,top5_accuracy,0.3264999985694885,,,
20260807-061719_cifar10-simclr-5epoch-linear-probe,cifar10-simclr-5epoch-linear-probe,cifar10,simclr,,linear_probe,1.0,accuracy,0.590399980545044,top5_accuracy,0.9546999931335449,,,
20260807-061838_imagenet100-lowlabel-0p01-smoke,imagenet100-lowlabel-0p01-smoke,imagenet100,,,linear_probe,0.01,accuracy,0.01513671875,top5_accuracy,0.0625,,,
20260807-061839_cifar10-gmean-lowlabel-0p1,cifar10-gmean-lowlabel-0p1,cifar10,fmca_av,,linear_probe,0.1,accuracy,0.6190000176429749,top5_accuracy,0.9541000127792358,,,
20260807-061939_cifar10-gmean-finetune-0p01,cifar10-gmean-finetune-0p01,cifar10,fmca_av,,fine_tune,0.01,accuracy,0.5580000281333923,top5_accuracy,0.9473999738693237,,,
20260807-062221_cifar10-barlow_twins-5epoch-linear-probe,cifar10-barlow_twins-5epoch-linear-probe,cifar10,barlow_twins,,linear_probe,1.0,accuracy,0.5515000224113464,top5_accuracy,0.9463000297546387,,,
20260807-062221_cifar10-vicreg-5epoch-linear-probe,cifar10-vicreg-5epoch-linear-probe,cifar10,vicreg,,linear_probe,1.0,accuracy,0.542900025844574,top5_accuracy,0.9383000135421753,,,
20260807-062222_cifar10-spectral_contrastive-5epoch-linear-probe,cifar10-spectral_contrastive-5epoch-linear-probe,cifar10,spectral_contrastive,,linear_probe,1.0,accuracy,0.4652999937534332,top5_accuracy,0.9154999852180481,,,
20260807-062441_cifar100-finetune-0p01,cifar100-finetune-0p01,cifar100,,,fine_tune,0.01,accuracy,0.11550000309944153,top5_accuracy,0.310699999332428,,,
20260807-062442_imagenet100-finetune-0p01-smoke,imagenet100-finetune-0p01-smoke,imagenet100,,,fine_tune,0.01,accuracy,0.01123046875,top5_accuracy,0.05419921875,,,
20260807-062443_cifar10-gmean-finetune-0p1,cifar10-gmean-finetune-0p1,cifar10,fmca_av,,fine_tune,0.1,accuracy,0.7174999713897705,top5_accuracy,0.9789000153541565,,,
20260807-063226_cifar10-fastsiam-5epoch-linear-probe,cifar10-fastsiam-5epoch-linear-probe,cifar10,fastsiam,,linear_probe,1.0,accuracy,0.3508000075817108,top5_accuracy,0.8424000144004822,,,
20260807-063447_cifar100-finetune-0p1,cifar100-finetune-0p1,cifar100,,,fine_tune,0.1,accuracy,0.3199999928474426,top5_accuracy,0.6258000135421753,,,
20260807-063949_imagenet100-finetune-0p1-smoke,imagenet100-finetune-0p1-smoke,imagenet100,,,fine_tune,0.1,accuracy,0.0185546875,top5_accuracy,0.0859375,,,
20260807-064230_cifar10-byol-5epoch-linear-probe,cifar10-byol-5epoch-linear-probe,cifar10,byol,,linear_probe,1.0,accuracy,0.3653999865055084,top5_accuracy,0.8546000123023987,,,
20260807-064231_cifar10-moco_v2-5epoch-linear-probe,cifar10-moco_v2-5epoch-linear-probe,cifar10,moco_v2,,linear_probe,1.0,accuracy,0.5388000011444092,top5_accuracy,0.9376000165939331,,,
20260807-064733_cifar10-dino-5epoch-linear-probe,cifar10-dino-5epoch-linear-probe,cifar10,dino,,linear_probe,1.0,accuracy,0.43939998745918274,top5_accuracy,0.9010000228881836,,,
20260807-064919_coco2017-fmca-detection-32step-smoke-fixed,coco2017-fmca-detection-32step-smoke-fixed,coco2017,fmca_av,,transfer,,bbox_AP,0.0,bbox_AP50,0.0,200,detection,legacy_custom_coco_style_101_point
20260807-073728_coco2017-fmca-maskrcnn-16step-smoke-fixed-v2,coco2017-fmca-maskrcnn-16step-smoke-fixed-v2,coco2017,fmca_av,,transfer,,segm_AP,0.0,segm_AP50,0.0,100,instance_segmentation,legacy_custom_coco_style_101_point
20260807-073908_cifar100-lowlabel-0p1,cifar100-lowlabel-0p1,cifar100,,,linear_probe,0.1,accuracy,0.2655999958515167,top5_accuracy,0.5274999737739563,,,
20260807-074410_imagenet100-lowlabel-0p1-smoke,imagenet100-lowlabel-0p1-smoke,imagenet100,,,linear_probe,0.1,accuracy,0.02099609375,top5_accuracy,0.0888671875,,,
20260807-080416_cifar10-gmean-lowlabel-1p0,cifar10-gmean-lowlabel-1p0,cifar10,fmca_av,,linear_probe,1.0,accuracy,0.6736000180244446,top5_accuracy,0.9707000255584717,,,
20260807-104424_cifar100-lowlabel-1p0,cifar100-lowlabel-1p0,cifar100,,,linear_probe,1.0,accuracy,0.36570000648498535,top5_accuracy,0.6607999801635742,,,
20260807-105425_imagenet100-lowlabel-1p0-smoke,imagenet100-lowlabel-1p0-smoke,imagenet100,,,linear_probe,1.0,accuracy,0.01708984375,top5_accuracy,0.08544921875,,,
20260807-132419_cifar10-regular-fmca-m1-linear-probe,cifar10-regular-fmca-m1-linear-probe,cifar10,regular_fmca,,linear_probe,1.0,accuracy,0.311599999666214,top5_accuracy,0.8253999948501587,,,
20260807-133950_cifar10-dcca-5epoch-linear-probe,cifar10-dcca-5epoch-linear-probe,cifar10,dcca,,linear_probe,1.0,accuracy,0.4345000088214874,top5_accuracy,0.8974999785423279,,,
20260807-134451_cifar10-vamp2-5epoch-linear-probe,cifar10-vamp2-5epoch-linear-probe,cifar10,vamp2,,linear_probe,1.0,accuracy,0.4442000091075897,top5_accuracy,0.9070000052452087,,,
