epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.803600013256073,0.5432530641555786,0.9905999898910522,0.803600013256073
0,175,,,,0.7853555679321289,0.6157018542289734,0.9810666441917419,,,,
1,351,,,,,,,0.8046000003814697,0.526852011680603,0.9922000169754028,0.8046000003814697
1,351,,,,0.8234666585922241,0.4977482557296753,0.9905999898910522,,,,
2,527,,,,,,,0.8158000111579895,0.5020617246627808,0.9918000102043152,0.8158000111579895
2,527,,,,0.8285777568817139,0.4830108880996704,0.9916666746139526,,,,
3,703,,,,,,,0.8194000124931335,0.49431630969047546,0.9923999905586243,0.8194000124931335
3,703,,,,0.8349999785423279,0.4644489288330078,0.9926221966743469,,,,
4,879,,,,,,,0.8222000002861023,0.48197948932647705,0.9932000041007996,0.8222000002861023
4,879,,,,0.8360888957977295,0.45811328291893005,0.9926000237464905,,,,
5,1055,,,,,,,0.8181999921798706,0.5059897899627686,0.9929999709129333,0.8181999921798706
5,1055,,,,0.8378000259399414,0.4540916979312897,0.9930222034454346,,,,
6,1231,,,,,,,0.8238000273704529,0.48422378301620483,0.9923999905586243,0.8238000273704529
6,1231,,,,0.8404889106750488,0.448186457157135,0.9925777912139893,,,,
7,1407,,,,,,,0.8253999948501587,0.4839116334915161,0.9923999905586243,0.8253999948501587
7,1407,,,,0.8410221934318542,0.4465276002883911,0.9932000041007996,,,,
8,1583,,,,,,,0.8327999711036682,0.47076666355133057,0.9926000237464905,0.8327999711036682
8,1583,,,,0.8412222266197205,0.44234150648117065,0.9933333396911621,,,,
9,1759,,,,,,,0.8303999900817871,0.4705964922904968,0.9919999837875366,0.8303999900817871
9,1759,,,,0.8440222144126892,0.4387001693248749,0.9926000237464905,,,,
10,1935,,,,,,,0.8302000164985657,0.46189814805984497,0.9932000041007996,0.8302000164985657
10,1935,,,,0.8452444672584534,0.43067851662635803,0.9938444495201111,,,,
11,2111,,,,,,,0.8276000022888184,0.4709669053554535,0.9923999905586243,0.8276000022888184
11,2111,,,,0.8454889059066772,0.43134167790412903,0.993755578994751,,,,
12,2287,,,,,,,0.8256000280380249,0.4817807078361511,0.9922000169754028,0.8256000280380249
12,2287,,,,0.8469333052635193,0.42842477560043335,0.9939777851104736,,,,
13,2463,,,,,,,0.8295999765396118,0.4570833146572113,0.993399977684021,0.8295999765396118
13,2463,,,,0.8480888605117798,0.4241252541542053,0.9940444231033325,,,,
14,2639,,,,,,,0.8317999839782715,0.4620590806007385,0.9927999973297119,0.8317999839782715
14,2639,,,,0.846822202205658,0.4274780750274658,0.9935111403465271,,,,
15,2815,,,,,,,0.8289999961853027,0.4704669415950775,0.9918000102043152,0.8289999961853027
15,2815,,,,0.8492222428321838,0.42129674553871155,0.9941777586936951,,,,
16,2991,,,,,,,0.8343999981880188,0.46298158168792725,0.9937999844551086,0.8343999981880188
16,2991,,,,0.848800003528595,0.4236292839050293,0.9936666488647461,,,,
17,3167,,,,,,,0.8345999717712402,0.4586627781391144,0.9945999979972839,0.8345999717712402
17,3167,,,,0.8473555445671082,0.4237135052680969,0.9938444495201111,,,,
18,3343,,,,,,,0.8330000042915344,0.4612217843532562,0.9936000108718872,0.8330000042915344
18,3343,,,,0.8507111072540283,0.41639214754104614,0.9938666820526123,,,,
19,3519,,,,,,,0.8342000246047974,0.4571067988872528,0.9937999844551086,0.8342000246047974
19,3519,,,,0.8490666747093201,0.41890451312065125,0.9938444495201111,,,,
20,3695,,,,,,,0.8241999745368958,0.469563364982605,0.9947999715805054,0.8241999745368958
20,3695,,,,0.8524444699287415,0.41403329372406006,0.9944444298744202,,,,
21,3871,,,,,,,0.8270000219345093,0.46579575538635254,0.9937999844551086,0.8270000219345093
21,3871,,,,0.8501999974250793,0.41747355461120605,0.9937111139297485,,,,
22,4047,,,,,,,0.8303999900817871,0.45884639024734497,0.9944000244140625,0.8303999900817871
22,4047,,,,0.8534888625144958,0.41591063141822815,0.99391108751297,,,,
23,4223,,,,,,,0.8348000049591064,0.45347484946250916,0.9940000176429749,0.8348000049591064
23,4223,,,,0.8529999852180481,0.4109967052936554,0.9944888949394226,,,,
24,4399,,,,,,,0.8342000246047974,0.45121338963508606,0.9936000108718872,0.8342000246047974
24,4399,,,,0.8527777791023254,0.41036462783813477,0.9946222305297852,,,,
25,4575,,,,,,,0.8381999731063843,0.44987422227859497,0.9929999709129333,0.8381999731063843
25,4575,,,,0.8528888821601868,0.4112408459186554,0.9944444298744202,,,,
26,4751,,,,,,,0.8299999833106995,0.4650937616825104,0.9927999973297119,0.8299999833106995
26,4751,,,,0.8517777919769287,0.4122615158557892,0.9946222305297852,,,,
27,4927,,,,,,,0.8303999900817871,0.4549029767513275,0.993399977684021,0.8303999900817871
27,4927,,,,0.8537999987602234,0.40706467628479004,0.9946222305297852,,,,
28,5103,,,,,,,0.8360000252723694,0.4563968777656555,0.9944000244140625,0.8360000252723694
28,5103,,,,0.8534444570541382,0.4075179696083069,0.995044469833374,,,,
29,5279,,,,,,,0.8295999765396118,0.4599325656890869,0.9941999912261963,0.8295999765396118
29,5279,,,,0.8523333072662354,0.4074733853340149,0.994422197341919,,,,
30,5455,,,,,,,0.840399980545044,0.4436727464199066,0.9937999844551086,0.840399980545044
30,5455,,,,0.8541333079338074,0.40791821479797363,0.9943333268165588,,,,
31,5631,,,,,,,0.8356000185012817,0.44701841473579407,0.9945999979972839,0.8356000185012817
31,5631,,,,0.8550666570663452,0.4044080376625061,0.9948444366455078,,,,
32,5807,,,,,,,0.8331999778747559,0.4548260271549225,0.9944000244140625,0.8331999778747559
32,5807,,,,0.854888916015625,0.4053165912628174,0.9941555261611938,,,,
33,5983,,,,,,,0.8361999988555908,0.4536453187465668,0.995199978351593,0.8361999988555908
33,5983,,,,0.855044424533844,0.40443965792655945,0.9942666888237,,,,
34,6159,,,,,,,0.8348000049591064,0.4533022940158844,0.9955999851226807,0.8348000049591064
34,6159,,,,0.8549777865409851,0.4034183919429779,0.9943555593490601,,,,
35,6335,,,,,,,0.8388000130653381,0.4460964798927307,0.9944000244140625,0.8388000130653381
35,6335,,,,0.856844425201416,0.4026818871498108,0.9943333268165588,,,,
36,6511,,,,,,,0.8334000110626221,0.4597015678882599,0.9944000244140625,0.8334000110626221
36,6511,,,,0.8550000190734863,0.40126368403434753,0.9951111078262329,,,,
37,6687,,,,,,,0.8349999785423279,0.45180752873420715,0.9940000176429749,0.8349999785423279
37,6687,,,,0.8564222455024719,0.39917516708374023,0.9948889017105103,,,,
38,6863,,,,,,,0.8396000266075134,0.44360220432281494,0.9937999844551086,0.8396000266075134
38,6863,,,,0.8574000000953674,0.3992503583431244,0.9943110942840576,,,,
39,7039,,,,,,,0.8357999920845032,0.4576191008090973,0.9932000041007996,0.8357999920845032
39,7039,,,,0.8558889031410217,0.3995260000228882,0.9952889084815979,,,,
40,7215,,,,,,,0.8339999914169312,0.4494691491127014,0.9936000108718872,0.8339999914169312
40,7215,,,,0.8565333485603333,0.4023072123527527,0.994533360004425,,,,
41,7391,,,,,,,0.8353999853134155,0.4463244676589966,0.9941999912261963,0.8353999853134155
41,7391,,,,0.8575778007507324,0.39995890855789185,0.9948222041130066,,,,
42,7567,,,,,,,0.8353999853134155,0.45260533690452576,0.993399977684021,0.8353999853134155
42,7567,,,,0.8570888638496399,0.3982764184474945,0.9945111274719238,,,,
