dynamics,lag,conditions,spectrum_mae_median,spectrum_mae_mean,spectrum_mae_std,spectrum_mae_ci95_half_width,chapman_kolmogorov_max_abs_median,chapman_kolmogorov_max_abs_mean,chapman_kolmogorov_max_abs_std,chapman_kolmogorov_max_abs_ci95_half_width,transition_weighted_l2_median,transition_weighted_l2_mean,transition_weighted_l2_std,transition_weighted_l2_ci95_half_width
double_well,2,120,0.021454065428549943,0.02350229995408918,0.008783570712739795,0.001571580206171043,0.049281970326392754,0.050476039515261056,0.011827720460065257,0.00211624770461542,0.028412988827697966,0.030979741987678458,0.009403718472458918,0.0016825387190526325
double_well,4,120,0.04749998134129335,0.050520696307360516,0.02186314341021568,0.00391181269575688,0.08469123483085078,0.08548012635781646,0.032681439090957505,0.005847451391270529,0.041458904074310285,0.04435522388289111,0.018383197739414655,0.0032891714131120914
double_well,8,120,0.06115520350273204,0.06892769852038937,0.03238942421250093,0.0057952033001583145,0.08281182695240152,0.09652471519729922,0.05752425233375471,0.010292394664893439,0.04213302108759731,0.04946042227833658,0.023800957856722708,0.004258531692729901
double_well,16,120,0.06621268206930553,0.07396637353358067,0.03712919205339459,0.006643255369664687,0.06369536237319037,0.0865972606006451,0.07158863476160843,0.012808831972510924,0.03798933669996681,0.050127031994740674,0.02542467051176731,0.0045490507484342475
multi_well,2,120,0.025348505400000037,0.02847632975516765,0.00854347224466507,0.0015286211394886357,0.06347517534179592,0.0647496455189185,0.008879860718600594,0.0015888086742066494,0.03833361908175711,0.039468479953430766,0.008228030836686887,0.001472181510413161
multi_well,4,120,0.06888104411272346,0.0718038194355998,0.020265838506398633,0.0036260185862590356,0.1405493613113487,0.14038515761677478,0.020517672412085516,0.003671077389149552,0.07022359358575288,0.06890238397126199,0.017393297289252572,0.0031120557497409168
multi_well,8,120,0.12184417906501921,0.11931569936267789,0.03480243865835031,0.006226946365060309,0.21343907571285722,0.20999604233537042,0.04740371330497873,0.008481600474970576,0.09192470955212981,0.08966005436605796,0.027189239640786143,0.004864772225072928
multi_well,16,120,0.16379731879578285,0.15386966199609745,0.05100136453832565,0.009125301954920437,0.28176520211144074,0.26611304696278576,0.09279452467155454,0.016603047096022828,0.10518884441259177,0.10064524630699007,0.033965315050366256,0.006077165947112736
ornstein_uhlenbeck,2,120,0.024150013160311075,0.025698930393925772,0.005327624776176787,0.0009532330208262431,0.05289896103880665,0.0548572518845647,0.00832882678254126,0.0014902161934080007,0.026407875593186907,0.028479908451592505,0.007246823247361858,0.0012966211971920905
ornstein_uhlenbeck,4,120,0.04805204739174159,0.04962527870095037,0.01160800328849311,0.0020769353145759293,0.11002760375043324,0.11086588451863809,0.0185541267792556,0.00331975449879093,0.03960323071754422,0.04182844919755859,0.010174946558564362,0.0018205289321681852
ornstein_uhlenbeck,8,120,0.05949403809318825,0.06342494473293762,0.020748767945747277,0.0037124256264797974,0.15372458440003778,0.14954247028932474,0.04000135972529082,0.007157151370457343,0.046081460790801665,0.048717596806878566,0.014751456713949734,0.0026393704954418254
ornstein_uhlenbeck,16,120,0.05976207543630121,0.06489548572696541,0.027686144904307132,0.004953679857518937,0.15191326004099098,0.14669974792952317,0.06073674419685708,0.010867182389572941,0.043408814046268826,0.047290129866143546,0.018106994076143558,0.0032397523073446387
