dynamics,replicate,axis,axis_value,lag,trajectory_length,bins,step,diffusion,observation_stride,initial,spectrum_mae,chapman_kolmogorov_max_abs,transition_weighted_l2
ornstein_uhlenbeck,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.03007861691708859,0.04663270460381047,0.04728214822374224
ornstein_uhlenbeck,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.05911315910870112,0.09268129752774129,0.05623703135278785
ornstein_uhlenbeck,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.11381972427797116,0.17273795082572613,0.07553278306556281
ornstein_uhlenbeck,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.1267199457458422,0.13795727208565667,0.08024114380802515
double_well,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.037859274903496914,0.06307216179627101,0.04950040839077768
double_well,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.09262881106463386,0.14473418823254913,0.07354334985713398
double_well,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.1312031668399676,0.10332376141240837,0.0860756943939957
double_well,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.16338018189054482,0.11957013357106101,0.10273489596491318
multi_well,0,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.055717930860611165,0.0928752977602949,0.0627399436423677
multi_well,0,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.13359538337979582,0.18269226490878732,0.09484526829637115
multi_well,0,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.2096182778335953,0.2550087398436169,0.12420636164959346
multi_well,0,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.2621634044392103,0.28299384217276813,0.151959814463217
ornstein_uhlenbeck,1,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.04016382289013963,0.08450886473848801,0.05654128907196445
ornstein_uhlenbeck,1,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.0790708880581863,0.14230753846295152,0.06608385309632843
ornstein_uhlenbeck,1,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.11721309163774787,0.23237101067674476,0.08175265870471586
ornstein_uhlenbeck,1,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.14791111118749212,0.25242591639923107,0.09459187875778713
double_well,1,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.04157670347603144,0.08092120756240218,0.0525674263434647
double_well,1,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.10048756666650294,0.1431982877108987,0.07744193613299878
double_well,1,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.1498901587421934,0.20633718210064833,0.0955139081290843
double_well,1,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.17652131591865566,0.16739234895033006,0.11021668694183828
multi_well,1,trajectory_length,10000,2,10000,32,0.02,0.18,1,equilibrium,0.04006525043462977,0.08727494759722987,0.0559815042207579
multi_well,1,trajectory_length,10000,4,10000,32,0.02,0.18,1,equilibrium,0.10315011316403501,0.16325571935929822,0.08824788564939463
multi_well,1,trajectory_length,10000,8,10000,32,0.02,0.18,1,equilibrium,0.19288815111082494,0.2483107651383059,0.1227387065108126
multi_well,1,trajectory_length,10000,16,10000,32,0.02,0.18,1,equilibrium,0.25049637751229664,0.29060206574586817,0.1419328849693087
