states,replicate,chain,lag,direct_singular_values,mae,max_error,one_step_power_prediction
8,0,reversible,2,"[0.5582236234585047, 0.5392132599094345, 0.4835194853069719, 0.47866944529512273, 0.4191522401198037, 0.3920996586133379, 0.34961954860879246]",1.189524669241239e-16,2.220446049250313e-16,"[0.5582236234585048, 0.5392132599094344, 0.48351948530697175, 0.47866944529512295, 0.41915224011980357, 0.39209965861333784, 0.3496195486087925]"
8,0,reversible,4,"[0.3116136137871424, 0.2907509396621593, 0.23379109267151893, 0.2291244378591406, 0.1756886003974495, 0.15374214228469613, 0.1222338287694157]",1.0507467911630945e-16,2.220446049250313e-16,"[0.31161361378714264, 0.2907509396621592, 0.23379109267151885, 0.2291244378591407, 0.17568860039744946, 0.15374214228469607, 0.12223382876941585]"
8,0,reversible,8,"[0.09710304429748236, 0.08453610891442868, 0.05465827501254273, 0.05249800802426719, 0.03086648430961471, 0.023636646314287742, 0.014941108895630849]",5.600678651010834e-17,1.5265566588595902e-16,"[0.09710304429748248, 0.08453610891442853, 0.054658275012542716, 0.052498008024267226, 0.030866484309614677, 0.023636646314287732, 0.014941108895630873]"
8,0,reversible,16,"[0.009429001211838824, 0.007146353710392176, 0.002987527027346773, 0.002756040846516038, 0.0009527398536356729, 0.0005586910489867443, 0.00022323673503110654]",2.0448827403199818e-17,5.377642775528102e-17,"[0.009429001211838844, 0.007146353710392122, 0.002987527027346752, 0.0027560408465160256, 0.000952739853635689, 0.0005586910489867318, 0.0002232367350311]"
8,0,metastable_reversible,2,"[0.9874645145667971, 0.3874561726579724, 0.2848506491663207, 0.16967721993398963, 0.14199019026044143, 0.028878032694673164, 0.005239773439405821]",1.3629970168389198e-16,3.3306690738754696e-16,"[0.9874645145667974, 0.38745617265797216, 0.28485064916632075, 0.16967721993398951, 0.14199019026044127, 0.028878032694673147, 0.005239773439405773]"
8,0,metastable_reversible,4,"[0.9750861675286405, 0.15012228573076436, 0.08113989233047436, 0.028790358964527463, 0.020161214130196323, 0.0008339407723146294, 2.745522569635784e-05]",8.588672075745104e-17,4.440892098500626e-16,"[0.975086167528641, 0.15012228573076433, 0.08113989233047433, 0.02879035896452745, 0.02016121413019631, 0.0008339407723146112, 2.7455225696302204e-05]"
8,0,metastable_reversible,8,"[0.9507930341056924, 0.02253670067302925, 0.00658368212740094, 0.0008288847693063802, 0.0004064745552036274, 6.954572116885108e-07, 7.537894050615675e-10]",7.989403212402724e-17,4.440892098500626e-16,"[0.9507930341056928, 0.02253670067302925, 0.006583682127400968, 0.0008288847693063461, 0.0004064745552036273, 6.954572117286901e-07, 7.537894180348928e-10]"
8,0,metastable_reversible,16,"[0.904007393703908, 0.0005079028772257337, 4.334487035468647e-05, 6.870499607960186e-07, 1.6522156404295863e-07, 4.836228082996475e-13, 6.432902503589442e-18]",1.7444225694681441e-16,1.1102230246251565e-15,"[0.9040073937039091, 0.0005079028772257172, 4.334487035465893e-05, 6.870499607880346e-07, 1.6522156402798666e-07, 4.836607333454441e-13, 5.681984867413824e-19]"
8,0,directed_cycle_normal,2,"[0.81611222920257, 0.8161122292025699, 0.5266000000000002, 0.5266000000000001, 0.49000000000000005, 0.4554877707974305, 0.4554877707974304]",2.7755575615628914e-16,4.440892098500626e-16,"[0.8161122292025695, 0.8161122292025695, 0.5266, 0.5265999999999996, 0.4900000000000001, 0.4554877707974304, 0.4554877707974301]"
8,0,directed_cycle_normal,4,"[0.6660391706539875, 0.6660391706539874, 0.2773075600000001, 0.27730755999999995, 0.24009999999999992, 0.20746910934601256, 0.20746910934601237]",1.942890293094024e-16,3.885780586188048e-16,"[0.6660391706539873, 0.6660391706539873, 0.2773075599999999, 0.27730755999999956, 0.2401000000000001, 0.20746910934601248, 0.2074691093460122]"
8,0,directed_cycle_normal,8,"[0.4436081768454517, 0.4436081768454515, 0.0768994828331536, 0.07689948283315357, 0.057648010000000034, 0.04304343133282775, 0.04304343133282772]",1.5463820700136108e-16,3.885780586188048e-16,"[0.4436081768454513, 0.4436081768454513, 0.07689948283315355, 0.07689948283315337, 0.05764801000000004, 0.04304343133282768, 0.04304343133282757]"
8,0,directed_cycle_normal,16,"[0.19678821456414547, 0.19678821456414544, 0.005913530460006532, 0.005913530460006505, 0.0033232930569600952, 0.0018527369809038495, 0.0018527369809038209]",1.0368070489454239e-16,3.0531133177191805e-16,"[0.19678821456414516, 0.19678821456414516, 0.005913530460006478, 0.00591353046000645, 0.003323293056960105, 0.0018527369809038519, 0.001852736980903842]"
