epoch,step,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/invalid_batch,train/leaf_trace,train/loss,train/retained_min,train/whitening,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/invalid_batch,val/leaf_trace,val/loss,val/retained_min,val/whitening,val_score
0,116,0.7396199703216553,5.138852596282959,26.055267333984375,0.0,18.71526527404785,65.62935638427734,33.74359130859375,0.023146718740463257,,,,,,,,,,
1,233,0.6852733492851257,8.024051666259766,39.538631439208984,0.0,21.473587036132812,50.3327522277832,40.589744567871094,0.023142939433455467,,,,,,,,,,
2,350,0.5401859283447266,10.952885627746582,46.463409423828125,0.0,26.336048126220703,22.585159301757812,41.38461685180664,0.022968340665102005,,,,,,,,,,
3,467,0.46273037791252136,13.68242073059082,53.2911491394043,0.0,32.47450256347656,2.437138080596924,39.85470199584961,0.022785788401961327,,,,,,,,,,
4,584,0.435459166765213,16.406085968017578,60.338077545166016,0.0,38.1785774230957,-10.890923500061035,41.735042572021484,0.022589363157749176,,,,,,,,,,
5,701,0.395622581243515,18.786319732666016,65.49945068359375,0.0,43.33659744262695,-24.560693740844727,43.367523193359375,0.02240070328116417,,,,,,,,,,
6,818,0.36490222811698914,20.72841453552246,68.99441528320312,0.0,47.676673889160156,-35.47382354736328,44.72649383544922,0.022682692855596542,,,,,,,,,,
7,935,0.33731362223625183,22.156715393066406,71.64876556396484,0.0,51.24239730834961,-44.528900146484375,45.0512809753418,0.023819906637072563,,,,,,,,,,
8,1052,0.32523903250694275,23.492782592773438,73.7505111694336,0.0,53.64661407470703,-50.233524322509766,46.05982971191406,0.025373069569468498,,,,,,,,,,
9,1169,,,,,,,,,2.9109554290771484,0.34653034806251526,24.539749145507812,75.33316802978516,0.0,53.93830490112305,-49.164798736572266,47.84479904174805,0.02399536408483982,49.164798736572266
9,1169,0.3159913718700409,24.962135314941406,75.73493194580078,0.0,55.68165969848633,-55.318077087402344,47.64102554321289,0.025844333693385124,,,,,,,,,,
10,1286,0.30583661794662476,26.147193908691406,77.74681854248047,0.0,57.50953674316406,-60.03233337402344,48.92307662963867,0.026656050235033035,,,,,,,,,,
11,1403,0.2924034297466278,27.684389114379883,79.71064758300781,0.0,59.53103256225586,-65.70313262939453,50.74359130859375,0.026778999716043472,,,,,,,,,,
12,1520,0.2836068868637085,29.217870712280273,81.84845733642578,0.0,61.26932907104492,-70.5285873413086,52.66666793823242,0.02660929225385189,,,,,,,,,,
13,1637,0.2733137905597687,30.923442840576172,83.85497283935547,0.0,63.141822814941406,-75.82533264160156,54.68376159667969,0.026757406070828438,,,,,,,,,,
14,1754,0.26918137073516846,32.43751525878906,86.23883056640625,0.0,64.69820404052734,-79.90166473388672,56.71794891357422,0.026593269780278206,,,,,,,,,,
15,1871,0.2628043591976166,33.68975067138672,87.84402465820312,0.0,66.14546203613281,-83.7394027709961,57.92307662963867,0.02565327286720276,,,,,,,,,,
16,1988,0.25454285740852356,34.41535186767578,88.73223114013672,0.0,67.31792449951172,-86.87274932861328,58.14529800415039,0.025481337681412697,,,,,,,,,,
17,2105,0.24778349697589874,35.317813873291016,90.27114868164062,0.0,68.47671508789062,-90.10777282714844,59.02564239501953,0.02468125708401203,,,,,,,,,,
18,2222,0.2433760017156601,36.26948547363281,92.37178039550781,0.0,69.42695617675781,-92.99474334716797,59.905982971191406,0.02392934262752533,,,,,,,,,,
19,2339,,,,,,,,,3.0799143314361572,0.2660231590270996,35.86025619506836,93.90632629394531,0.0,69.00532531738281,-89.5698013305664,59.928001403808594,0.02607460878789425,89.5698013305664
19,2339,0.23668868839740753,36.859554290771484,94.53043365478516,0.0,70.5128402709961,-95.95894622802734,60.0,0.02341112121939659,,,,,,,,,,
20,2456,0.23286227881908417,37.222713470458984,96.20764923095703,0.0,71.23916625976562,-97.87357330322266,60.0,0.023470524698495865,,,,,,,,,,
21,2573,0.227103129029274,37.7154655456543,97.84002685546875,0.0,72.16332244873047,-100.35462951660156,60.008548736572266,0.0229725930839777,,,,,,,,,,
22,2690,0.2266755998134613,38.698097229003906,99.90774536132812,0.0,72.71812438964844,-102.36080169677734,61.487178802490234,0.02250576764345169,,,,,,,,,,
23,2807,0.2231074571609497,39.66065216064453,101.63340759277344,0.0,73.57523345947266,-104.98255920410156,62.33333206176758,0.022266006097197533,,,,,,,,,,
24,2924,0.2221921980381012,40.89563751220703,104.29752349853516,0.0,74.30176544189453,-107.59398651123047,64.14530181884766,0.022348793223500252,,,,,,,,,,
25,3041,0.22002916038036346,41.748592376708984,106.22547912597656,0.0,74.77017974853516,-109.578125,65.14530181884766,0.02200307510793209,,,,,,,,,,
26,3158,0.2201259285211563,42.88835525512695,108.78630065917969,0.0,75.46965789794922,-111.9172592163086,66.75213623046875,0.02186799794435501,,,,,,,,,,
27,3275,0.2191792130470276,44.265533447265625,111.40652465820312,0.0,76.0155258178711,-114.48576354980469,68.70085144042969,0.02163381688296795,,,,,,,,,,
28,3392,0.21771574020385742,45.134910583496094,113.62329864501953,0.0,76.77105712890625,-116.74164581298828,69.46154022216797,0.021367879584431648,,,,,,,,,,
29,3509,,,,,,,,,3.3185369968414307,0.2453981637954712,45.173709869384766,115.94450378417969,0.0,75.28632354736328,-112.21573638916016,71.8832015991211,0.02223760075867176,112.21573638916016
29,3509,0.21643579006195068,46.15266418457031,116.35230255126953,0.0,77.15631866455078,-118.85423278808594,71.0,0.02144297957420349,,,,,,,,,,
30,3626,0.21279999613761902,47.196990966796875,118.70757293701172,0.0,77.79196166992188,-121.47077941894531,72.29914855957031,0.021270249038934708,,,,,,,,,,
31,3743,0.2119303196668625,48.20351791381836,121.21846008300781,0.0,78.1848373413086,-123.48389434814453,73.5042724609375,0.021075330674648285,,,,,,,,,,
32,3860,0.2134808599948883,49.1997184753418,123.07709503173828,0.0,78.4828109741211,-124.95137786865234,75.19657897949219,0.02099262736737728,,,,,,,,,,
33,3977,0.2116738110780716,50.31342315673828,125.7349853515625,0.0,78.96546173095703,-127.31076049804688,76.77777862548828,0.02086184173822403,,,,,,,,,,
34,4094,0.21081355214118958,51.16899490356445,128.14894104003906,0.0,79.32543182373047,-129.1192169189453,77.81196594238281,0.020841307938098907,,,,,,,,,,
35,4211,0.2097606360912323,52.32102584838867,131.18959045410156,0.0,79.73719024658203,-131.42617797851562,79.69230651855469,0.02059813216328621,,,,,,,,,,
36,4328,0.2081804871559143,53.39784240722656,133.6759033203125,0.0,80.31615447998047,-133.78158569335938,80.71794891357422,0.02048875205218792,,,,,,,,,,
37,4445,0.2078886777162552,54.90582275390625,136.7987823486328,0.0,80.6604232788086,-136.2958526611328,83.36752319335938,0.020386407151818275,,,,,,,,,,
38,4562,0.20776639878749847,56.19749069213867,140.1319580078125,0.0,81.05276489257812,-138.66229248046875,85.34188079833984,0.02027399279177189,,,,,,,,,,
39,4679,,,,,,,,,3.5936295986175537,0.2375946342945099,54.74433135986328,140.58969116210938,0.0,78.88075256347656,-131.31031799316406,86.80799865722656,0.0205551665276289,131.31031799316406
39,4679,0.20558428764343262,56.95143508911133,142.5078887939453,0.0,81.45003509521484,-140.5681915283203,86.32478332519531,0.020110631361603737,,,,,,,,,,
40,4796,0.2054915428161621,58.39987564086914,145.74087524414062,0.0,81.76493835449219,-142.98995971679688,88.83760833740234,0.02009928785264492,,,,,,,,,,
41,4913,0.20556192100048065,59.88398361206055,148.3223419189453,0.0,82.19166564941406,-145.40805053710938,91.23076629638672,0.02013256400823593,,,,,,,,,,
42,5030,0.20501194894313812,60.915348052978516,150.4561309814453,0.0,82.5546875,-147.2995147705078,92.68376159667969,0.020178373903036118,,,,,,,,,,
43,5147,0.20428647100925446,62.048301696777344,153.44456481933594,0.0,82.69374084472656,-149.2620849609375,94.76068115234375,0.020237190648913383,,,,,,,,,,
44,5264,0.20282670855522156,63.050052642822266,156.0651092529297,0.0,82.98615264892578,-151.2671661376953,96.31623840332031,0.02024744637310505,,,,,,,,,,
45,5381,0.20128795504570007,63.98910903930664,158.4720458984375,0.0,83.35810852050781,-153.2563934326172,97.76923370361328,0.020300621166825294,,,,,,,,,,
46,5498,0.20069284737110138,65.1469955444336,160.6261444091797,0.0,83.59842681884766,-155.16160583496094,99.63247680664062,0.020328577607870102,,,,,,,,,,
47,5615,0.20011712610721588,66.23857879638672,163.37416076660156,0.0,84.01000213623047,-157.28805541992188,101.26495361328125,0.020367860794067383,,,,,,,,,,
48,5732,0.19704075157642365,67.05781555175781,165.58998107910156,0.0,84.30287170410156,-159.23699951171875,102.4871826171875,0.020467733964323997,,,,,,,,,,
49,5849,,,,,,,,,3.837641716003418,0.22977514564990997,64.5521469116211,164.5142059326172,0.0,81.73509979248047,-149.75799560546875,104.57440185546875,0.020868025720119476,149.75799560546875
49,5849,0.1969611793756485,68.14895629882812,167.8412322998047,0.0,84.45071411132812,-160.93641662597656,104.36752319335938,0.02049013040959835,,,,,,,,,,
50,5966,0.1950560361146927,69.0680160522461,169.877685546875,0.0,84.77490997314453,-162.83074951171875,105.75213623046875,0.020533233880996704,,,,,,,,,,
51,6083,0.1952349692583084,69.67770385742188,171.86007690429688,0.0,84.94661712646484,-163.98568725585938,106.77777862548828,0.020559830591082573,,,,,,,,,,
52,6200,0.19201688468456268,70.0442123413086,173.68026733398438,0.0,85.1446762084961,-165.3262176513672,107.07691955566406,0.020569171756505966,,,,,,,,,,
53,6317,0.1917678862810135,71.14584350585938,175.72499084472656,0.0,85.47515869140625,-167.19915771484375,108.76068115234375,0.020620759576559067,,,,,,,,,,
54,6434,0.19140839576721191,72.2237548828125,178.6015167236328,0.0,85.70711517333984,-169.13018798828125,110.73504638671875,0.020695174112915993,,,,,,,,,,
55,6551,0.18965668976306915,73.018798828125,180.4198455810547,0.0,85.85445404052734,-170.66049194335938,112.11965942382812,0.020723752677440643,,,,,,,,,,
56,6668,0.18740494549274445,73.80498504638672,182.00155639648438,0.0,86.05831909179688,-172.2549591064453,113.4017105102539,0.020773928612470627,,,,,,,,,,
57,6785,0.1883234828710556,74.7391586303711,184.20591735839844,0.0,86.13550567626953,-173.58966064453125,115.30769348144531,0.020815718919038773,,,,,,,,,,
58,6902,0.18762625753879547,75.61381530761719,185.84609985351562,0.0,86.32882690429688,-175.07492065429688,116.76068115234375,0.020839951932430267,,,,,,,,,,
59,7019,,,,,,,,,3.9552996158599854,0.22137205302715302,71.17545318603516,182.34730529785156,0.0,83.4041976928711,-162.69236755371094,117.34880065917969,0.021108105778694153,162.69236755371094
59,7019,0.1885358989238739,76.33563995361328,187.43309020996094,0.0,86.61587524414062,-176.2845916748047,117.74359130859375,0.02085329405963421,,,,,,,,,,
60,7136,0.1852925717830658,76.95039367675781,188.81021118164062,0.0,86.82466888427734,-177.7987518310547,118.64957427978516,0.021013623103499413,,,,,,,,,,
61,7253,0.18695929646492004,77.40089416503906,189.25149536132812,0.0,86.92900085449219,-178.2283935546875,119.32478332519531,0.020992903038859367,,,,,,,,,,
62,7370,0.18405134975910187,77.76420593261719,190.64263916015625,0.0,87.03860473632812,-179.3517303466797,120.11111450195312,0.02104169689118862,,,,,,,,,,
63,7487,0.18165428936481476,78.39865112304688,192.14932250976562,0.0,87.33167266845703,-180.8874053955078,121.008544921875,0.02107308804988861,,,,,,,,,,
64,7604,0.18114979565143585,78.92571258544922,193.299560546875,0.0,87.4528579711914,-181.83006286621094,121.72649383544922,0.021197007969021797,,,,,,,,,,
65,7721,0.18072086572647095,79.44977569580078,193.95858764648438,0.0,87.60527038574219,-182.69314575195312,122.62393188476562,0.021377764642238617,,,,,,,,,,
66,7838,0.1793091893196106,79.7367935180664,194.8117218017578,0.0,87.8650894165039,-183.59136962890625,122.74359130859375,0.02131999470293522,,,,,,,,,,
67,7955,0.1798781007528305,80.03471374511719,195.31114196777344,0.0,87.9195327758789,-183.9708251953125,123.22222137451172,0.02131524123251438,,,,,,,,,,
68,8072,0.1778428703546524,80.48091125488281,195.94729614257812,0.0,88.11293029785156,-184.998046875,123.87179565429688,0.02143658511340618,,,,,,,,,,
69,8189,,,,,,,,,3.936249256134033,0.21142104268074036,73.79939270019531,189.23484802246094,0.0,84.67970275878906,-169.24258422851562,121.41919708251953,0.021593494340777397,169.24258422851562
69,8189,0.17818884551525116,81.02557373046875,196.91494750976562,0.0,88.32682800292969,-185.90582275390625,124.5897445678711,0.02146410383284092,,,,,,,,,,
70,8306,0.17878173291683197,81.18889617919922,197.19296264648438,0.0,88.3630142211914,-186.08486938476562,124.81196594238281,0.021541697904467583,,,,,,,,,,
71,8423,0.1760624498128891,81.36480712890625,197.8314971923828,0.0,88.60948944091797,-186.98301696777344,124.74359130859375,0.021604785695672035,,,,,,,,,,
72,8540,0.1756223440170288,81.70625305175781,197.9589385986328,0.0,88.72930145263672,-187.526123046875,125.11111450195312,0.021513720974326134,,,,,,,,,,
73,8657,0.17510902881622314,82.02030944824219,198.9052276611328,0.0,88.873046875,-188.23880004882812,125.5982894897461,0.02163371630012989,,,,,,,,,,
74,8774,0.17497733235359192,82.5167236328125,199.0007781982422,0.0,89.1305923461914,-189.02879333496094,125.75213623046875,0.021608121693134308,,,,,,,,,,
75,8891,0.17363204061985016,82.70755767822266,199.3965301513672,0.0,89.33360290527344,-189.67393493652344,125.85469818115234,0.021638784557580948,,,,,,,,,,
76,9008,0.17194576561450958,82.87911987304688,200.1765594482422,0.0,89.53765869140625,-190.42129516601562,125.94871520996094,0.021737180650234222,,,,,,,,,,
77,9125,0.17324960231781006,83.15084838867188,200.91868591308594,0.0,89.50666809082031,-190.64356994628906,126.4957275390625,0.021797314286231995,,,,,,,,,,
78,9242,0.1707906424999237,83.42650604248047,200.98876953125,0.0,89.63178253173828,-191.3730926513672,126.79486846923828,0.021743282675743103,,,,,,,,,,
79,9359,,,,,,,,,3.975236654281616,0.21000836789608002,75.77987670898438,193.28720092773438,0.0,85.51170349121094,-173.04586791992188,125.38719940185547,0.022017816081643105,173.04586791992188
79,9359,0.16967183351516724,83.67030334472656,201.56423950195312,0.0,89.8138198852539,-192.0571746826172,126.93162536621094,0.02182629518210888,,,,,,,,,,
80,9476,0.17009082436561584,83.77854919433594,201.8614044189453,0.0,89.77256774902344,-192.12989807128906,127.3931655883789,0.021858591586351395,,,,,,,,,,
81,9593,0.16873767971992493,84.34324645996094,202.2223663330078,0.0,90.09477996826172,-193.2622833251953,127.81196594238281,0.021802105009555817,,,,,,,,,,
82,9710,0.16909371316432953,84.45309448242188,202.4773406982422,0.0,90.14505767822266,-193.42771911621094,127.86325073242188,0.02189459092915058,,,,,,,,,,
83,9827,0.16946187615394592,84.31522369384766,202.6877899169922,0.0,90.11003112792969,-193.24981689453125,127.88034057617188,0.021898768842220306,,,,,,,,,,
84,9944,0.1687297374010086,84.75570678710938,202.5062713623047,0.0,90.42539978027344,-194.0630340576172,127.9059829711914,0.0219861026853323,,,,,,,,,,
85,10061,0.16603869199752808,84.96717071533203,203.055419921875,0.0,90.60248565673828,-194.90585327148438,127.93162536621094,0.02195623144507408,,,,,,,,,,
86,10178,0.16763059794902802,85.01820373535156,202.6964874267578,0.0,90.63510131835938,-194.7139434814453,127.9145278930664,0.021968597546219826,,,,,,,,,,
87,10295,0.16594864428043365,85.17481994628906,203.48904418945312,0.0,90.7979736328125,-195.40707397460938,127.97435760498047,0.022068332880735397,,,,,,,,,,
88,10412,0.16464827954769135,85.36479187011719,203.2213592529297,0.0,90.92829895019531,-195.8403778076172,127.92308044433594,0.021980876103043556,,,,,,,,,,
89,10529,,,,,,,,,3.931696891784668,0.20404793322086334,76.29855346679688,194.09918212890625,0.0,86.50640869140625,-175.48446655273438,125.77120208740234,0.022226005792617798,175.48446655273438
89,10529,0.1647295504808426,85.45542907714844,203.33383178710938,0.0,91.08735656738281,-196.10205078125,127.96581268310547,0.022081812843680382,,,,,,,,,,
90,10646,0.16244223713874817,85.58708190917969,203.83642578125,0.0,91.16948699951172,-196.7091522216797,127.95726776123047,0.022102313116192818,,,,,,,,,,
91,10763,0.16341441869735718,85.69928741455078,203.77769470214844,0.0,91.18624877929688,-196.70176696777344,127.96581268310547,0.02217366173863411,,,,,,,,,,
92,10880,0.16154998540878296,85.8539047241211,203.97019958496094,0.0,91.442138671875,-197.3894500732422,127.95726776123047,0.022211117669939995,,,,,,,,,,
93,10997,0.16097524762153625,86.15631866455078,204.15179443359375,0.0,91.67008209228516,-198.02963256835938,127.98290252685547,0.0223282128572464,,,,,,,,,,
94,11114,0.16146495938301086,86.02217102050781,204.2478485107422,0.0,91.56132507324219,-197.7433624267578,127.95726776123047,0.022171419113874435,,,,,,,,,,
95,11231,0.15956148505210876,86.22430419921875,204.52479553222656,0.0,91.73902130126953,-198.42208862304688,128.0,0.0223027803003788,,,,,,,,,,
96,11348,0.1612059324979782,86.21376037597656,204.3313446044922,0.0,91.70488739013672,-198.12832641601562,127.95726776123047,0.022233983501791954,,,,,,,,,,
97,11465,0.15977004170417786,86.66920471191406,204.65660095214844,0.0,92.10577392578125,-199.2334747314453,127.97435760498047,0.022290637716650963,,,,,,,,,,
98,11582,0.1586037278175354,86.57259368896484,204.8322296142578,0.0,92.0319595336914,-199.24749755859375,127.991455078125,0.02225622907280922,,,,,,,,,,
99,11699,,,,,,,,,3.942774534225464,0.20317979156970978,77.05675506591797,195.44931030273438,0.0,87.04741668701172,-177.16461181640625,126.92320251464844,0.022406501695513725,177.16461181640625
99,11699,0.1583375483751297,86.47847747802734,204.72625732421875,0.0,91.9537582397461,-199.08799743652344,127.97435760498047,0.022315023466944695,,,,,,,,,,
100,11816,0.15784814953804016,86.79715728759766,205.2093048095703,0.0,92.3179702758789,-199.92999267578125,127.98290252685547,0.02238069660961628,,,,,,,,,,
101,11933,0.15819314122200012,86.94254302978516,204.92396545410156,0.0,92.3172378540039,-199.973388671875,127.991455078125,0.022434744983911514,,,,,,,,,,
102,12050,0.15739376842975616,87.3049545288086,204.98977661132812,0.0,92.6577377319336,-200.7917938232422,127.991455078125,0.02243422158062458,,,,,,,,,,
103,12167,0.15846125781536102,87.27034759521484,205.06716918945312,0.0,92.59552001953125,-200.5738525390625,127.94017028808594,0.022400030866265297,,,,,,,,,,
104,12284,0.1559181958436966,87.22733306884766,205.4896697998047,0.0,92.64460754394531,-200.98989868164062,127.97435760498047,0.02245919033885002,,,,,,,,,,
105,12401,0.15515325963497162,87.5635757446289,205.00157165527344,0.0,92.8844985961914,-201.56640625,127.97435760498047,0.02239741012454033,,,,,,,,,,
106,12518,0.15485258400440216,87.57283782958984,205.53128051757812,0.0,92.94900512695312,-201.784423828125,127.991455078125,0.02251100353896618,,,,,,,,,,
107,12635,0.15509536862373352,87.82100677490234,205.65664672851562,0.0,93.13460540771484,-202.2122344970703,127.991455078125,0.022457584738731384,,,,,,,,,,
108,12752,0.15499494969844818,87.763671875,205.56314086914062,0.0,93.086669921875,-202.10107421875,127.97435760498047,0.022434458136558533,,,,,,,,,,
109,12869,,,,,,,,,3.925161600112915,0.1997794359922409,77.6561279296875,195.98069763183594,0.0,87.60102081298828,-178.85890197753906,126.79519653320312,0.02262123115360737,178.85890197753906
109,12869,0.15378256142139435,87.93341827392578,206.09912109375,0.0,93.29704284667969,-202.74363708496094,127.96581268310547,0.02248249016702175,,,,,,,,,,
110,12986,0.15275618433952332,88.00372314453125,206.26048278808594,0.0,93.35540771484375,-203.0360107421875,127.991455078125,0.022485515102744102,,,,,,,,,,
111,13103,0.15241479873657227,88.14800262451172,206.25509643554688,0.0,93.45271301269531,-203.3201446533203,127.96581268310547,0.02252103202044964,,,,,,,,,,
112,13220,0.15353111922740936,88.34951782226562,206.11227416992188,0.0,93.53571319580078,-203.4331817626953,127.96581268310547,0.02251991257071495,,,,,,,,,,
113,13337,0.15162040293216705,88.42536926269531,206.47244262695312,0.0,93.70673370361328,-203.99667358398438,127.98290252685547,0.022552210837602615,,,,,,,,,,
114,13454,0.15054315328598022,88.4494857788086,206.46832275390625,0.0,93.70191955566406,-204.15292358398438,127.991455078125,0.022597726434469223,,,,,,,,,,
115,13571,0.15068332850933075,88.70899200439453,206.126708984375,0.0,93.89225006103516,-204.51654052734375,127.98290252685547,0.022609476000070572,,,,,,,,,,
