epoch,step,train/loss,train/product_score,train/whitening,val/closure_defect_frobenius,val/loss,val/product_score,val/whitening,val_score
0,174,-0.049127791076898575,0.07223519682884216,0.023107409477233887,,,,,
1,349,-0.09352681040763855,0.11661311239004135,0.02308630757033825,,,,,
2,524,-0.1365484893321991,0.15909431874752045,0.022545883432030678,,,,,
3,699,-0.16716206073760986,0.18937592208385468,0.022213837131857872,,,,,
4,874,-0.19416718184947968,0.21616555750370026,0.02199840545654297,,,,,
5,1049,-0.21654626727104187,0.23838073015213013,0.021834498271346092,,,,,
6,1224,-0.23489004373550415,0.2566528022289276,0.021762728691101074,,,,,
7,1399,-0.23168788850307465,0.253341406583786,0.02165352925658226,,,,,
8,1574,-0.2510589361190796,0.2727030813694,0.02164418250322342,,,,,
9,1749,,,,5.225554466247559,-0.19903479516506195,0.221548929810524,0.02251414768397808,0.19903479516506195
9,1749,-0.27105140686035156,0.29253724217414856,0.021485749632120132,,,,,
10,1924,-0.23984695971012115,0.2615334093570709,0.021686464548110962,,,,,
11,2099,-0.2728377878665924,0.294066846370697,0.021229036152362823,,,,,
12,2274,-0.29418376088142395,0.3153987526893616,0.02121507003903389,,,,,
13,2449,-0.3319716453552246,0.3530317544937134,0.021060040220618248,,,,,
14,2624,-0.318351149559021,0.33933910727500916,0.020987868309020996,,,,,
15,2799,-0.31676676869392395,0.3378251791000366,0.021058421581983566,,,,,
16,2974,-0.29754239320755005,0.31838497519493103,0.02084263227880001,,,,,
17,3149,-0.3263320028781891,0.3469184935092926,0.020586302503943443,,,,,
18,3324,-0.3234821557998657,0.3443862497806549,0.020903995260596275,,,,,
19,3499,,,,5.189631938934326,-0.2153010070323944,0.23679304122924805,0.021492043510079384,0.2153010070323944
19,3499,-0.31820425391197205,0.33922046422958374,0.02101617492735386,,,,,
20,3674,-0.3061504364013672,0.32699134945869446,0.020840920507907867,,,,,
21,3849,-0.2733420133590698,0.2940000593662262,0.020657962188124657,,,,,
22,4024,-0.3093281090259552,0.33022433519363403,0.020896077156066895,,,,,
23,4199,-0.34546101093292236,0.36597031354904175,0.020509276539087296,,,,,
24,4374,-0.3481045663356781,0.36851924657821655,0.02041476033627987,,,,,
25,4549,-0.3649323880672455,0.3856578767299652,0.020725425332784653,,,,,
26,4724,-0.3962836265563965,0.4166775643825531,0.020394090563058853,,,,,
27,4899,-0.42034226655960083,0.44060570001602173,0.020263347774744034,,,,,
28,5074,-0.3777545988559723,0.3980756103992462,0.020320922136306763,,,,,
29,5249,,,,5.453855991363525,-0.24495626986026764,0.2660163938999176,0.021060077473521233,0.24495626986026764
29,5249,-0.364653617143631,0.3853296637535095,0.020675985142588615,,,,,
30,5424,-0.3796265423297882,0.40005049109458923,0.020424162968993187,,,,,
31,5599,-0.42741167545318604,0.4477621912956238,0.020350512117147446,,,,,
32,5774,-0.4602530896663666,0.48070386052131653,0.020450890064239502,,,,,
33,5949,-0.47880300879478455,0.4992615282535553,0.020458685234189034,,,,,
34,6124,-0.4980250895023346,0.5187618732452393,0.020736712962388992,,,,,
35,6299,-0.368680864572525,0.3889762759208679,0.02029540203511715,,,,,
36,6474,-0.45719146728515625,0.47777026891708374,0.02057877741754055,,,,,
37,6649,-0.3527368903160095,0.3731566071510315,0.020419642329216003,,,,,
38,6824,-0.3888351321220398,0.4096269905567169,0.020791828632354736,,,,,
39,6999,,,,5.002023220062256,-0.27260223031044006,0.2954646348953247,0.022862449288368225,0.27260223031044006
39,6999,-0.44309863448143005,0.4638419449329376,0.02074356935918331,,,,,
40,7174,-0.504225492477417,0.5249242782592773,0.020698711276054382,,,,,
41,7349,-0.3935961127281189,0.41407448053359985,0.02047845907509327,,,,,
42,7524,-0.44632425904273987,0.46726757287979126,0.02094345912337303,,,,,
43,7699,-0.5067887306213379,0.5275856852531433,0.020796936005353928,,,,,
44,7874,-0.593402087688446,0.614194929599762,0.020792709663510323,,,,,
45,8049,-0.5451775193214417,0.565981388092041,0.020803866907954216,,,,,
46,8224,-0.6832386255264282,0.7041307091712952,0.02089209482073784,,,,,
47,8399,-0.6262913942337036,0.6471886038780212,0.02089729905128479,,,,,
48,8574,-0.7092745900154114,0.7299898266792297,0.02071566693484783,,,,,
49,8749,,,,3.19626784324646,0.9670047760009766,0.16481822729110718,1.131822943687439,-0.9670047760009766
49,8749,-0.7756441235542297,0.7963578701019287,0.020713869482278824,,,,,
50,8924,-0.7120819687843323,0.7330512404441833,0.020969174802303314,,,,,
51,9099,-0.5487814545631409,0.5699741244316101,0.02119290828704834,,,,,
52,9274,-0.6414640545845032,0.6621633172035217,0.020699111744761467,,,,,
53,9449,-0.5892635583877563,0.610405445098877,0.02114199288189411,,,,,
54,9624,-0.43209436535835266,0.45248764753341675,0.02039332315325737,,,,,
55,9799,-0.6525038480758667,0.6736174821853638,0.02111349068582058,,,,,
56,9974,-0.7388197779655457,0.7596168518066406,0.020796997472643852,,,,,
57,10149,-0.7275145649909973,0.7486310601234436,0.02111627906560898,,,,,
58,10324,-0.6782381534576416,0.699183464050293,0.02094544656574726,,,,,
59,10499,,,,4.6847734451293945,-0.23209869861602783,0.33147135376930237,0.09937266260385513,0.23209869861602783
59,10499,-0.7893354892730713,0.8104969263076782,0.021161416545510292,,,,,
60,10674,-0.7638636231422424,0.7849599123001099,0.02109631337225437,,,,,
61,10849,-0.7806547284126282,0.8017603158950806,0.021105580031871796,,,,,
62,11024,-0.7373781204223633,0.7584362626075745,0.02105807512998581,,,,,
63,11199,-0.7441849112510681,0.7654398679733276,0.021254871040582657,,,,,
64,11374,-0.543816328048706,0.5644505023956299,0.02063431404531002,,,,,
65,11549,-0.5911112427711487,0.6125616431236267,0.021450486034154892,,,,,
66,11724,-0.5934392213821411,0.6144313812255859,0.02099243924021721,,,,,
67,11899,-0.6494986414909363,0.6706954836845398,0.021196754649281502,,,,,
68,12074,-0.6904417872428894,0.7117498517036438,0.021308107301592827,,,,,
69,12249,,,,5.099941253662109,-0.3111739158630371,0.3321731388568878,0.020999278873205185,0.3111739158630371
69,12249,-0.6196960210800171,0.6405541300773621,0.020858151838183403,,,,,
70,12424,-0.37733715772628784,0.39812856912612915,0.02079155296087265,,,,,
71,12599,-0.5026623010635376,0.5236195921897888,0.02095731347799301,,,,,
72,12774,-0.7021903395652771,0.723521888256073,0.021331287920475006,,,,,
73,12949,-0.8090898990631104,0.8302101492881775,0.021120259538292885,,,,,
74,13124,-0.707203209400177,0.7283391952514648,0.021136043593287468,,,,,
75,13299,-0.8633934855461121,0.8845272660255432,0.02113362029194832,,,,,
76,13474,-0.856205940246582,0.8774012327194214,0.021195704117417336,,,,,
77,13649,-0.9804510474205017,1.0018750429153442,0.0214234609156847,,,,,
