run_id,name,experiment_group,claim_id,dataset_name,config,seed,state,requested_gpus,slurm_job_id,start_time,end_time,exit_code,failure_reason,retry_from,resolved_by_run,resolution_state,resolution_note,profile
20260807-025015_accept-cpu-fail,accept-cpu-fail,,,,,,FAILED,0,,2026-08-07T02:50:15+02:00,2026-08-07T02:50:15+02:00,2,command exited with code 2,,20260807-025019_accept-cpu-fail,FAILED,retry chain remains terminal,
20260807-025019_accept-cpu-fail,accept-cpu-fail,,,,,,FAILED,0,,2026-08-07T02:50:19+02:00,2026-08-07T02:50:19+02:00,2,command exited with code 2,20260807-025015_accept-cpu-fail,,,,
20260807-025033_accept-stop-target,accept-stop-target,,,,,,STOPPED,0,,2026-08-07T02:50:33+02:00,2026-08-07T02:50:39+02:00,-15,stopped by operator,,,,,
20260807-025050_accept-stale-repair,accept-stale-repair,,,,,,FAILED,0,,2026-08-07T02:50:50+02:00,2026-08-07T02:51:00+02:00,,stale active state repaired: process 1399750 is not alive,,,,,
20260807-031637_dataset-robustness,dataset-robustness,E6,C3,,,,STOPPED,0,926616,2026-08-07T03:17:45+02:00,2026-08-07T03:28:20+02:00,-15,received stop signal,,,,,default
20260807-031637_dataset-small,dataset-small,,,,,,STOPPED,0,926614,2026-08-07T03:16:44+02:00,2026-08-07T03:28:20+02:00,-15,received stop signal,,,,,default
20260807-031637_dataset-transfer,dataset-transfer,E6,C3,,,,FAILED,0,926617,2026-08-07T03:17:15+02:00,2026-08-07T03:24:29+02:00,22,command exited with code 22,,,,,default
20260807-032855_dataset-robustness-relocated,dataset-robustness-relocated,E6,C3,,,,FAILED,0,926623,2026-08-07T03:29:05+02:00,2026-08-07T06:52:59+02:00,127,command exited with code 127,,20260807-065950_dataset-robustness-relocated,SUCCEEDED,recovered by retry,default
20260807-032855_dataset-small-relocated,dataset-small-relocated,,,,,,FAILED,0,926622,2026-08-07T03:29:04+02:00,2026-08-07T04:41:47+02:00,127,command exited with code 127,,20260807-044814_dataset-small-relocated,SUCCEEDED,recovered by retry,default
20260807-034003_setup-lightning-env,setup-lightning-env,,,,,,FAILED,0,926630,2026-08-07T03:40:05+02:00,2026-08-07T03:40:34+02:00,1,command exited with code 1,,20260807-034434_setup-lightning-env,SUCCEEDED,recovered by retry,default
20260807-034144_setup-lightning-env,setup-lightning-env,,,,,,FAILED,0,926632,2026-08-07T03:41:45+02:00,2026-08-07T03:42:29+02:00,1,command exited with code 1,20260807-034003_setup-lightning-env,20260807-034434_setup-lightning-env,SUCCEEDED,recovered by retry,default
20260807-040028_cifar10-paper-9view-concat-5epoch-smoke,cifar10-paper-9view-concat-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926652,2026-08-07T04:00:29+02:00,2026-08-07T04:00:50+02:00,1,command exited with code 1,,20260807-040405_cifar10-paper-9view-concat-5epoch-smoke,SUCCEEDED,recovered by retry,default
20260807-040103_cifar10-9view-gmean-5epoch-smoke,cifar10-9view-gmean-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926653,2026-08-07T04:01:04+02:00,2026-08-07T04:01:44+02:00,1,command exited with code 1,,20260807-040406_cifar10-9view-gmean-5epoch-smoke,SUCCEEDED,recovered by retry,default
20260807-040103_cifar10-9view-raw-first-5epoch-smoke,cifar10-9view-raw-first-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926654,2026-08-07T04:01:04+02:00,2026-08-07T04:01:34+02:00,1,command exited with code 1,,20260807-040406_cifar10-9view-raw-first-5epoch-smoke,SUCCEEDED,recovered by retry,default
20260807-040213_cifar10-paper-9view-concat-5epoch-smoke,cifar10-paper-9view-concat-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926655,2026-08-07T04:02:16+02:00,2026-08-07T04:02:36+02:00,1,command exited with code 1,20260807-040028_cifar10-paper-9view-concat-5epoch-smoke,20260807-040405_cifar10-paper-9view-concat-5epoch-smoke,SUCCEEDED,recovered by retry,default
20260807-040232_cifar10-9view-gmean-5epoch-smoke,cifar10-9view-gmean-5epoch-smoke,,,cifar10,configs/ssl/cifar10_paper_concat_smoke.json,,FAILED,1,926656,2026-08-07T04:02:33+02:00,2026-08-07T04:03:10+02:00,1,command exited with code 1,20260807-040103_cifar10-9view-gmean-5epoch-smoke,20260807-040406_cifar10-9view-gmean-5epoch-smoke,SUCCEEDED,recovered by retry,default
