axis,backbone,batch,encoded_images_per_second,features,parameters,peak_memory_mb,precision,seconds_per_step,size,status,views
views,resnet18_cifar,128,2935.764640848806,128,11825472,1023.03515625,32-true,0.043600225378759204,32,success,1
views,resnet18_cifar,128,2882.5904392787475,128,11825472,1935.47265625,32-true,0.0888090089079924,32,success,2
views,resnet18_cifar,128,3230.117021196489,128,11825472,3764.09765625,32-true,0.1585081892204471,32,success,4
views,resnet18_cifar,128,3121.8732916154763,128,11825472,7417.59765625,32-true,0.3280081875040196,32,success,8
views,resnet18_cifar,128,3354.4006862427163,128,11825472,14728.59765625,32-true,0.6105412535835057,32,success,16
features,resnet18_cifar,128,2885.2262868394223,32,11726976,1934.40625,32-true,0.08872787592699752,32,success,2
features,resnet18_cifar,128,2884.430907113144,64,11759808,1934.73828125,32-true,0.08875234257429838,32,success,2
features,resnet18_cifar,128,2860.030075903878,128,11825472,1935.47265625,32-true,0.08950954822357744,32,success,2
features,resnet18_cifar,128,2817.313292129325,256,11956800,1937.224609375,32-true,0.09086671358672901,32,success,2
features,resnet18_cifar,128,2741.38025341626,512,12219456,1941.853515625,32-true,0.09338361567351967,32,success,2
batch,resnet18_cifar,64,2950.473253617967,128,11825472,1021.00390625,32-true,0.043382870813366024,32,success,2
batch,resnet18_cifar,128,2863.081860055488,128,11825472,1935.47265625,32-true,0.08941413920838386,32,success,2
batch,resnet18_cifar,256,3221.6894852666587,128,11825472,3764.16015625,32-true,0.15892282677814365,32,success,2
batch,resnet18_cifar,512,3085.9130156137317,128,11825472,7417.78515625,32-true,0.3318304809043184,32,success,2
precision,resnet18_cifar,128,2861.7503899353947,128,11825472,1935.47265625,32-true,0.08945574040990323,32,success,2
precision,resnet18_cifar,128,8440.702160116125,128,11825472,686.181640625,16-mixed,0.03032923033460975,32,success,2
backbone,resnet18_imagenet,8,1140.9664636163964,128,11833152,298.16796875,16-mixed,0.014023199200164527,224,success,2
backbone,resnet50_imagenet,8,557.1460570357169,128,25737536,866.748046875,16-mixed,0.028717783780302854,224,success,2
backbone,convnext_tiny,8,443.45033864881475,128,28738912,1139.9228515625,16-mixed,0.036080703081097454,224,success,2
backbone,vit_s_16,8,516.9090765931196,128,22191232,741.373046875,16-mixed,0.030953219288494437,224,success,2
